county,fips,pollutant,val
Alcona,26001,"1,1,2-TRICHLOROETHANE",0.0
Alcona,26001,"1,3-BUTADIENE",0.0
Alcona,26001,"1,3-DICHLOROPROPENE",0.0
Alcona,26001,"1,4-DICHLOROBENZENE",0.0
Alcona,26001,"1,4-DIOXANE",0.0
Alcona,26001,"2,4,6-TRICHLOROPHENOL",0.0
Alcona,26001,"2,4-DINITROTOLUENE",0.0
Alcona,26001,"2,4-TOLUENE DIISOCYANATE",0.0
Alcona,26001,2-NITROPROPANE,0.0
Alcona,26001,ACETALDEHYDE,0.0
Alcona,26001,ACETAMIDE,0.0
Alcona,26001,ACRYLONITRILE,0.0
Alcona,26001,ALLYL CHLORIDE,0.0
Alcona,26001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00071117339635
Alcona,26001,BENZENE,0.0
Alcona,26001,BENZYL CHLORIDE,0.0
Alcona,26001,BERYLLIUM COMPOUNDS,0.0
Alcona,26001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Alcona,26001,BROMOFORM,0.0
Alcona,26001,CADMIUM COMPOUNDS,0.0
Alcona,26001,CARBON TETRACHLORIDE,0.0
Alcona,26001,CHLOROPRENE,0.0
Alcona,26001,CHROMIUM VI (HEXAVALENT),0.0
Alcona,26001,EPICHLOROHYDRIN,0.0
Alcona,26001,ETHYLBENZENE,5.4565664235e-05
Alcona,26001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Alcona,26001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alcona,26001,ETHYLENE OXIDE,0.0
Alcona,26001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alcona,26001,FORMALDEHYDE,0.0
Alcona,26001,HEXACHLOROBENZENE,0.0
Alcona,26001,HEXACHLOROBUTADIENE,0.0
Alcona,26001,METHYL TERT-BUTYL ETHER,0.0
Alcona,26001,METHYLENE CHLORIDE,0.0
Alcona,26001,NAPHTHALENE,0.0
Alcona,26001,NICKEL COMPOUNDS,0.0
Alcona,26001,NITROBENZENE,0.0
Alcona,26001,O-TOLUIDINE,0.0
Alcona,26001,PAHPOM,0.007713170132197
Alcona,26001,PENTACHLOROPHENOL,0.0
Alcona,26001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alcona,26001,PROPYLENE OXIDE,0.0
Alcona,26001,TETRACHLOROETHYLENE,0.0
Alcona,26001,TRICHLOROETHYLENE,0.0014543845849949997
Alcona,26001,VINYL CHLORIDE,0.0
Alger,26003,"1,1,2-TRICHLOROETHANE",0.0
Alger,26003,"1,3-BUTADIENE",0.0
Alger,26003,"1,4-DICHLOROBENZENE",0.0
Alger,26003,"1,4-DIOXANE",0.0
Alger,26003,"2,4,6-TRICHLOROPHENOL",0.0
Alger,26003,"2,4-DINITROTOLUENE",0.0
Alger,26003,"2,4-TOLUENE DIISOCYANATE",0.0
Alger,26003,2-NITROPROPANE,0.0
Alger,26003,ACETALDEHYDE,0.0
Alger,26003,ACETAMIDE,0.0
Alger,26003,ACRYLONITRILE,0.0
Alger,26003,ALLYL CHLORIDE,0.0
Alger,26003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0009434749844400001
Alger,26003,BENZENE,0.0
Alger,26003,BENZYL CHLORIDE,0.0
Alger,26003,BERYLLIUM COMPOUNDS,0.0
Alger,26003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Alger,26003,BROMOFORM,0.0
Alger,26003,CADMIUM COMPOUNDS,0.0
Alger,26003,CARBON TETRACHLORIDE,0.0
Alger,26003,CHLOROPRENE,0.0
Alger,26003,CHROMIUM VI (HEXAVALENT),0.0
Alger,26003,EPICHLOROHYDRIN,0.0
Alger,26003,ETHYLBENZENE,3.4636347405e-05
Alger,26003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Alger,26003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alger,26003,ETHYLENE OXIDE,0.0
Alger,26003,FORMALDEHYDE,0.0
Alger,26003,HEXACHLOROBENZENE,0.0
Alger,26003,HEXACHLOROBUTADIENE,0.0
Alger,26003,METHYL TERT-BUTYL ETHER,0.0
Alger,26003,METHYLENE CHLORIDE,0.0
Alger,26003,NAPHTHALENE,0.0
Alger,26003,NICKEL COMPOUNDS,0.0
Alger,26003,NITROBENZENE,0.0
Alger,26003,O-TOLUIDINE,0.0
Alger,26003,PAHPOM,0.006265736161481
Alger,26003,PENTACHLOROPHENOL,0.0
Alger,26003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alger,26003,PROPYLENE OXIDE,0.0
Alger,26003,TETRACHLOROETHYLENE,0.0
Alger,26003,TRICHLOROETHYLENE,0.0007515318686900001
Alger,26003,VINYL CHLORIDE,0.0
Allegan,26005,"1,1,2-TRICHLOROETHANE",0.0
Allegan,26005,"1,3-BUTADIENE",0.0
Allegan,26005,"1,3-DICHLOROPROPENE",0.0
Allegan,26005,"1,4-DICHLOROBENZENE",0.0
Allegan,26005,"1,4-DIOXANE",0.0
Allegan,26005,"2,4,6-TRICHLOROPHENOL",0.0
Allegan,26005,"2,4-DINITROTOLUENE",0.0
Allegan,26005,"2,4-TOLUENE DIISOCYANATE",0.0
Allegan,26005,2-NITROPROPANE,0.0
Allegan,26005,ACETALDEHYDE,0.0
Allegan,26005,ACETAMIDE,0.0
Allegan,26005,ACRYLONITRILE,0.0
Allegan,26005,ALLYL CHLORIDE,0.0
Allegan,26005,ANILINE,0.0
Allegan,26005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.001610325225101
Allegan,26005,BENZENE,0.0
Allegan,26005,BENZYL CHLORIDE,0.0
Allegan,26005,BERYLLIUM COMPOUNDS,0.0
Allegan,26005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Allegan,26005,BROMOFORM,0.0
Allegan,26005,CADMIUM COMPOUNDS,0.0
Allegan,26005,CARBON TETRACHLORIDE,0.0
Allegan,26005,CHLOROPRENE,0.0
Allegan,26005,CHROMIUM VI (HEXAVALENT),0.0
Allegan,26005,EPICHLOROHYDRIN,0.0
Allegan,26005,ETHYLBENZENE,7.3386697072e-05
Allegan,26005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Allegan,26005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Allegan,26005,ETHYLENE OXIDE,0.0
Allegan,26005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Allegan,26005,FORMALDEHYDE,0.0
Allegan,26005,HEXACHLOROBENZENE,0.0
Allegan,26005,HEXACHLOROBUTADIENE,0.0
Allegan,26005,METHYL TERT-BUTYL ETHER,0.0
Allegan,26005,METHYLENE CHLORIDE,0.0
Allegan,26005,NAPHTHALENE,0.0
Allegan,26005,NICKEL COMPOUNDS,0.0
Allegan,26005,NITROBENZENE,0.0
Allegan,26005,O-TOLUIDINE,0.0
Allegan,26005,PAHPOM,0.012940350618353998
Allegan,26005,PENTACHLOROPHENOL,0.0
Allegan,26005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Allegan,26005,PROPYLENE OXIDE,0.0
Allegan,26005,TETRACHLOROETHYLENE,0.0
Allegan,26005,TRICHLOROETHYLENE,0.005001793429222
Allegan,26005,VINYL CHLORIDE,0.0
Alpena,26007,"1,1,2-TRICHLOROETHANE",0.0
Alpena,26007,"1,3-BUTADIENE",0.0
Alpena,26007,"1,3-DICHLOROPROPENE",0.0
Alpena,26007,"1,4-DICHLOROBENZENE",0.0
Alpena,26007,"1,4-DIOXANE",0.0
Alpena,26007,"2,4,6-TRICHLOROPHENOL",0.0
Alpena,26007,"2,4-DINITROTOLUENE",0.0
Alpena,26007,"2,4-TOLUENE DIISOCYANATE",0.0
Alpena,26007,2-NITROPROPANE,0.0
Alpena,26007,ACETALDEHYDE,0.0
Alpena,26007,ACETAMIDE,0.0
Alpena,26007,ACRYLONITRILE,0.0
Alpena,26007,ALLYL CHLORIDE,0.0
Alpena,26007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0013971844390089998
Alpena,26007,BENZENE,0.0
Alpena,26007,BENZYL CHLORIDE,0.0
Alpena,26007,BERYLLIUM COMPOUNDS,0.0
Alpena,26007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Alpena,26007,BROMOFORM,0.0
Alpena,26007,CADMIUM COMPOUNDS,0.0
Alpena,26007,CARBON TETRACHLORIDE,0.0
Alpena,26007,CHLOROPRENE,0.0
Alpena,26007,CHROMIUM VI (HEXAVALENT),0.0
Alpena,26007,EPICHLOROHYDRIN,0.0
Alpena,26007,ETHYLBENZENE,5.2544943422e-05
Alpena,26007,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Alpena,26007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alpena,26007,ETHYLENE OXIDE,0.0
Alpena,26007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alpena,26007,FORMALDEHYDE,0.0
Alpena,26007,HEXACHLOROBENZENE,0.0
Alpena,26007,HEXACHLOROBUTADIENE,0.0
Alpena,26007,METHYL TERT-BUTYL ETHER,0.0
Alpena,26007,METHYLENE CHLORIDE,0.0
Alpena,26007,NAPHTHALENE,0.0
Alpena,26007,NICKEL COMPOUNDS,0.0
Alpena,26007,NITROBENZENE,0.0
Alpena,26007,O-TOLUIDINE,0.0
Alpena,26007,PAHPOM,0.007410045312093
Alpena,26007,PENTACHLOROPHENOL,0.0
Alpena,26007,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alpena,26007,PROPYLENE OXIDE,0.0
Alpena,26007,TETRACHLOROETHYLENE,0.0
Alpena,26007,TRICHLOROETHYLENE,0.001810394741781
