county,fips,pollutant,val
Acadia,22001,"1,1,2-TRICHLOROETHANE",0.0
Acadia,22001,"1,3-BUTADIENE",0.0
Acadia,22001,"1,3-DICHLOROPROPENE",0.0
Acadia,22001,"1,4-DICHLOROBENZENE",0.0
Acadia,22001,"1,4-DIOXANE",0.0
Acadia,22001,"2,4,6-TRICHLOROPHENOL",0.0
Acadia,22001,"2,4-DINITROTOLUENE",0.0
Acadia,22001,"2,4-TOLUENE DIISOCYANATE",0.0
Acadia,22001,2-NITROPROPANE,0.0
Acadia,22001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Acadia,22001,ACETALDEHYDE,0.0
Acadia,22001,ACETAMIDE,0.0
Acadia,22001,ACRYLONITRILE,0.0
Acadia,22001,ALLYL CHLORIDE,0.0
Acadia,22001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Acadia,22001,BENZENE,0.00833548745117
Acadia,22001,BENZYL CHLORIDE,0.0
Acadia,22001,BERYLLIUM COMPOUNDS,0.0
Acadia,22001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Acadia,22001,BROMOFORM,0.0
Acadia,22001,CADMIUM COMPOUNDS,0.0
Acadia,22001,CARBON TETRACHLORIDE,0.0
Acadia,22001,CHLOROPRENE,0.0
Acadia,22001,CHROMIUM VI (HEXAVALENT),0.0
Acadia,22001,EPICHLOROHYDRIN,0.0
Acadia,22001,ETHYLBENZENE,0.0
Acadia,22001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Acadia,22001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Acadia,22001,ETHYLENE OXIDE,0.0
Acadia,22001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Acadia,22001,FORMALDEHYDE,0.0
Acadia,22001,HEXACHLOROBENZENE,0.0
Acadia,22001,HEXACHLOROBUTADIENE,0.0
Acadia,22001,METHYL TERT-BUTYL ETHER,0.0
Acadia,22001,METHYLENE CHLORIDE,0.0
Acadia,22001,NAPHTHALENE,0.0
Acadia,22001,NICKEL COMPOUNDS,0.0012325956166160002
Acadia,22001,NITROBENZENE,0.0
Acadia,22001,O-TOLUIDINE,0.0
Acadia,22001,PAHPOM,0.0
Acadia,22001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Acadia,22001,PROPYLENE OXIDE,0.0
Acadia,22001,TETRACHLOROETHYLENE,0.0
Acadia,22001,TRICHLOROETHYLENE,0.001135792050545
Acadia,22001,VINYL CHLORIDE,0.0
Allen,22003,"1,1,2-TRICHLOROETHANE",0.0
Allen,22003,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
Allen,22003,"1,3-BUTADIENE",0.0
Allen,22003,"1,3-DICHLOROPROPENE",0.0
Allen,22003,"1,4-DICHLOROBENZENE",0.0
Allen,22003,"1,4-DIOXANE",0.0
Allen,22003,"2,4,6-TRICHLOROPHENOL",0.0
Allen,22003,"2,4-DINITROTOLUENE",0.0
Allen,22003,"2,4-TOLUENE DIISOCYANATE",0.0
Allen,22003,2-NITROPROPANE,0.0
Allen,22003,ACETALDEHYDE,0.0
Allen,22003,ACETAMIDE,0.0
Allen,22003,ACRYLAMIDE,0.0
Allen,22003,ACRYLONITRILE,0.0
Allen,22003,ALLYL CHLORIDE,0.0
Allen,22003,ANILINE,0.0
Allen,22003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Allen,22003,BENZENE,0.007700234558781
Allen,22003,BENZYL CHLORIDE,0.0
Allen,22003,BERYLLIUM COMPOUNDS,0.0
Allen,22003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Allen,22003,BROMOFORM,0.0
Allen,22003,CADMIUM COMPOUNDS,0.0
Allen,22003,CARBON TETRACHLORIDE,0.0
Allen,22003,CHLOROPRENE,0.0
Allen,22003,CHROMIUM VI (HEXAVALENT),0.0
Allen,22003,DICHLOROETHYL ETHER (BIS[2-CHLOROETHYL]ETHER),0.0
Allen,22003,EPICHLOROHYDRIN,0.0
Allen,22003,ETHYLBENZENE,0.0
Allen,22003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Allen,22003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Allen,22003,ETHYLENE OXIDE,0.0
Allen,22003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Allen,22003,FORMALDEHYDE,0.0
Allen,22003,HEXACHLOROBENZENE,0.0
