county,fips,pollutant,val
Autauga,1001,"1,1,2-TRICHLOROETHANE",4.996987763e-06
Autauga,1001,"1,3-BUTADIENE",0.0
Autauga,1001,"1,4-DICHLOROBENZENE",3.6887282e-07
Autauga,1001,"1,4-DIOXANE",3.50018769e-07
Autauga,1001,"2,4,6-TRICHLOROPHENOL",0.0
Autauga,1001,"2,4-DINITROTOLUENE",4.195895099999999e-08
Autauga,1001,"2,4-TOLUENE DIISOCYANATE",0.0
Autauga,1001,2-NITROPROPANE,1.21386e-10
Autauga,1001,ACETALDEHYDE,0.0
Autauga,1001,ACETAMIDE,0.0
Autauga,1001,ACRYLONITRILE,0.0
Autauga,1001,ALLYL CHLORIDE,0.0
Autauga,1001,ANILINE,0.0
Autauga,1001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Autauga,1001,BENZENE,0.0
Autauga,1001,BENZYL CHLORIDE,0.0
Autauga,1001,BERYLLIUM COMPOUNDS,0.0
Autauga,1001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.1603837208e-05
Autauga,1001,BROMOFORM,0.0
Autauga,1001,CADMIUM COMPOUNDS,0.0
Autauga,1001,CARBON TETRACHLORIDE,0.005302122842347999
Autauga,1001,CHLOROPRENE,0.0
Autauga,1001,CHROMIUM VI (HEXAVALENT),0.0
Autauga,1001,EPICHLOROHYDRIN,0.0
Autauga,1001,ETHYLBENZENE,0.0
Autauga,1001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Autauga,1001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.0637010400000001e-07
Autauga,1001,ETHYLENE OXIDE,0.0
Autauga,1001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Autauga,1001,FORMALDEHYDE,0.0
Autauga,1001,HEXACHLOROBENZENE,1.6171321300000002e-07
Autauga,1001,HEXACHLOROBUTADIENE,0.0
Autauga,1001,METHYL TERT-BUTYL ETHER,1.7660499999999998e-10
Autauga,1001,METHYLENE CHLORIDE,0.000351417723254
Autauga,1001,NAPHTHALENE,0.0
Autauga,1001,NICKEL COMPOUNDS,0.0
Autauga,1001,NITROBENZENE,0.0
Autauga,1001,O-TOLUIDINE,0.0
Autauga,1001,PAHPOM,0.0
Autauga,1001,PENTACHLOROPHENOL,2.6191829999999998e-09
Autauga,1001,PROPYLENE OXIDE,0.0
Autauga,1001,TETRACHLOROETHYLENE,0.0
Autauga,1001,TRICHLOROETHYLENE,0.0050346485971870004
Autauga,1001,VINYL CHLORIDE,1.931353648e-06
Baldwin,1003,"1,1,2-TRICHLOROETHANE",7.0438481e-08
Baldwin,1003,"1,3-BUTADIENE",0.0
Baldwin,1003,"1,3-DICHLOROPROPENE",0.0
Baldwin,1003,"1,4-DICHLOROBENZENE",1.9418812500000002e-07
Baldwin,1003,"1,4-DIOXANE",1.7291241699999996e-07
Baldwin,1003,"2,4,6-TRICHLOROPHENOL",0.0
Baldwin,1003,"2,4-DINITROTOLUENE",1.7392387e-08
Baldwin,1003,"2,4-TOLUENE DIISOCYANATE",0.0
Baldwin,1003,2-NITROPROPANE,4.8844e-11
Baldwin,1003,ACETALDEHYDE,0.0
Baldwin,1003,ACETAMIDE,0.0
Baldwin,1003,ACRYLAMIDE,0.0
Baldwin,1003,ACRYLONITRILE,0.0
Baldwin,1003,ALLYL CHLORIDE,0.0
Baldwin,1003,ANILINE,0.0
Baldwin,1003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Baldwin,1003,BENZENE,0.0
Baldwin,1003,BENZYL CHLORIDE,0.0
Baldwin,1003,BERYLLIUM COMPOUNDS,0.0
Baldwin,1003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1327681277000002e-05
Baldwin,1003,BROMOFORM,0.0
Baldwin,1003,CADMIUM COMPOUNDS,0.0
Baldwin,1003,CARBON TETRACHLORIDE,0.005302779320128
Baldwin,1003,CHLOROPRENE,0.0
Baldwin,1003,CHROMIUM VI (HEXAVALENT),0.0
Baldwin,1003,EPICHLOROHYDRIN,0.0
Baldwin,1003,ETHYLBENZENE,0.0
Baldwin,1003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Baldwin,1003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.12694721e-07
Baldwin,1003,ETHYLENE OXIDE,0.0
Baldwin,1003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Baldwin,1003,FORMALDEHYDE,0.0
Baldwin,1003,HEXACHLOROBENZENE,5.9660428e-08
Baldwin,1003,HEXACHLOROBUTADIENE,0.0
Baldwin,1003,METHYL TERT-BUTYL ETHER,2.12412e-10
Baldwin,1003,METHYLENE CHLORIDE,0.00027392536985
Baldwin,1003,NAPHTHALENE,0.0
Baldwin,1003,NICKEL COMPOUNDS,0.0
Baldwin,1003,NITROBENZENE,0.0
Baldwin,1003,O-TOLUIDINE,0.0
Baldwin,1003,PAHPOM,0.0
Baldwin,1003,PENTACHLOROPHENOL,4.0868e-11
Baldwin,1003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Baldwin,1003,PROPYLENE OXIDE,0.0
Baldwin,1003,TETRACHLOROETHYLENE,0.0
Baldwin,1003,TRICHLOROETHYLENE,0.002337481217716
Baldwin,1003,VINYL CHLORIDE,2.195967444e-06
Barbour,1005,"1,1,2-TRICHLOROETHANE",5.509505949999999e-07
Barbour,1005,"1,3-BUTADIENE",0.0
