county,fips,pollutant,val,population
Alameda,06001,"1,4-DIOXANE",1.4873142119999998e-06,1510122
Alameda,06001,EPICHLOROHYDRIN,0.0,1510122
Alameda,06001,ETHYLBENZENE,0.0,1510122
Alameda,06001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,1510122
Alameda,06001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",5.1008843e-07,1510122
Alameda,06001,ETHYLENE OXIDE,0.0,1510122
Alameda,06001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,1510122
Alameda,06001,FORMALDEHYDE,0.0,1510122
Alameda,06001,HEXACHLOROBENZENE,1.4075365e-08,1510122
Alameda,06001,HEXACHLOROBUTADIENE,0.0,1510122
Alameda,06001,METHYL TERT-BUTYL ETHER,7.373530000000001e-10,1510122
Alameda,06001,METHYLENE CHLORIDE,0.00040035072301100003,1510122
Alameda,06001,NAPHTHALENE,0.0,1510122
Alameda,06001,NICKEL COMPOUNDS,0.0,1510122
Alameda,06001,NITROBENZENE,0.0,1510122
Alameda,06001,O-TOLUIDINE,0.0,1510122
Alameda,06001,PAHPOM,0.0,1510122
Alameda,06001,PENTACHLOROPHENOL,9.240000000000001e-13,1510122
Alameda,06001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,1510122
Alameda,06001,PROPYLENE OXIDE,0.0,1510122
Alameda,06001,TETRACHLOROETHYLENE,0.0,1510122
Alameda,06001,TRICHLOROETHYLENE,0.0028446249223000003,1510122
Alameda,06001,VINYL CHLORIDE,7.073259922e-06,1510122
Alpine,06003,"1,4-DIOXANE",2.6349548e-08,1175
Alpine,06003,EPICHLOROHYDRIN,0.0,1175
Alpine,06003,ETHYLBENZENE,0.0,1175
Alpine,06003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,1175
Alpine,06003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.3809613e-08,1175
Alpine,06003,ETHYLENE OXIDE,0.0,1175
Alpine,06003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,1175
Alpine,06003,FORMALDEHYDE,0.0,1175
Alpine,06003,HEXACHLOROBENZENE,1.0899733000000001e-08,1175
Alpine,06003,HEXACHLOROBUTADIENE,0.0,1175
Alpine,06003,METHYL TERT-BUTYL ETHER,1.1847000000000002e-11,1175
Alpine,06003,METHYLENE CHLORIDE,0.00019546461210199998,1175
Alpine,06003,NAPHTHALENE,0.0,1175
Alpine,06003,NICKEL COMPOUNDS,0.0,1175
Alpine,06003,NITROBENZENE,0.0,1175
Alpine,06003,O-TOLUIDINE,0.0,1175
Alpine,06003,PAHPOM,0.0,1175
Alpine,06003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,1175
Alpine,06003,PROPYLENE OXIDE,0.0,1175
Alpine,06003,TETRACHLOROETHYLENE,0.0,1175
Alpine,06003,TRICHLOROETHYLENE,0.00012064776957799998,1175
Alpine,06003,VINYL CHLORIDE,2.3755256699999997e-07,1175
Amador,06005,"1,4-DIOXANE",1.4897156699999998e-07,38091
Amador,06005,DICHLOROETHYL ETHER (BIS[2-CHLOROETHYL]ETHER),0.0,38091
Amador,06005,EPICHLOROHYDRIN,0.0,38091
Amador,06005,ETHYLBENZENE,0.0,38091
Amador,06005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,38091
Amador,06005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.18413535e-07,38091
Amador,06005,ETHYLENE OXIDE,0.0,38091
Amador,06005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,38091
Amador,06005,FORMALDEHYDE,0.0,38091
Amador,06005,HEXACHLOROBENZENE,5.048506599999999e-08,38091
Amador,06005,HEXACHLOROBUTADIENE,0.0,38091
Amador,06005,HYDRAZINE,5.0276416e-08,38091
Amador,06005,METHYL TERT-BUTYL ETHER,8.63e-11,38091
Amador,06005,METHYLENE CHLORIDE,0.000316179861236,38091
Amador,06005,N-NITROSODIMETHYLAMINE,0.0,38091
Amador,06005,NAPHTHALENE,0.0,38091
Amador,06005,NICKEL COMPOUNDS,0.0,38091
