county,fips,pollutant,val
Adams,08001,"1,1,2-TRICHLOROETHANE",2.27090378e-07
Adams,08001,"1,3-BUTADIENE",0.0
Adams,08001,"1,3-DICHLOROPROPENE",0.0
Adams,08001,"1,4-DICHLOROBENZENE",5.074848370000001e-07
Adams,08001,"1,4-DIOXANE",4.327813291e-06
Adams,08001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,08001,"2,4-DINITROTOLUENE",2.6439840000000002e-09
Adams,08001,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,08001,ACETALDEHYDE,0.0
Adams,08001,ACETAMIDE,0.0
Adams,08001,ACRYLONITRILE,0.0
Adams,08001,ANILINE,0.0
Adams,08001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,08001,BENZENE,0.0
Adams,08001,BENZYL CHLORIDE,0.0
Adams,08001,BERYLLIUM COMPOUNDS,0.0
Adams,08001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.435834789e-05
Adams,08001,BROMOFORM,0.0
Adams,08001,CADMIUM COMPOUNDS,0.0
Adams,08001,CARBON TETRACHLORIDE,0.0046007924662959995
Adams,08001,CHROMIUM VI (HEXAVALENT),0.0
Adams,08001,ETHYLBENZENE,0.0
Adams,08001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adams,08001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.5078540300000002e-07
Adams,08001,ETHYLENE OXIDE,0.0
Adams,08001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,08001,FORMALDEHYDE,0.0
Adams,08001,HEXACHLOROBENZENE,1.4106557e-08
Adams,08001,METHYL TERT-BUTYL ETHER,9.77294621e-07
Adams,08001,METHYLENE CHLORIDE,0.00025000076092400003
Adams,08001,NAPHTHALENE,0.0
Adams,08001,NICKEL COMPOUNDS,0.0
Adams,08001,PAHPOM,0.0
Adams,08001,PENTACHLOROPHENOL,2.98e-13
Adams,08001,PROPYLENE OXIDE,0.0
Adams,08001,TETRACHLOROETHYLENE,0.0
Adams,08001,TRICHLOROETHYLENE,0.001985213837738
Adams,08001,VINYL CHLORIDE,4.4652015089999995e-06
Alamosa,08003,"1,1,2-TRICHLOROETHANE",6.187e-12
Alamosa,08003,"1,3-BUTADIENE",0.0
Alamosa,08003,"1,3-DICHLOROPROPENE",0.0
Alamosa,08003,"1,4-DICHLOROBENZENE",4.30275761e-07
Alamosa,08003,"1,4-DIOXANE",1.15214091e-07
Alamosa,08003,"2,4,6-TRICHLOROPHENOL",0.0
Alamosa,08003,"2,4-TOLUENE DIISOCYANATE",0.0
Alamosa,08003,ACETALDEHYDE,0.0
Alamosa,08003,ACETAMIDE,0.0
Alamosa,08003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Alamosa,08003,BENZENE,0.0
Alamosa,08003,BERYLLIUM COMPOUNDS,0.0
Alamosa,08003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.235638145e-06
