county,fips,pollutant,val,population
District of Columbia,11001,"1,1,2-TRICHLOROETHANE",1.6382449999999999e-09,601723
District of Columbia,11001,"1,3-BUTADIENE",0.0,601723
District of Columbia,11001,"1,3-DICHLOROPROPENE",0.0,601723
District of Columbia,11001,"1,4-DICHLOROBENZENE",1.5779070614e-05,601723
District of Columbia,11001,"1,4-DIOXANE",2.149888028e-06,601723
District of Columbia,11001,"2,4,6-TRICHLOROPHENOL",0.0,601723
District of Columbia,11001,"2,4-DINITROTOLUENE",6.21911629e-07,601723
District of Columbia,11001,"2,4-TOLUENE DIISOCYANATE",0.0,601723
District of Columbia,11001,2-NITROPROPANE,1.7886079999999999e-09,601723
District of Columbia,11001,ACETALDEHYDE,0.0,601723
District of Columbia,11001,ACETAMIDE,0.0,601723
District of Columbia,11001,ACRYLAMIDE,0.0,601723
District of Columbia,11001,ACRYLONITRILE,0.0,601723
District of Columbia,11001,ALLYL CHLORIDE,0.0,601723
District of Columbia,11001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,601723
District of Columbia,11001,BENZENE,0.0,601723
District of Columbia,11001,BENZYL CHLORIDE,0.0,601723
District of Columbia,11001,BERYLLIUM COMPOUNDS,0.0,601723
District of Columbia,11001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1125908850999999e-05,601723
District of Columbia,11001,BROMOFORM,0.0,601723
District of Columbia,11001,CADMIUM COMPOUNDS,0.0,601723
District of Columbia,11001,CARBON TETRACHLORIDE,0.005462578870117999,601723
District of Columbia,11001,CHLOROPRENE,0.0,601723
District of Columbia,11001,CHROMIUM VI (HEXAVALENT),0.0,601723
District of Columbia,11001,EPICHLOROHYDRIN,0.0,601723
District of Columbia,11001,ETHYLBENZENE,0.0,601723
District of Columbia,11001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,601723
District of Columbia,11001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",2.65582134e-07,601723
District of Columbia,11001,ETHYLENE OXIDE,0.0,601723
District of Columbia,11001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,601723
District of Columbia,11001,FORMALDEHYDE,0.0,601723
District of Columbia,11001,HEPTACHLOR,0.0,601723
District of Columbia,11001,HEXACHLOROBENZENE,2.90551039e-07,601723
District of Columbia,11001,HEXACHLOROBUTADIENE,0.0,601723
District of Columbia,11001,METHYL TERT-BUTYL ETHER,1.6314116800000002e-07,601723
District of Columbia,11001,METHYLENE CHLORIDE,0.00031429633471499995,601723
District of Columbia,11001,NAPHTHALENE,0.0,601723
District of Columbia,11001,NICKEL COMPOUNDS,0.0,601723
District of Columbia,11001,NITROBENZENE,0.0,601723
District of Columbia,11001,O-TOLUIDINE,0.0,601723
District of Columbia,11001,PAHPOM,0.0,601723
District of Columbia,11001,PENTACHLOROPHENOL,1.82953e-10,601723
District of Columbia,11001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,601723
District of Columbia,11001,PROPYLENE OXIDE,0.0,601723
District of Columbia,11001,TETRACHLOROETHYLENE,0.0,601723
District of Columbia,11001,TRICHLOROETHYLENE,0.011727503117046002,601723
District of Columbia,11001,VINYL CHLORIDE,3.2726449660000005e-06,601723
