county,fips,pollutant,val,population
Acadia,22001,"1,1,2-TRICHLOROETHANE",9.612976999999999e-09,61773
Acadia,22001,"1,3-BUTADIENE",0.0,61773
Acadia,22001,"1,3-DICHLOROPROPENE",0.0,61773
Acadia,22001,"1,4-DICHLOROBENZENE",1.2365827099999999e-07,61773
Acadia,22001,"1,4-DIOXANE",1.76564086e-07,61773
Acadia,22001,"2,4,6-TRICHLOROPHENOL",0.0,61773
Acadia,22001,"2,4-DINITROTOLUENE",1.7707341e-08,61773
Acadia,22001,"2,4-TOLUENE DIISOCYANATE",0.0,61773
Acadia,22001,2-NITROPROPANE,5.059e-11,61773
Acadia,22001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0,61773
Acadia,22001,ACETALDEHYDE,0.0,61773
Acadia,22001,ACETAMIDE,0.0,61773
Acadia,22001,ACRYLONITRILE,0.0,61773
Acadia,22001,ALLYL CHLORIDE,0.0,61773
Acadia,22001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,61773
Acadia,22001,BENZENE,0.0,61773
Acadia,22001,BENZYL CHLORIDE,0.0,61773
Acadia,22001,BERYLLIUM COMPOUNDS,0.0,61773
Acadia,22001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.2588800527999999e-05,61773
Acadia,22001,BROMOFORM,0.0,61773
Acadia,22001,CADMIUM COMPOUNDS,0.0,61773
Acadia,22001,CARBON TETRACHLORIDE,0.005303846873205001,61773
Acadia,22001,CHLOROPRENE,0.0,61773
Acadia,22001,CHROMIUM VI (HEXAVALENT),0.0,61773
Acadia,22001,EPICHLOROHYDRIN,0.0,61773
Acadia,22001,ETHYLBENZENE,0.0,61773
Acadia,22001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,61773
Acadia,22001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",4.43514081e-07,61773
Acadia,22001,ETHYLENE OXIDE,0.0,61773
Acadia,22001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,61773
