county,fips,pollutant,val
Allegany,24001,"1,1,2-TRICHLOROETHANE",3.611817e-09
Allegany,24001,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
Allegany,24001,"1,3-BUTADIENE",0.0
Allegany,24001,"1,3-DICHLOROPROPENE",0.0
Allegany,24001,"1,4-DICHLOROBENZENE",2.88291856e-06
Allegany,24001,"1,4-DIOXANE",1.25847036e-07
Allegany,24001,"2,4,6-TRICHLOROPHENOL",0.0
Allegany,24001,"2,4-DINITROTOLUENE",2.79537175e-07
Allegany,24001,"2,4-TOLUENE DIISOCYANATE",0.0
Allegany,24001,2-NITROPROPANE,8.04025e-10
Allegany,24001,ACETALDEHYDE,0.0
Allegany,24001,ACETAMIDE,0.0
Allegany,24001,ACRYLONITRILE,0.0
Allegany,24001,ALLYL CHLORIDE,0.0
Allegany,24001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Allegany,24001,BENZENE,0.0
Allegany,24001,BENZYL CHLORIDE,0.0
Allegany,24001,BERYLLIUM COMPOUNDS,0.0
Allegany,24001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),6.7659509609999996e-06
Allegany,24001,BROMOFORM,0.0
Allegany,24001,CADMIUM COMPOUNDS,0.0
Allegany,24001,CARBON TETRACHLORIDE,0.005266171511545
Allegany,24001,CHLOROPRENE,0.0
Allegany,24001,CHROMIUM VI (HEXAVALENT),0.0
Allegany,24001,EPICHLOROHYDRIN,0.0
Allegany,24001,ETHYLBENZENE,0.0
Allegany,24001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Allegany,24001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",4.9222880999999995e-08
Allegany,24001,ETHYLENE OXIDE,0.0
Allegany,24001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Allegany,24001,FORMALDEHYDE,0.0
Allegany,24001,HEXACHLOROBENZENE,3.4927845e-08
Allegany,24001,HEXACHLOROBUTADIENE,0.0
Allegany,24001,METHYL TERT-BUTYL ETHER,1.1264662e-08
Allegany,24001,METHYLENE CHLORIDE,0.00029459737887
Allegany,24001,NAPHTHALENE,0.0
Allegany,24001,NICKEL COMPOUNDS,0.0
Allegany,24001,NITROBENZENE,0.0
Allegany,24001,O-TOLUIDINE,0.0
Allegany,24001,PAHPOM,0.0
Allegany,24001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Allegany,24001,PROPYLENE OXIDE,0.0
Allegany,24001,TETRACHLOROETHYLENE,0.0
Allegany,24001,TRICHLOROETHYLENE,0.003842017135822
Allegany,24001,VINYL CHLORIDE,9.359127559999999e-07
Anne Arundel,24003,"1,1,2-TRICHLOROETHANE",5.15601e-10
Anne Arundel,24003,"1,3-BUTADIENE",0.0
Anne Arundel,24003,"1,3-DICHLOROPROPENE",0.0
Anne Arundel,24003,"1,4-DICHLOROBENZENE",1.7072775151e-05
Anne Arundel,24003,"1,4-DIOXANE",6.18715528e-07
Anne Arundel,24003,"2,4,6-TRICHLOROPHENOL",0.0
Anne Arundel,24003,"2,4-DINITROTOLUENE",8.94553286e-07
Anne Arundel,24003,"2,4-TOLUENE DIISOCYANATE",0.0
Anne Arundel,24003,2-NITROPROPANE,2.568444e-09
Anne Arundel,24003,ACETALDEHYDE,0.0
Anne Arundel,24003,ACETAMIDE,0.0
Anne Arundel,24003,ACRYLAMIDE,0.0
Anne Arundel,24003,ACRYLONITRILE,0.0
Anne Arundel,24003,ALLYL CHLORIDE,0.0
Anne Arundel,24003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Anne Arundel,24003,BENZENE,0.0
Anne Arundel,24003,BENZYL CHLORIDE,0.0
Anne Arundel,24003,BERYLLIUM COMPOUNDS,0.0
Anne Arundel,24003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.411863299e-06
Anne Arundel,24003,BROMOFORM,0.0
Anne Arundel,24003,CADMIUM COMPOUNDS,0.0
Anne Arundel,24003,CARBON TETRACHLORIDE,0.0055024782875119985
Anne Arundel,24003,CHLOROPRENE,0.0
Anne Arundel,24003,CHROMIUM VI (HEXAVALENT),0.0
Anne Arundel,24003,EPICHLOROHYDRIN,0.0
Anne Arundel,24003,ETHYLBENZENE,0.0
Anne Arundel,24003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Anne Arundel,24003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.09375011e-07
Anne Arundel,24003,ETHYLENE OXIDE,0.0
Anne Arundel,24003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Anne Arundel,24003,FORMALDEHYDE,0.0
Anne Arundel,24003,HEPTACHLOR,0.0
Anne Arundel,24003,HEXACHLOROBENZENE,3.772791704e-06
Anne Arundel,24003,HEXACHLOROBUTADIENE,0.0
Anne Arundel,24003,METHYL TERT-BUTYL ETHER,1.123535e-08
Anne Arundel,24003,METHYLENE CHLORIDE,0.000321216390165
Anne Arundel,24003,NAPHTHALENE,0.0
Anne Arundel,24003,NICKEL COMPOUNDS,0.0
Anne Arundel,24003,NITROBENZENE,0.0
Anne Arundel,24003,O-TOLUIDINE,0.0
Anne Arundel,24003,PAHPOM,0.0
Anne Arundel,24003,PENTACHLOROPHENOL,2.45386e-10
Anne Arundel,24003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Anne Arundel,24003,PROPYLENE OXIDE,0.0
Anne Arundel,24003,TETRACHLOROETHYLENE,0.0
Anne Arundel,24003,TRICHLOROETHYLENE,0.012209734231843999
Anne Arundel,24003,VINYL CHLORIDE,5.745764536e-06
Baltimore,24005,"1,1,2-TRICHLOROETHANE",9.445039999999998e-10
Baltimore,24005,"1,3-BUTADIENE",0.0
Baltimore,24005,"1,3-DICHLOROPROPENE",0.0
Baltimore,24005,"1,4-DICHLOROBENZENE",1.3618036320999999e-05
Baltimore,24005,"1,4-DIOXANE",8.149036839999999e-07
Baltimore,24005,"2,4,6-TRICHLOROPHENOL",0.0
Baltimore,24005,"2,4-DINITROTOLUENE",1.63928898e-06
Baltimore,24005,"2,4-TOLUENE DIISOCYANATE",0.0
Baltimore,24005,2-NITROPROPANE,4.7211759999999996e-09
Baltimore,24005,"4,4'-METHYLENEDIANILINE",0.0
Baltimore,24005,ACETALDEHYDE,0.0
Baltimore,24005,ACETAMIDE,0.0
Baltimore,24005,ACRYLAMIDE,0.0
Baltimore,24005,ACRYLONITRILE,0.0
Baltimore,24005,ALLYL CHLORIDE,0.0
Baltimore,24005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Baltimore,24005,BENZENE,0.0
Baltimore,24005,BENZYL CHLORIDE,0.0
Baltimore,24005,BERYLLIUM COMPOUNDS,0.0
Baltimore,24005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.37262275e-06
Baltimore,24005,BROMOFORM,0.0
Baltimore,24005,CADMIUM COMPOUNDS,0.0
Baltimore,24005,CARBON TETRACHLORIDE,0.005447009256534
Baltimore,24005,CHLOROPRENE,0.0
Baltimore,24005,CHROMIUM VI (HEXAVALENT),0.0
Baltimore,24005,EPICHLOROHYDRIN,0.0
Baltimore,24005,ETHYLBENZENE,0.0
Baltimore,24005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Baltimore,24005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.147567e-07
Baltimore,24005,ETHYLENE OXIDE,0.0
Baltimore,24005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Baltimore,24005,FORMALDEHYDE,0.0
Baltimore,24005,HEPTACHLOR,0.0
Baltimore,24005,HEXACHLOROBENZENE,3.026046138e-06
Baltimore,24005,HEXACHLOROBUTADIENE,0.0
Baltimore,24005,METHYL TERT-BUTYL ETHER,8.806519000000001e-09
Baltimore,24005,METHYLENE CHLORIDE,0.0003682778070259999
Baltimore,24005,NAPHTHALENE,0.0
Baltimore,24005,NICKEL COMPOUNDS,0.0
Baltimore,24005,NITROBENZENE,0.0
Baltimore,24005,O-TOLUIDINE,0.0
Baltimore,24005,PAHPOM,0.0
Baltimore,24005,PENTACHLOROPHENOL,1.6343100000000003e-10
Baltimore,24005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Baltimore,24005,PROPYLENE OXIDE,0.0
Baltimore,24005,TETRACHLOROETHYLENE,0.0
Baltimore,24005,TRICHLOROETHYLENE,0.011943689390100001
Baltimore,24005,VINYL CHLORIDE,4.2178141900000005e-06
Baltimore city,24510,"1,1,2-TRICHLOROETHANE",1.4314570000000002e-09
Baltimore city,24510,"1,3-BUTADIENE",0.0
Baltimore city,24510,"1,3-DICHLOROPROPENE",0.0
Baltimore city,24510,"1,4-DICHLOROBENZENE",2.1052636724e-05
Baltimore city,24510,"1,4-DIOXANE",1.1668537e-06
Baltimore city,24510,"2,4,6-TRICHLOROPHENOL",0.0
Baltimore city,24510,"2,4-DINITROTOLUENE",2.48863912e-06
Baltimore city,24510,"2,4-TOLUENE DIISOCYANATE",0.0
Baltimore city,24510,2-NITROPROPANE,7.1549069999999995e-09
Baltimore city,24510,"4,4'-METHYLENEDIANILINE",0.0
Baltimore city,24510,ACETALDEHYDE,0.0
Baltimore city,24510,ACETAMIDE,0.0
Baltimore city,24510,ACRYLAMIDE,0.0
Baltimore city,24510,ACRYLONITRILE,0.0
Baltimore city,24510,ALLYL CHLORIDE,0.0
Baltimore city,24510,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Baltimore city,24510,BENZENE,0.0
Baltimore city,24510,BENZYL CHLORIDE,0.0
Baltimore city,24510,BERYLLIUM COMPOUNDS,0.0
Baltimore city,24510,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.048774128e-06
Baltimore city,24510,BROMOFORM,0.0
Baltimore city,24510,CADMIUM COMPOUNDS,0.0
Baltimore city,24510,CARBON TETRACHLORIDE,0.005466888664568
Baltimore city,24510,CHLOROPRENE,0.0
Baltimore city,24510,CHROMIUM VI (HEXAVALENT),0.0
Baltimore city,24510,EPICHLOROHYDRIN,0.0
Baltimore city,24510,ETHYLBENZENE,0.0
Baltimore city,24510,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Baltimore city,24510,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.62170857e-07
Baltimore city,24510,ETHYLENE OXIDE,0.0
Baltimore city,24510,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Baltimore city,24510,FORMALDEHYDE,0.0
Baltimore city,24510,HEPTACHLOR,0.0
Baltimore city,24510,HEXACHLOROBENZENE,3.1559493129999998e-06
Baltimore city,24510,HEXACHLOROBUTADIENE,0.0
Baltimore city,24510,METHYL TERT-BUTYL ETHER,1.2031459e-08
Baltimore city,24510,METHYLENE CHLORIDE,0.000384671300487
Baltimore city,24510,NAPHTHALENE,0.0
Baltimore city,24510,NICKEL COMPOUNDS,0.0
Baltimore city,24510,NITROBENZENE,0.0
Baltimore city,24510,O-TOLUIDINE,0.0
Baltimore city,24510,PAHPOM,0.0
Baltimore city,24510,PENTACHLOROPHENOL,2.1652999999999998e-10
Baltimore city,24510,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Baltimore city,24510,PROPYLENE OXIDE,0.0
Baltimore city,24510,TETRACHLOROETHYLENE,0.0
Baltimore city,24510,TRICHLOROETHYLENE,0.016299167333431
Baltimore city,24510,VINYL CHLORIDE,4.425021257e-06
Calvert,24009,"1,1,2-TRICHLOROETHANE",6.9672e-11
Calvert,24009,"1,3-BUTADIENE",0.0
Calvert,24009,"1,3-DICHLOROPROPENE",0.0
Calvert,24009,"1,4-DICHLOROBENZENE",6.102820498999999e-06
Calvert,24009,"1,4-DIOXANE",1.85647522e-07
Calvert,24009,"2,4,6-TRICHLOROPHENOL",0.0
Calvert,24009,"2,4-DINITROTOLUENE",9.261351e-08
Calvert,24009,"2,4-TOLUENE DIISOCYANATE",0.0
Calvert,24009,2-NITROPROPANE,2.64163e-10
Calvert,24009,ACETALDEHYDE,0.0
Calvert,24009,ACETAMIDE,0.0
Calvert,24009,ACRYLONITRILE,0.0
Calvert,24009,ALLYL CHLORIDE,0.0
Calvert,24009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Calvert,24009,BENZENE,0.0
Calvert,24009,BENZYL CHLORIDE,0.0
Calvert,24009,BERYLLIUM COMPOUNDS,0.0
Calvert,24009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.4727326210000003e-06
Calvert,24009,BROMOFORM,0.0
Calvert,24009,CADMIUM COMPOUNDS,0.0
Calvert,24009,CARBON TETRACHLORIDE,0.005500815845721999
Calvert,24009,CHLOROPRENE,0.0
Calvert,24009,CHROMIUM VI (HEXAVALENT),0.0
Calvert,24009,EPICHLOROHYDRIN,0.0
Calvert,24009,ETHYLBENZENE,0.0
Calvert,24009,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
