county,fips,pollutant,val
Beaverhead,30001,"1,1,2-TRICHLOROETHANE",1.7519999999999998e-12
Beaverhead,30001,"1,3-BUTADIENE",0.0
Beaverhead,30001,"1,3-DICHLOROPROPENE",0.0
Beaverhead,30001,"1,4-DICHLOROBENZENE",4.1151087700000007e-07
Beaverhead,30001,"1,4-DIOXANE",1.9199825e-08
Beaverhead,30001,"2,4,6-TRICHLOROPHENOL",0.0
Beaverhead,30001,"2,4-DINITROTOLUENE",3.009582e-09
Beaverhead,30001,"2,4-TOLUENE DIISOCYANATE",0.0
Beaverhead,30001,2-NITROPROPANE,1.0579999999999999e-11
Beaverhead,30001,ACETALDEHYDE,0.0
Beaverhead,30001,ACETAMIDE,0.0
Beaverhead,30001,ACRYLONITRILE,0.0
Beaverhead,30001,ALLYL CHLORIDE,0.0
Beaverhead,30001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Beaverhead,30001,BENZENE,0.0
Beaverhead,30001,BENZYL CHLORIDE,0.0
Beaverhead,30001,BERYLLIUM COMPOUNDS,0.0
Beaverhead,30001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.9232564350000003e-06
Beaverhead,30001,BROMOFORM,0.0
Beaverhead,30001,CADMIUM COMPOUNDS,0.0
Beaverhead,30001,CARBON TETRACHLORIDE,0.004592952522003001
Beaverhead,30001,CHLOROPRENE,0.0
Beaverhead,30001,CHROMIUM VI (HEXAVALENT),0.0
Beaverhead,30001,EPICHLOROHYDRIN,0.0
Beaverhead,30001,ETHYLBENZENE,0.0
Beaverhead,30001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Beaverhead,30001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",5.749126e-09
Beaverhead,30001,ETHYLENE OXIDE,0.0
Beaverhead,30001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Beaverhead,30001,FORMALDEHYDE,0.0
Beaverhead,30001,HEXACHLOROBENZENE,1.0331819e-08
Beaverhead,30001,HEXACHLOROBUTADIENE,0.0
Beaverhead,30001,METHYL TERT-BUTYL ETHER,2.5018000000000003e-11
Beaverhead,30001,METHYLENE CHLORIDE,0.00028376409093700005
Beaverhead,30001,NAPHTHALENE,0.0
Beaverhead,30001,NICKEL COMPOUNDS,0.0
Beaverhead,30001,NITROBENZENE,0.0
Beaverhead,30001,O-TOLUIDINE,0.0
Beaverhead,30001,PAHPOM,0.0
Beaverhead,30001,PENTACHLOROPHENOL,5.37e-13
Beaverhead,30001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Beaverhead,30001,PROPYLENE OXIDE,0.0
Beaverhead,30001,TETRACHLOROETHYLENE,0.0
Beaverhead,30001,TRICHLOROETHYLENE,0.000187227292425
Beaverhead,30001,VINYL CHLORIDE,8.141795599999998e-08
Big Horn,30003,"1,1,2-TRICHLOROETHANE",7.889060000000001e-10
Big Horn,30003,"1,3-BUTADIENE",0.0
Big Horn,30003,"1,3-DICHLOROPROPENE",0.0
Big Horn,30003,"1,4-DICHLOROBENZENE",2.49555787e-07
Big Horn,30003,"1,4-DIOXANE",1.1382403999999999e-08
Big Horn,30003,"2,4,6-TRICHLOROPHENOL",0.0
Big Horn,30003,"2,4-DINITROTOLUENE",3.783234e-09
Big Horn,30003,"2,4-TOLUENE DIISOCYANATE",0.0
Big Horn,30003,2-NITROPROPANE,8.847e-12
Big Horn,30003,ACETALDEHYDE,0.0
Big Horn,30003,ACETAMIDE,0.0
Big Horn,30003,ACRYLONITRILE,0.0
Big Horn,30003,ALLYL CHLORIDE,0.0
Big Horn,30003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Big Horn,30003,BENZENE,0.0
Big Horn,30003,BENZYL CHLORIDE,0.0
