county,fips,pollutant,val
Carson city,32510,"1,1,2-TRICHLOROETHANE",3.1371e-11
Carson city,32510,"1,3-BUTADIENE",0.0
Carson city,32510,"1,3-DICHLOROPROPENE",0.0
Carson city,32510,"1,4-DICHLOROBENZENE",1.8381378610000003e-06
Carson city,32510,"1,4-DIOXANE",5.545127339999999e-07
Carson city,32510,"2,4,6-TRICHLOROPHENOL",0.0
Carson city,32510,"2,4-DINITROTOLUENE",5.4511057999999996e-08
Carson city,32510,"2,4-TOLUENE DIISOCYANATE",0.0
Carson city,32510,2-NITROPROPANE,1.56408e-10
Carson city,32510,ACETALDEHYDE,0.0
Carson city,32510,ACETAMIDE,0.0
Carson city,32510,ACRYLONITRILE,0.0
Carson city,32510,ALLYL CHLORIDE,0.0
Carson city,32510,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Carson city,32510,BENZENE,0.0
Carson city,32510,BENZYL CHLORIDE,0.0
Carson city,32510,BERYLLIUM COMPOUNDS,0.0
Carson city,32510,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),8.729301966000001e-06
Carson city,32510,CADMIUM COMPOUNDS,0.0
Carson city,32510,CARBON TETRACHLORIDE,0.004499998787967999
Carson city,32510,CHLOROPRENE,0.0
Carson city,32510,CHROMIUM VI (HEXAVALENT),0.0
Carson city,32510,EPICHLOROHYDRIN,0.0
Carson city,32510,ETHYLBENZENE,0.0
Carson city,32510,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",3.8568903e-08
Carson city,32510,ETHYLENE OXIDE,0.0
Carson city,32510,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Carson city,32510,FORMALDEHYDE,0.0
Carson city,32510,HEXACHLOROBENZENE,3.8405259e-08
Carson city,32510,HEXACHLOROBUTADIENE,0.0
Carson city,32510,METHYL TERT-BUTYL ETHER,2.2707299999999997e-10
Carson city,32510,METHYLENE CHLORIDE,0.000245395049744
Carson city,32510,NAPHTHALENE,0.0
Carson city,32510,NICKEL COMPOUNDS,0.0
Carson city,32510,NITROBENZENE,0.0
Carson city,32510,O-TOLUIDINE,0.0
Carson city,32510,PAHPOM,0.0
Carson city,32510,PENTACHLOROPHENOL,2.0335e-11
Carson city,32510,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Carson city,32510,PROPYLENE OXIDE,0.0
Carson city,32510,TETRACHLOROETHYLENE,0.0
Carson city,32510,TRICHLOROETHYLENE,0.0038584246916509995
Carson city,32510,VINYL CHLORIDE,3.19542786e-07
Churchill,32001,"1,1,2-TRICHLOROETHANE",1.0536e-11
Churchill,32001,"1,3-BUTADIENE",0.0
Churchill,32001,"1,4-DICHLOROBENZENE",1.577429356e-06
Churchill,32001,"1,4-DIOXANE",1.65965713e-07
Churchill,32001,"2,4,6-TRICHLOROPHENOL",0.0
Churchill,32001,"2,4-DINITROTOLUENE",1.8210664000000002e-08
Churchill,32001,"2,4-TOLUENE DIISOCYANATE",0.0
Churchill,32001,2-NITROPROPANE,5.2566000000000004e-11
Churchill,32001,ACETALDEHYDE,0.0
Churchill,32001,ACETAMIDE,0.0
Churchill,32001,ACRYLONITRILE,0.0
Churchill,32001,ALLYL CHLORIDE,0.0
Churchill,32001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Churchill,32001,BENZENE,0.0
Churchill,32001,BENZYL CHLORIDE,0.0
