county,fips,pollutant,val
Aurora,46003,"1,1,2-TRICHLOROETHANE",3.59e-13
Aurora,46003,"1,3-BUTADIENE",0.0
Aurora,46003,"1,4-DICHLOROBENZENE",1.50421947e-07
Aurora,46003,"1,4-DIOXANE",5.665279999999999e-09
Aurora,46003,"2,4,6-TRICHLOROPHENOL",0.0
Aurora,46003,"2,4-DINITROTOLUENE",6.45526e-10
Aurora,46003,"2,4-TOLUENE DIISOCYANATE",0.0
Aurora,46003,2-NITROPROPANE,1.7990000000000001e-12
Aurora,46003,ACETALDEHYDE,0.0
Aurora,46003,ACETAMIDE,0.0
Aurora,46003,ACRYLONITRILE,0.0
Aurora,46003,ALLYL CHLORIDE,0.0
Aurora,46003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aurora,46003,BENZENE,0.0
Aurora,46003,BENZYL CHLORIDE,0.0
Aurora,46003,BERYLLIUM COMPOUNDS,0.0
Aurora,46003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),9.76596439e-07
Aurora,46003,CADMIUM COMPOUNDS,0.0
Aurora,46003,CARBON TETRACHLORIDE,0.005300160156777
Aurora,46003,CHLOROPRENE,0.0
Aurora,46003,CHROMIUM VI (HEXAVALENT),0.0
Aurora,46003,EPICHLOROHYDRIN,0.0
Aurora,46003,ETHYLBENZENE,0.0
Aurora,46003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",8.976248999999999e-09
Aurora,46003,ETHYLENE OXIDE,0.0
Aurora,46003,FORMALDEHYDE,0.0
Aurora,46003,HEXACHLOROBENZENE,5.351483e-09
Aurora,46003,HEXACHLOROBUTADIENE,0.0
Aurora,46003,METHYL TERT-BUTYL ETHER,2.6180000000000004e-12
Aurora,46003,METHYLENE CHLORIDE,0.00026420744880900003
Aurora,46003,NAPHTHALENE,0.0
Aurora,46003,NICKEL COMPOUNDS,0.0
Aurora,46003,NITROBENZENE,0.0
Aurora,46003,O-TOLUIDINE,0.0
Aurora,46003,PAHPOM,0.0
Aurora,46003,PROPYLENE OXIDE,0.0
Aurora,46003,TETRACHLOROETHYLENE,0.0
Aurora,46003,TRICHLOROETHYLENE,0.0003427175272059999
Aurora,46003,VINYL CHLORIDE,1.20128196e-07
Beadle,46005,"1,1,2-TRICHLOROETHANE",2.476e-12
Beadle,46005,"1,3-BUTADIENE",0.0
Beadle,46005,"1,4-DICHLOROBENZENE",1.29919589e-07
Beadle,46005,"1,4-DIOXANE",3.0866293e-08
Beadle,46005,"2,4,6-TRICHLOROPHENOL",0.0
Beadle,46005,"2,4-DINITROTOLUENE",4.251863e-09
Beadle,46005,"2,4-TOLUENE DIISOCYANATE",0.0
Beadle,46005,2-NITROPROPANE,1.2354e-11
Beadle,46005,ACETALDEHYDE,0.0
Beadle,46005,ACETAMIDE,0.0
Beadle,46005,ACRYLONITRILE,0.0
Beadle,46005,ALLYL CHLORIDE,0.0
Beadle,46005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Beadle,46005,BENZENE,0.0
Beadle,46005,BENZYL CHLORIDE,0.0
Beadle,46005,BERYLLIUM COMPOUNDS,0.0
Beadle,46005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.141098749e-06
Beadle,46005,CADMIUM COMPOUNDS,0.0
Beadle,46005,CARBON TETRACHLORIDE,0.005389660183411999
Beadle,46005,CHLOROPRENE,0.0
Beadle,46005,CHROMIUM VI (HEXAVALENT),0.0
Beadle,46005,EPICHLOROHYDRIN,0.0
Beadle,46005,ETHYLBENZENE,0.0
Beadle,46005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.3750601e-08
Beadle,46005,ETHYLENE OXIDE,0.0
Beadle,46005,FORMALDEHYDE,0.0
Beadle,46005,HEXACHLOROBENZENE,1.1330666999999999e-08
Beadle,46005,HEXACHLOROBUTADIENE,0.0
