county,fips,pollutant,val,population
Anderson,47001,"1,1,2-TRICHLOROETHANE",3.1204945999999997e-08,75129
Anderson,47001,"1,3-BUTADIENE",0.0,75129
Anderson,47001,"1,3-DICHLOROPROPENE",0.0,75129
Anderson,47001,"1,4-DICHLOROBENZENE",2.3399292199999998e-07,75129
Anderson,47001,"1,4-DIOXANE",2.9424214399999996e-07,75129
Anderson,47001,"2,4,6-TRICHLOROPHENOL",0.0,75129
Anderson,47001,"2,4-DINITROTOLUENE",3.541943629999999e-07,75129
Anderson,47001,"2,4-TOLUENE DIISOCYANATE",0.0,75129
Anderson,47001,2-NITROPROPANE,9.4537e-11,75129
Anderson,47001,ACETALDEHYDE,0.0,75129
Anderson,47001,ACETAMIDE,0.0,75129
Anderson,47001,ACRYLAMIDE,0.0,75129
Anderson,47001,ACRYLONITRILE,0.0,75129
Anderson,47001,ALLYL CHLORIDE,0.0,75129
Anderson,47001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,75129
Anderson,47001,BENZENE,0.0,75129
Anderson,47001,BENZIDINE,2.32727307e-07,75129
Anderson,47001,BENZYL CHLORIDE,0.0,75129
Anderson,47001,BERYLLIUM COMPOUNDS,0.0,75129
Anderson,47001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.92775308e-05,75129
Anderson,47001,BROMOFORM,0.0,75129
Anderson,47001,CADMIUM COMPOUNDS,0.0,75129
Anderson,47001,CARBON TETRACHLORIDE,0.005265210178111,75129
Anderson,47001,CHLOROPRENE,0.0,75129
Anderson,47001,CHROMIUM VI (HEXAVALENT),0.0,75129
Anderson,47001,EPICHLOROHYDRIN,0.0,75129
Anderson,47001,ETHYLBENZENE,0.0,75129
Anderson,47001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,75129
Anderson,47001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",6.4891487e-08,75129
Anderson,47001,ETHYLENE OXIDE,0.0,75129
Anderson,47001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,75129
Anderson,47001,FORMALDEHYDE,0.0,75129
Anderson,47001,HEXACHLOROBENZENE,1.0055508500000001e-07,75129
Anderson,47001,HEXACHLOROBUTADIENE,0.0,75129
Anderson,47001,METHYL TERT-BUTYL ETHER,6.702239999999999e-10,75129
Anderson,47001,METHYLENE CHLORIDE,0.000280576726293,75129
Anderson,47001,NAPHTHALENE,0.0,75129
Anderson,47001,NICKEL COMPOUNDS,0.0,75129
Anderson,47001,NITROBENZENE,0.0,75129
Anderson,47001,O-TOLUIDINE,0.0,75129
Anderson,47001,PAHPOM,0.0,75129
Anderson,47001,PENTACHLOROPHENOL,2.451e-12,75129
Anderson,47001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,75129
Anderson,47001,PROPYLENE OXIDE,0.0,75129
Anderson,47001,TETRACHLOROETHYLENE,0.0,75129
Anderson,47001,TRICHLOROETHYLENE,0.006961410567846999,75129
Anderson,47001,VINYL CHLORIDE,1.6073621489999999e-06,75129
Bedford,47003,"1,1,2-TRICHLOROETHANE",9.103e-12,45058
Bedford,47003,"1,2-DIBROMO-3-CHLOROPROPANE",0.0,45058
Bedford,47003,"1,3-BUTADIENE",0.0,45058
Bedford,47003,"1,3-DICHLOROPROPENE",0.0,45058
Bedford,47003,"1,4-DICHLOROBENZENE",7.65735995e-07,45058
Bedford,47003,"1,4-DIOXANE",1.58248896e-07,45058
Bedford,47003,"2,4,6-TRICHLOROPHENOL",0.0,45058
Bedford,47003,"2,4-DINITROTOLUENE",1.5251012e-08,45058
Bedford,47003,"2,4-TOLUENE DIISOCYANATE",0.0,45058
Bedford,47003,2-NITROPROPANE,1.21619e-10,45058
Bedford,47003,ACETALDEHYDE,0.0,45058
Bedford,47003,ACETAMIDE,0.0,45058
Bedford,47003,ACRYLAMIDE,0.0,45058
Bedford,47003,ACRYLONITRILE,0.0,45058
Bedford,47003,ALLYL CHLORIDE,0.0,45058
Bedford,47003,ANILINE,0.0,45058
Bedford,47003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,45058
Bedford,47003,BENZENE,0.0,45058
Bedford,47003,BENZYL CHLORIDE,0.0,45058
Bedford,47003,BERYLLIUM COMPOUNDS,0.0,45058
Bedford,47003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.4464385622000002e-05,45058
Bedford,47003,BROMOFORM,0.0,45058
Bedford,47003,CADMIUM COMPOUNDS,0.0,45058
