county,fips,pollutant,val,population
Albany,56001,"1,1,2-TRICHLOROETHANE",4.4072e-10,36295
Albany,56001,"1,3-BUTADIENE",0.0,36295
Albany,56001,"1,3-DICHLOROPROPENE",0.0,36295
Albany,56001,"1,4-DICHLOROBENZENE",4.3012366999999996e-07,36295
Albany,56001,"1,4-DIOXANE",6.4035736e-08,36295
Albany,56001,"2,4,6-TRICHLOROPHENOL",0.0,36295
Albany,56001,"2,4-DINITROTOLUENE",1.1652548e-08,36295
Albany,56001,"2,4-TOLUENE DIISOCYANATE",0.0,36295
Albany,56001,2-NITROPROPANE,3.3619999999999996e-11,36295
Albany,56001,ACETALDEHYDE,0.0,36295
Albany,56001,ACETAMIDE,0.0,36295
Albany,56001,ACRYLONITRILE,0.0,36295
Albany,56001,ALLYL CHLORIDE,0.0,36295
Albany,56001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,36295
Albany,56001,BENZENE,0.0,36295
Albany,56001,BENZYL CHLORIDE,0.0,36295
Albany,56001,BERYLLIUM COMPOUNDS,0.0,36295
Albany,56001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.272525777e-06,36295
Albany,56001,BROMOFORM,0.0,36295
Albany,56001,CADMIUM COMPOUNDS,0.0,36295
Albany,56001,CARBON TETRACHLORIDE,0.004295646269957,36295
Albany,56001,CHLOROPRENE,0.0,36295
Albany,56001,CHROMIUM VI (HEXAVALENT),0.0,36295
Albany,56001,EPICHLOROHYDRIN,0.0,36295
Albany,56001,ETHYLBENZENE,0.0,36295
Albany,56001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,36295
Albany,56001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.8616358e-08,36295
Albany,56001,ETHYLENE OXIDE,0.0,36295
Albany,56001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,36295
Albany,56001,FORMALDEHYDE,0.0,36295
Albany,56001,HEXACHLOROBENZENE,1.1464469e-08,36295
Albany,56001,HEXACHLOROBUTADIENE,0.0,36295
Albany,56001,METHYL TERT-BUTYL ETHER,5.047e-11,36295
Albany,56001,METHYLENE CHLORIDE,0.000273883447549,36295
Albany,56001,NAPHTHALENE,0.0,36295
Albany,56001,NICKEL COMPOUNDS,0.0,36295
Albany,56001,NITROBENZENE,0.0,36295
Albany,56001,O-TOLUIDINE,0.0,36295
Albany,56001,PAHPOM,0.0,36295
Albany,56001,PROPYLENE OXIDE,0.0,36295
Albany,56001,TETRACHLOROETHYLENE,0.0,36295
Albany,56001,TRICHLOROETHYLENE,0.000672137280628,36295
Albany,56001,VINYL CHLORIDE,1.0939057e-07,36295
Big Horn,56003,"1,1,2-TRICHLOROETHANE",1.4052479999999999e-09,11668
Big Horn,56003,"1,3-BUTADIENE",0.0,11668
Big Horn,56003,"1,3-DICHLOROPROPENE",0.0,11668
Big Horn,56003,"1,4-DICHLOROBENZENE",3.2743167600000006e-07,11668
Big Horn,56003,"1,4-DIOXANE",2.4779105e-08,11668
Big Horn,56003,"2,4,6-TRICHLOROPHENOL",0.0,11668
Big Horn,56003,"2,4-DINITROTOLUENE",3.634968e-09,11668
Big Horn,56003,"2,4-TOLUENE DIISOCYANATE",0.0,11668
