county,fips,pollutant,val
Adams,28001,"1,1,2-TRICHLOROETHANE",2.4916588e-07
Adams,28001,"1,3-BUTADIENE",0.0
Adams,28001,"1,3-DICHLOROPROPENE",0.0
Adams,28001,"1,4-DICHLOROBENZENE",1.53515065e-07
Adams,28001,"1,4-DIOXANE",1.3671423499999997e-07
Adams,28001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,28001,"2,4-DINITROTOLUENE",1.3537043e-08
Adams,28001,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,28001,2-NITROPROPANE,3.8672e-11
Adams,28001,ACETALDEHYDE,0.0
Adams,28001,ACETAMIDE,0.0
Adams,28001,ACRYLONITRILE,0.0
Adams,28001,ALLYL CHLORIDE,0.0
Adams,28001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,28001,BENZENE,0.0
Adams,28001,BENZYL CHLORIDE,0.0
Adams,28001,BERYLLIUM COMPOUNDS,0.0
Adams,28001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),9.983295555e-06
Adams,28001,BROMOFORM,0.0
Adams,28001,CADMIUM COMPOUNDS,0.0
Adams,28001,CARBON TETRACHLORIDE,0.005304299414474
Adams,28001,CHLOROPRENE,0.0
Adams,28001,CHROMIUM VI (HEXAVALENT),0.0
Adams,28001,EPICHLOROHYDRIN,0.0
Adams,28001,ETHYLBENZENE,0.0
Adams,28001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adams,28001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",5.25483267e-07
Adams,28001,ETHYLENE OXIDE,0.0
Adams,28001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,28001,FORMALDEHYDE,0.0
Adams,28001,HEXACHLOROBENZENE,5.3037647999999995e-08
Adams,28001,HEXACHLOROBUTADIENE,0.0
Adams,28001,METHYL TERT-BUTYL ETHER,5.6274999999999994e-11
Adams,28001,METHYLENE CHLORIDE,0.00028117825266200003
Adams,28001,NAPHTHALENE,0.0
Adams,28001,NICKEL COMPOUNDS,0.0
Adams,28001,NITROBENZENE,0.0
Adams,28001,O-TOLUIDINE,0.0
Adams,28001,PAHPOM,0.0
Adams,28001,PENTACHLOROPHENOL,3e-14
Adams,28001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Adams,28001,PROPYLENE OXIDE,0.0
Adams,28001,TETRACHLOROETHYLENE,0.0
Adams,28001,TRICHLOROETHYLENE,0.0018607113654029999
Adams,28001,VINYL CHLORIDE,1.0591504155e-05
Alcorn,28003,"1,1,2-TRICHLOROETHANE",1.642089e-09
Alcorn,28003,"1,3-BUTADIENE",0.0
Alcorn,28003,"1,3-DICHLOROPROPENE",0.0
Alcorn,28003,"1,4-DICHLOROBENZENE",2.93157548e-07
Alcorn,28003,"1,4-DIOXANE",1.23043316e-07
Alcorn,28003,"2,4,6-TRICHLOROPHENOL",0.0
