county,fips,pollutant,val
Albany,36001,"1,4-DIOXANE",4.20294258e-07
Albany,36001,METHYL TERT-BUTYL ETHER,1.31210151e-07
Albany,36001,METHYLENE CHLORIDE,0.00034625228071300006
Albany,36001,NAPHTHALENE,0.0
Albany,36001,NICKEL COMPOUNDS,0.0
Albany,36001,NITROBENZENE,0.0
Albany,36001,O-TOLUIDINE,0.0
Albany,36001,PAHPOM,0.0
Albany,36001,PENTACHLOROPHENOL,0.0
Albany,36001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Albany,36001,PROPYLENE OXIDE,0.0
Albany,36001,TETRACHLOROETHYLENE,0.0
Albany,36001,TRICHLOROETHYLENE,0.008295786893384
Albany,36001,VINYL CHLORIDE,2.2538000989000003e-05
Allegany,36003,"1,4-DIOXANE",2.9856503e-08
Allegany,36003,METHYL TERT-BUTYL ETHER,7.7676e-11
Allegany,36003,METHYLENE CHLORIDE,0.000287464683692
Allegany,36003,NAPHTHALENE,0.0
Allegany,36003,NICKEL COMPOUNDS,0.0
Allegany,36003,NITROBENZENE,0.0
Allegany,36003,O-TOLUIDINE,0.0
Allegany,36003,PAHPOM,0.0
Allegany,36003,PROPYLENE OXIDE,0.0
Allegany,36003,TETRACHLOROETHYLENE,0.0
Allegany,36003,TRICHLOROETHYLENE,0.002399611273729
Allegany,36003,VINYL CHLORIDE,2.3868332839999998e-06
Bronx,36005,"1,4-DIOXANE",4.975519624e-06
Bronx,36005,METHYL TERT-BUTYL ETHER,2.7205075000000002e-08
Bronx,36005,METHYLENE CHLORIDE,0.00032983717497000006
Bronx,36005,NAPHTHALENE,0.0
Bronx,36005,NICKEL COMPOUNDS,0.0
Bronx,36005,NITROBENZENE,0.0
Bronx,36005,O-TOLUIDINE,0.0
Bronx,36005,PAHPOM,0.0
Bronx,36005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Bronx,36005,PROPYLENE OXIDE,0.0
Bronx,36005,TETRACHLOROETHYLENE,0.0
Bronx,36005,TRICHLOROETHYLENE,0.027085940805942003
Bronx,36005,VINYL CHLORIDE,2.3636685559999998e-06
Broome,36007,"1,4-DIOXANE",2.30268555e-07
Broome,36007,METHYL TERT-BUTYL ETHER,1.48725e-10
Broome,36007,METHYLENE CHLORIDE,0.000308478032704
Broome,36007,NAPHTHALENE,0.0
Broome,36007,NICKEL COMPOUNDS,0.0
Broome,36007,NITROBENZENE,0.0
Broome,36007,O-TOLUIDINE,0.0
Broome,36007,PAHPOM,0.0
Broome,36007,PENTACHLOROPHENOL,7.535e-12
Broome,36007,PROPYLENE OXIDE,0.0
Broome,36007,TETRACHLOROETHYLENE,0.0
Broome,36007,TRICHLOROETHYLENE,0.005350545949647001
Broome,36007,VINYL CHLORIDE,2.025188114e-06
Cattaraugus,36009,"1,4-DIOXANE",4.9442115e-08
Cattaraugus,36009,METHYL TERT-BUTYL ETHER,3.2190799999999996e-10
Cattaraugus,36009,METHYLENE CHLORIDE,0.000277576836124
Cattaraugus,36009,NAPHTHALENE,0.0
Cattaraugus,36009,NICKEL COMPOUNDS,0.0
Cattaraugus,36009,NITROBENZENE,0.0
Cattaraugus,36009,O-TOLUIDINE,0.0
Cattaraugus,36009,PAHPOM,0.0
Cattaraugus,36009,PENTACHLOROPHENOL,1.6299999999999999e-13
Cattaraugus,36009,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Cattaraugus,36009,PROPYLENE OXIDE,0.0
Cattaraugus,36009,TETRACHLOROETHYLENE,0.0
Cattaraugus,36009,TRICHLOROETHYLENE,0.0030677935643259996
Cattaraugus,36009,VINYL CHLORIDE,7.55016035e-07
Cayuga,36011,"1,4-DIOXANE",1.1048028e-07
Cayuga,36011,METHYL TERT-BUTYL ETHER,1.7903664499999997e-07
Cayuga,36011,METHYLENE CHLORIDE,0.000311287988501
Cayuga,36011,NAPHTHALENE,0.0
Cayuga,36011,NICKEL COMPOUNDS,0.0
Cayuga,36011,NITROBENZENE,0.0
Cayuga,36011,O-TOLUIDINE,0.0
Cayuga,36011,PAHPOM,0.0
Cayuga,36011,PENTACHLOROPHENOL,3.9e-14
