county,fips,pollutant,val
St. Croix,78010,"1,1,2-TRICHLOROETHANE",8.819e-12
St. Croix,78010,"1,3-BUTADIENE",0.0
St. Croix,78010,"1,4-DICHLOROBENZENE",8.7672e-10
St. Croix,78010,"1,4-DIOXANE",2.01379004e-07
St. Croix,78010,"2,4,6-TRICHLOROPHENOL",0.0
St. Croix,78010,"2,4-DINITROTOLUENE",1.5576272e-08
St. Croix,78010,"2,4-TOLUENE DIISOCYANATE",0.0
St. Croix,78010,2-NITROPROPANE,4.3952e-11
St. Croix,78010,ACETALDEHYDE,0.0
St. Croix,78010,ACRYLONITRILE,0.0
St. Croix,78010,ALLYL CHLORIDE,0.0
St. Croix,78010,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
St. Croix,78010,BENZENE,0.0
St. Croix,78010,BENZYL CHLORIDE,0.0
St. Croix,78010,BERYLLIUM COMPOUNDS,0.0
St. Croix,78010,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.690275264e-06
St. Croix,78010,CADMIUM COMPOUNDS,0.0
St. Croix,78010,CARBON TETRACHLORIDE,0.005300033744912999
St. Croix,78010,CHLOROPRENE,0.0
St. Croix,78010,CHROMIUM VI (HEXAVALENT),0.0
St. Croix,78010,EPICHLOROHYDRIN,0.0
St. Croix,78010,ETHYLBENZENE,0.0
St. Croix,78010,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",3.3076578000000003e-08
St. Croix,78010,ETHYLENE OXIDE,0.0
St. Croix,78010,FORMALDEHYDE,0.0
St. Croix,78010,HEXACHLOROBENZENE,1.6760060000000002e-08
St. Croix,78010,HEXACHLOROBUTADIENE,0.0
St. Croix,78010,METHYL TERT-BUTYL ETHER,3.0799858e-08
St. Croix,78010,METHYLENE CHLORIDE,0.000334056067981
St. Croix,78010,NAPHTHALENE,0.0
St. Croix,78010,NICKEL COMPOUNDS,0.0
St. Croix,78010,NITROBENZENE,0.0
St. Croix,78010,O-TOLUIDINE,0.0
St. Croix,78010,PAHPOM,0.0
St. Croix,78010,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
St. Croix,78010,PROPYLENE OXIDE,0.0
St. Croix,78010,TETRACHLOROETHYLENE,0.0
St. Croix,78010,TRICHLOROETHYLENE,0.0009295757847320001
St. Croix,78010,VINYL CHLORIDE,2.0220599999999998e-10
St. John,78020,"1,1,2-TRICHLOROETHANE",1.8519999999999998e-12
St. John,78020,"1,3-BUTADIENE",0.0
St. John,78020,"1,4-DICHLOROBENZENE",3.33221e-10
St. John,78020,"1,4-DIOXANE",4.0143962e-08
St. John,78020,"2,4,6-TRICHLOROPHENOL",0.0
St. John,78020,"2,4-DINITROTOLUENE",3.253238e-09
St. John,78020,"2,4-TOLUENE DIISOCYANATE",0.0
St. John,78020,2-NITROPROPANE,9.297000000000001e-12
St. John,78020,ACETALDEHYDE,0.0
St. John,78020,ACRYLONITRILE,0.0
St. John,78020,ALLYL CHLORIDE,0.0
St. John,78020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
St. John,78020,BENZENE,0.0
St. John,78020,BENZYL CHLORIDE,0.0
St. John,78020,BERYLLIUM COMPOUNDS,0.0
