county,fips,pollutant,val
Adams,55001,"1,1,2-TRICHLOROETHANE",1.11107038e-07
Adams,55001,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
Adams,55001,"1,3-BUTADIENE",0.0
Adams,55001,"1,3-DICHLOROPROPENE",0.0
Adams,55001,"1,4-DICHLOROBENZENE",1.08888243e-07
Adams,55001,"1,4-DIOXANE",3.865043799999999e-08
Adams,55001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,55001,"2,4-DINITROTOLUENE",4.2384849999999996e-09
Adams,55001,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,55001,2-NITROPROPANE,1.1874000000000002e-11
Adams,55001,ACETALDEHYDE,0.0
Adams,55001,ACETAMIDE,0.0
Adams,55001,ACRYLONITRILE,0.0
Adams,55001,ALLYL CHLORIDE,0.0
Adams,55001,ANILINE,0.0
Adams,55001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,55001,BENZENE,0.0
Adams,55001,BENZYL CHLORIDE,0.0
Adams,55001,BERYLLIUM COMPOUNDS,0.0
Adams,55001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),5.897458498e-06
Adams,55001,BROMOFORM,0.0
Adams,55001,CADMIUM COMPOUNDS,0.0
Adams,55001,CARBON TETRACHLORIDE,0.005404642382081
Adams,55001,CHLOROPRENE,0.0
Adams,55001,CHROMIUM VI (HEXAVALENT),0.0
Adams,55001,EPICHLOROHYDRIN,0.0
Adams,55001,ETHYLBENZENE,0.0
Adams,55001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adams,55001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",5.9704755e-08
Adams,55001,ETHYLENE OXIDE,0.0
Adams,55001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,55001,FORMALDEHYDE,0.0
Adams,55001,HEXACHLOROBENZENE,5.1509767000000004e-08
Adams,55001,HEXACHLOROBUTADIENE,0.0
Adams,55001,METHYL TERT-BUTYL ETHER,6.3168e-11
Adams,55001,METHYLENE CHLORIDE,0.00030178955727499997
Adams,55001,NAPHTHALENE,0.0
Adams,55001,NICKEL COMPOUNDS,0.0
Adams,55001,NITROBENZENE,0.0
Adams,55001,O-TOLUIDINE,0.0
Adams,55001,PAHPOM,0.0
Adams,55001,PENTACHLOROPHENOL,1.33933e-10
Adams,55001,PROPYLENE OXIDE,0.0
Adams,55001,TETRACHLOROETHYLENE,0.0
Adams,55001,TRICHLOROETHYLENE,0.001233480400558
Adams,55001,VINYL CHLORIDE,7.44807012e-07
Ashland,55003,"1,1,2-TRICHLOROETHANE",2.1240000000000002e-12
Ashland,55003,"1,3-BUTADIENE",0.0
Ashland,55003,"1,4-DICHLOROBENZENE",6.1839197e-08
Ashland,55003,"1,4-DIOXANE",1.7245226000000002e-08
Ashland,55003,"2,4,6-TRICHLOROPHENOL",0.0
Ashland,55003,"2,4-DINITROTOLUENE",3.654968e-09
Ashland,55003,"2,4-TOLUENE DIISOCYANATE",0.0
Ashland,55003,2-NITROPROPANE,1.0595999999999997e-11
Ashland,55003,ACETALDEHYDE,0.0
Ashland,55003,ACETAMIDE,0.0
Ashland,55003,ACRYLONITRILE,0.0
Ashland,55003,ALLYL CHLORIDE,0.0
Ashland,55003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Ashland,55003,BENZENE,0.0
Ashland,55003,BENZYL CHLORIDE,0.0
Ashland,55003,BERYLLIUM COMPOUNDS,0.0
Ashland,55003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.669625711e-06
