county,fips,pollutant,val
Aleutians East,2013,"1,3-BUTADIENE",0.0006763951424570001
Aleutians East,2013,"1,4-DICHLOROBENZENE",0.0
Aleutians East,2013,"2,4,6-TRICHLOROPHENOL",0.0
Aleutians East,2013,ACETALDEHYDE,0.0
Aleutians East,2013,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aleutians East,2013,BENZENE,0.0
Aleutians East,2013,BERYLLIUM COMPOUNDS,0.0
Aleutians East,2013,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aleutians East,2013,CADMIUM COMPOUNDS,0.0
Aleutians East,2013,CARBON TETRACHLORIDE,0.0
Aleutians East,2013,CHROMIUM VI (HEXAVALENT),0.0
Aleutians East,2013,ETHYLBENZENE,0.0
Aleutians East,2013,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aleutians East,2013,FORMALDEHYDE,0.0
Aleutians East,2013,HEXACHLOROBENZENE,0.0
Aleutians East,2013,METHYLENE CHLORIDE,0.0
Aleutians East,2013,NAPHTHALENE,0.0
Aleutians East,2013,NICKEL COMPOUNDS,0.0
Aleutians East,2013,PAHPOM,0.007745703806999999
Aleutians East,2013,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aleutians East,2013,TETRACHLOROETHYLENE,0.0
Aleutians East,2013,TRICHLOROETHYLENE,1.2115510000000001e-09
Aleutians West,2016,"1,3-BUTADIENE",0.0008711528554039998
Aleutians West,2016,"1,4-DICHLOROBENZENE",0.0
Aleutians West,2016,"2,4,6-TRICHLOROPHENOL",0.0
Aleutians West,2016,ACETALDEHYDE,0.0
Aleutians West,2016,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aleutians West,2016,BENZENE,0.0
Aleutians West,2016,BERYLLIUM COMPOUNDS,0.0
Aleutians West,2016,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aleutians West,2016,CADMIUM COMPOUNDS,0.0
Aleutians West,2016,CARBON TETRACHLORIDE,0.0
Aleutians West,2016,CHROMIUM VI (HEXAVALENT),0.0
Aleutians West,2016,ETHYLBENZENE,0.0
Aleutians West,2016,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aleutians West,2016,FORMALDEHYDE,0.0
Aleutians West,2016,HEXACHLOROBENZENE,0.0
Aleutians West,2016,METHYLENE CHLORIDE,0.0
Aleutians West,2016,NAPHTHALENE,0.0
Aleutians West,2016,NICKEL COMPOUNDS,0.0
Aleutians West,2016,PAHPOM,0.007607165767936
Aleutians West,2016,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aleutians West,2016,TETRACHLOROETHYLENE,0.0
Aleutians West,2016,TRICHLOROETHYLENE,0.000127101065795
Anchorage,2020,"1,1,2-TRICHLOROETHANE",0.0
Anchorage,2020,"1,3-BUTADIENE",0.04558465204338299
Anchorage,2020,"1,3-DICHLOROPROPENE",0.0
Anchorage,2020,"1,4-DICHLOROBENZENE",0.0
Anchorage,2020,"2,4,6-TRICHLOROPHENOL",0.0
Anchorage,2020,ACETALDEHYDE,0.0
Anchorage,2020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Anchorage,2020,BENZENE,0.0
Anchorage,2020,BERYLLIUM COMPOUNDS,0.0
Anchorage,2020,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Anchorage,2020,CADMIUM COMPOUNDS,0.0
Anchorage,2020,CARBON TETRACHLORIDE,0.0
Anchorage,2020,CHROMIUM VI (HEXAVALENT),0.0
Anchorage,2020,ETHYLBENZENE,0.0
Anchorage,2020,ETHYLENE DIBROMIDE (DIBROMOETHANE),7.7715e-11
Anchorage,2020,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Anchorage,2020,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Anchorage,2020,FORMALDEHYDE,0.0
Anchorage,2020,HEXACHLOROBENZENE,0.0
Anchorage,2020,METHYLENE CHLORIDE,0.0
Anchorage,2020,NAPHTHALENE,0.0
Anchorage,2020,NICKEL COMPOUNDS,0.0
Anchorage,2020,PAHPOM,0.09779045766888099
Anchorage,2020,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Anchorage,2020,TETRACHLOROETHYLENE,0.0
Anchorage,2020,TRICHLOROETHYLENE,0.007408085267906
Anchorage,2020,VINYL CHLORIDE,0.0
Bethel,2050,"1,3-BUTADIENE",0.001309000875649
Bethel,2050,"1,4-DICHLOROBENZENE",0.0
Bethel,2050,"2,4,6-TRICHLOROPHENOL",0.0
Bethel,2050,ACETALDEHYDE,0.0
Bethel,2050,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bethel,2050,BENZENE,0.0
Bethel,2050,BERYLLIUM COMPOUNDS,0.0
Bethel,2050,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bethel,2050,CADMIUM COMPOUNDS,0.0
Bethel,2050,CARBON TETRACHLORIDE,0.0
Bethel,2050,CHROMIUM VI (HEXAVALENT),0.0
Bethel,2050,ETHYLBENZENE,0.0
Bethel,2050,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bethel,2050,FORMALDEHYDE,0.0
Bethel,2050,HEXACHLOROBENZENE,0.0
Bethel,2050,METHYLENE CHLORIDE,0.0
Bethel,2050,NAPHTHALENE,0.0
Bethel,2050,NICKEL COMPOUNDS,0.0
Bethel,2050,PAHPOM,0.008050071417745
Bethel,2050,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Bethel,2050,TETRACHLOROETHYLENE,0.0
Bethel,2050,TRICHLOROETHYLENE,5.076603744e-06
Bristol Bay,2060,"1,3-BUTADIENE",0.001253469953319
Bristol Bay,2060,"1,4-DICHLOROBENZENE",0.0
Bristol Bay,2060,"2,4,6-TRICHLOROPHENOL",0.0
Bristol Bay,2060,ACETALDEHYDE,0.0
Bristol Bay,2060,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bristol Bay,2060,BENZENE,0.0
Bristol Bay,2060,BERYLLIUM COMPOUNDS,0.0
Bristol Bay,2060,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bristol Bay,2060,CADMIUM COMPOUNDS,0.0
Bristol Bay,2060,CARBON TETRACHLORIDE,0.0
Bristol Bay,2060,CHROMIUM VI (HEXAVALENT),0.0
Bristol Bay,2060,ETHYLBENZENE,0.0
Bristol Bay,2060,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bristol Bay,2060,FORMALDEHYDE,0.0
Bristol Bay,2060,HEXACHLOROBENZENE,0.0
Bristol Bay,2060,METHYLENE CHLORIDE,0.0
Bristol Bay,2060,NAPHTHALENE,0.0
Bristol Bay,2060,NICKEL COMPOUNDS,0.0
Bristol Bay,2060,PAHPOM,0.008465764227
Bristol Bay,2060,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Bristol Bay,2060,TETRACHLOROETHYLENE,0.0
Bristol Bay,2060,TRICHLOROETHYLENE,9.922334697000002e-06
