county,fips,pollutant,val
Autauga,01001,"1,1,2-TRICHLOROETHANE",0.0
Autauga,01001,"1,3-BUTADIENE",0.018086200580383998
Autauga,01001,"1,4-DICHLOROBENZENE",0.0
Autauga,01001,"1,4-DIOXANE",0.0
Autauga,01001,"2,4,6-TRICHLOROPHENOL",0.0
Autauga,01001,"2,4-DINITROTOLUENE",0.0
Autauga,01001,"2,4-TOLUENE DIISOCYANATE",0.0
Autauga,01001,2-NITROPROPANE,0.0
Autauga,01001,ACETALDEHYDE,0.0
Autauga,01001,ACETAMIDE,0.0
Autauga,01001,ACRYLONITRILE,0.0
Autauga,01001,ALLYL CHLORIDE,0.0
Autauga,01001,ANILINE,0.0
Autauga,01001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Autauga,01001,BENZENE,0.0
Autauga,01001,BENZYL CHLORIDE,0.0
Autauga,01001,BERYLLIUM COMPOUNDS,0.0
Autauga,01001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Autauga,01001,BROMOFORM,0.0
Autauga,01001,CADMIUM COMPOUNDS,0.0
Autauga,01001,CARBON TETRACHLORIDE,0.0
Autauga,01001,CHLOROPRENE,0.0
Autauga,01001,CHROMIUM VI (HEXAVALENT),0.0
Autauga,01001,EPICHLOROHYDRIN,0.0
Autauga,01001,ETHYLBENZENE,0.0
Autauga,01001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.1151178270000001e-06
Autauga,01001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Autauga,01001,ETHYLENE OXIDE,0.0
Autauga,01001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Autauga,01001,FORMALDEHYDE,0.0
Autauga,01001,HEXACHLOROBENZENE,0.0
Autauga,01001,HEXACHLOROBUTADIENE,6.7271e-11
Autauga,01001,METHYL TERT-BUTYL ETHER,0.0
Autauga,01001,METHYLENE CHLORIDE,0.0
Autauga,01001,NAPHTHALENE,0.0
Autauga,01001,NICKEL COMPOUNDS,0.0
Autauga,01001,NITROBENZENE,0.0
Autauga,01001,O-TOLUIDINE,0.0
Autauga,01001,PAHPOM,0.054049212507051
Autauga,01001,PENTACHLOROPHENOL,0.0
Autauga,01001,PROPYLENE OXIDE,0.0
Autauga,01001,TETRACHLOROETHYLENE,0.0
Autauga,01001,TRICHLOROETHYLENE,0.0050346485971870004
Autauga,01001,VINYL CHLORIDE,0.0
Baldwin,01003,"1,1,2-TRICHLOROETHANE",0.0
Baldwin,01003,"1,3-BUTADIENE",0.009804328274484
Baldwin,01003,"1,3-DICHLOROPROPENE",0.0
Baldwin,01003,"1,4-DICHLOROBENZENE",0.0
Baldwin,01003,"1,4-DIOXANE",0.0
Baldwin,01003,"2,4,6-TRICHLOROPHENOL",0.0
Baldwin,01003,"2,4-DINITROTOLUENE",0.0
Baldwin,01003,"2,4-TOLUENE DIISOCYANATE",0.0
Baldwin,01003,2-NITROPROPANE,0.0
Baldwin,01003,ACETALDEHYDE,0.0
Baldwin,01003,ACETAMIDE,0.0
Baldwin,01003,ACRYLAMIDE,0.0
Baldwin,01003,ACRYLONITRILE,0.0
Baldwin,01003,ALLYL CHLORIDE,0.0
Baldwin,01003,ANILINE,0.0
Baldwin,01003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Baldwin,01003,BENZENE,0.0
Baldwin,01003,BENZYL CHLORIDE,0.0
Baldwin,01003,BERYLLIUM COMPOUNDS,0.0
