county,fips,pollutant,val,population
Barnstable,25001,"1,1,2-TRICHLOROETHANE",0.0,215888
Barnstable,25001,"1,3-BUTADIENE",0.006702137473654999,215888
Barnstable,25001,"1,4-DICHLOROBENZENE",0.0,215888
Barnstable,25001,"1,4-DIOXANE",0.0,215888
Barnstable,25001,"2,4,6-TRICHLOROPHENOL",0.0,215888
Barnstable,25001,"2,4-DINITROTOLUENE",0.0,215888
Barnstable,25001,"2,4-TOLUENE DIISOCYANATE",0.0,215888
Barnstable,25001,2-NITROPROPANE,0.0,215888
Barnstable,25001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0,215888
Barnstable,25001,ACETALDEHYDE,0.0,215888
Barnstable,25001,ACETAMIDE,0.0,215888
Barnstable,25001,ACRYLAMIDE,0.0,215888
Barnstable,25001,ACRYLONITRILE,0.0,215888
Barnstable,25001,ALLYL CHLORIDE,0.0,215888
Barnstable,25001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,215888
Barnstable,25001,BENZENE,0.0,215888
Barnstable,25001,BENZYL CHLORIDE,0.0,215888
Barnstable,25001,BERYLLIUM COMPOUNDS,0.0,215888
Barnstable,25001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,215888
Barnstable,25001,BROMOFORM,0.0,215888
Barnstable,25001,CADMIUM COMPOUNDS,0.0,215888
Barnstable,25001,CARBON TETRACHLORIDE,0.0,215888
Barnstable,25001,CHLOROPRENE,0.0,215888
Barnstable,25001,CHROMIUM VI (HEXAVALENT),0.0,215888
Barnstable,25001,EPICHLOROHYDRIN,0.0,215888
Barnstable,25001,ETHYLBENZENE,0.0,215888
Barnstable,25001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.3440773499999999e-07,215888
Barnstable,25001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,215888
Barnstable,25001,ETHYLENE OXIDE,0.0,215888
Barnstable,25001,FORMALDEHYDE,0.0,215888
Barnstable,25001,HEXACHLOROBENZENE,0.0,215888
Barnstable,25001,HEXACHLOROBUTADIENE,1.7933e-11,215888
Barnstable,25001,METHYL TERT-BUTYL ETHER,0.0,215888
Barnstable,25001,METHYLENE CHLORIDE,0.0,215888
Barnstable,25001,NAPHTHALENE,0.0,215888
Barnstable,25001,NICKEL COMPOUNDS,0.0,215888
Barnstable,25001,NITROBENZENE,0.0,215888
Barnstable,25001,O-TOLUIDINE,0.0,215888
Barnstable,25001,PAHPOM,0.006725580523966999,215888
Barnstable,25001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,215888
Barnstable,25001,PROPYLENE OXIDE,0.0,215888
Barnstable,25001,TETRACHLOROETHYLENE,0.0,215888
Barnstable,25001,TRICHLOROETHYLENE,0.003663607114294,215888
Barnstable,25001,VINYL CHLORIDE,0.0,215888
Berkshire,25003,"1,1,2-TRICHLOROETHANE",0.0,131219
Berkshire,25003,"1,3-BUTADIENE",0.005401400096184,131219
Berkshire,25003,"1,3-DICHLOROPROPENE",0.0,131219
Berkshire,25003,"1,4-DICHLOROBENZENE",0.0,131219
Berkshire,25003,"1,4-DIOXANE",0.0,131219
Berkshire,25003,"2,4,6-TRICHLOROPHENOL",0.0,131219
Berkshire,25003,"2,4-DINITROTOLUENE",0.0,131219
Berkshire,25003,"2,4-TOLUENE DIISOCYANATE",0.0,131219
Berkshire,25003,2-NITROPROPANE,0.0,131219
Berkshire,25003,4-DIMETHYLAMINOAZOBENZENE,0.0,131219
Berkshire,25003,ACETALDEHYDE,0.0,131219
Berkshire,25003,ACETAMIDE,0.0,131219
Berkshire,25003,ACRYLAMIDE,0.0,131219
Berkshire,25003,ACRYLONITRILE,0.0,131219
Berkshire,25003,ALLYL CHLORIDE,0.0,131219
Berkshire,25003,ANILINE,0.0,131219
Berkshire,25003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,131219
Berkshire,25003,BENZENE,0.0,131219
Berkshire,25003,BENZIDINE,0.0,131219
Berkshire,25003,BENZYL CHLORIDE,0.0,131219
Berkshire,25003,BERYLLIUM COMPOUNDS,0.0,131219
Berkshire,25003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,131219
Berkshire,25003,BROMOFORM,0.0,131219
Berkshire,25003,CADMIUM COMPOUNDS,0.0,131219
Berkshire,25003,CARBON TETRACHLORIDE,0.0,131219
Berkshire,25003,CHLOROPRENE,0.0,131219
Berkshire,25003,CHROMIUM VI (HEXAVALENT),0.0,131219
Berkshire,25003,EPICHLOROHYDRIN,0.0,131219
Berkshire,25003,ETHYL CARBAMATE (URETHANE) CHLORIDE (CHLOROETHANE),0.0,131219
Berkshire,25003,ETHYLBENZENE,0.0,131219
Berkshire,25003,ETHYLENE DIBROMIDE (DIBROMOETHANE),6.15723598e-07,131219
Berkshire,25003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,131219
Berkshire,25003,ETHYLENE OXIDE,0.0,131219
Berkshire,25003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,131219
Berkshire,25003,FORMALDEHYDE,0.0,131219
Berkshire,25003,HEXACHLOROBENZENE,0.0,131219
Berkshire,25003,HEXACHLOROBUTADIENE,1.6804e-11,131219
Berkshire,25003,METHYL TERT-BUTYL ETHER,0.0,131219
Berkshire,25003,METHYLENE CHLORIDE,0.0,131219
Berkshire,25003,NAPHTHALENE,0.0,131219
Berkshire,25003,NICKEL COMPOUNDS,0.0,131219
Berkshire,25003,NITROBENZENE,0.0,131219
Berkshire,25003,O-TOLUIDINE,0.0,131219
Berkshire,25003,PAHPOM,0.00797045250805,131219
Berkshire,25003,PENTACHLOROPHENOL,0.0,131219
Berkshire,25003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,131219
Berkshire,25003,PROPYLENE OXIDE,0.0,131219
Berkshire,25003,TETRACHLOROETHYLENE,0.0,131219
Berkshire,25003,TRICHLOROETHYLENE,0.003899168795914,131219
Berkshire,25003,VINYL CHLORIDE,0.0,131219
Bristol,25005,"1,1,2-TRICHLOROETHANE",0.0,548285
Bristol,25005,"1,3-BUTADIENE",0.013506980403578998,548285
Bristol,25005,"1,3-DICHLOROPROPENE",0.0,548285
Bristol,25005,"1,4-DICHLOROBENZENE",0.0,548285
Bristol,25005,"1,4-DIOXANE",0.0,548285
Bristol,25005,"2,4,6-TRICHLOROPHENOL",0.0,548285
Bristol,25005,"2,4-DINITROTOLUENE",0.0,548285
Bristol,25005,"2,4-TOLUENE DIISOCYANATE",0.0,548285
