county,fips,pollutant,val
Anderson,47001,"1,1,2-TRICHLOROETHANE",0.0
Anderson,47001,"1,3-BUTADIENE",0.009787936528798
Anderson,47001,"1,3-DICHLOROPROPENE",0.0
Anderson,47001,"1,4-DICHLOROBENZENE",0.0
Anderson,47001,"1,4-DIOXANE",0.0
Anderson,47001,"2,4,6-TRICHLOROPHENOL",0.0
Anderson,47001,"2,4-DINITROTOLUENE",0.0
Anderson,47001,"2,4-TOLUENE DIISOCYANATE",0.0
Anderson,47001,2-NITROPROPANE,0.0
Anderson,47001,ACETALDEHYDE,0.0
Anderson,47001,ACETAMIDE,0.0
Anderson,47001,ACRYLAMIDE,0.0
Anderson,47001,ACRYLONITRILE,0.0
Anderson,47001,ALLYL CHLORIDE,0.0
Anderson,47001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Anderson,47001,BENZENE,0.0
Anderson,47001,BENZIDINE,0.0
Anderson,47001,BENZYL CHLORIDE,0.0
Anderson,47001,BERYLLIUM COMPOUNDS,0.0
Anderson,47001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Anderson,47001,BROMOFORM,0.0
Anderson,47001,CADMIUM COMPOUNDS,0.0
Anderson,47001,CARBON TETRACHLORIDE,0.0
Anderson,47001,CHLOROPRENE,0.0
Anderson,47001,CHROMIUM VI (HEXAVALENT),0.0
Anderson,47001,EPICHLOROHYDRIN,0.0
Anderson,47001,ETHYLBENZENE,0.0
Anderson,47001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.7652585700000001e-06
Anderson,47001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Anderson,47001,ETHYLENE OXIDE,0.0
Anderson,47001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Anderson,47001,FORMALDEHYDE,0.0
Anderson,47001,HEXACHLOROBENZENE,0.0
Anderson,47001,HEXACHLOROBUTADIENE,5.2468e-11
Anderson,47001,METHYL TERT-BUTYL ETHER,0.0
Anderson,47001,METHYLENE CHLORIDE,0.0
Anderson,47001,NAPHTHALENE,0.0
Anderson,47001,NICKEL COMPOUNDS,0.0
Anderson,47001,NITROBENZENE,0.0
Anderson,47001,O-TOLUIDINE,0.0
Anderson,47001,PAHPOM,0.028752314941556
Anderson,47001,PENTACHLOROPHENOL,0.0
Anderson,47001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Anderson,47001,PROPYLENE OXIDE,0.0
Anderson,47001,TETRACHLOROETHYLENE,0.0
Anderson,47001,TRICHLOROETHYLENE,0.006961410567846999
Anderson,47001,VINYL CHLORIDE,0.0
Bedford,47003,"1,1,2-TRICHLOROETHANE",0.0
Bedford,47003,"1,2-DIBROMO-3-CHLOROPROPANE",4.402866123999999e-06
Bedford,47003,"1,3-BUTADIENE",0.007285823858681
Bedford,47003,"1,3-DICHLOROPROPENE",0.0
Bedford,47003,"1,4-DICHLOROBENZENE",0.0
Bedford,47003,"1,4-DIOXANE",0.0
Bedford,47003,"2,4,6-TRICHLOROPHENOL",0.0
Bedford,47003,"2,4-DINITROTOLUENE",0.0
Bedford,47003,"2,4-TOLUENE DIISOCYANATE",0.0
Bedford,47003,2-NITROPROPANE,0.0
Bedford,47003,ACETALDEHYDE,0.0
Bedford,47003,ACETAMIDE,0.0
Bedford,47003,ACRYLAMIDE,0.0
Bedford,47003,ACRYLONITRILE,0.0
Bedford,47003,ALLYL CHLORIDE,0.0
Bedford,47003,ANILINE,0.0
Bedford,47003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bedford,47003,BENZENE,0.0
Bedford,47003,BENZYL CHLORIDE,0.0
