county,fips,pollutant,val
St. Croix,78010,"1,1,2-TRICHLOROETHANE",0.0
St. Croix,78010,"1,3-BUTADIENE",0.0030391921796609996
St. Croix,78010,"1,4-DICHLOROBENZENE",0.0
St. Croix,78010,"1,4-DIOXANE",0.0
St. Croix,78010,"2,4,6-TRICHLOROPHENOL",0.0
St. Croix,78010,"2,4-DINITROTOLUENE",0.0
St. Croix,78010,"2,4-TOLUENE DIISOCYANATE",0.0
St. Croix,78010,2-NITROPROPANE,0.0
St. Croix,78010,ACETALDEHYDE,0.0
St. Croix,78010,ACRYLONITRILE,0.0
St. Croix,78010,ALLYL CHLORIDE,0.0
St. Croix,78010,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
St. Croix,78010,BENZENE,0.0
St. Croix,78010,BENZYL CHLORIDE,0.0
St. Croix,78010,BERYLLIUM COMPOUNDS,0.0
St. Croix,78010,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
St. Croix,78010,CADMIUM COMPOUNDS,0.0
St. Croix,78010,CARBON TETRACHLORIDE,0.0
St. Croix,78010,CHLOROPRENE,0.0
St. Croix,78010,CHROMIUM VI (HEXAVALENT),0.0
St. Croix,78010,EPICHLOROHYDRIN,0.0
St. Croix,78010,ETHYLBENZENE,0.0
St. Croix,78010,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
St. Croix,78010,ETHYLENE OXIDE,0.0
St. Croix,78010,FORMALDEHYDE,0.0
St. Croix,78010,HEXACHLOROBENZENE,0.0
St. Croix,78010,HEXACHLOROBUTADIENE,2.4419e-11
St. Croix,78010,METHYL TERT-BUTYL ETHER,0.0
St. Croix,78010,METHYLENE CHLORIDE,0.0
St. Croix,78010,NAPHTHALENE,0.0
St. Croix,78010,NICKEL COMPOUNDS,0.0
St. Croix,78010,NITROBENZENE,0.0
St. Croix,78010,O-TOLUIDINE,0.0
St. Croix,78010,PAHPOM,0.005344751542992
St. Croix,78010,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
St. Croix,78010,PROPYLENE OXIDE,0.0
St. Croix,78010,TETRACHLOROETHYLENE,0.0
St. Croix,78010,TRICHLOROETHYLENE,0.0009295757847320001
St. Croix,78010,VINYL CHLORIDE,0.0
St. John,78020,"1,1,2-TRICHLOROETHANE",0.0
St. John,78020,"1,3-BUTADIENE",0.0008701599971
St. John,78020,"1,4-DICHLOROBENZENE",0.0
St. John,78020,"1,4-DIOXANE",0.0
St. John,78020,"2,4,6-TRICHLOROPHENOL",0.0
St. John,78020,"2,4-DINITROTOLUENE",0.0
St. John,78020,"2,4-TOLUENE DIISOCYANATE",0.0
St. John,78020,2-NITROPROPANE,0.0
St. John,78020,ACETALDEHYDE,0.0
St. John,78020,ACRYLONITRILE,0.0
St. John,78020,ALLYL CHLORIDE,0.0
St. John,78020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
St. John,78020,BENZENE,0.0
St. John,78020,BENZYL CHLORIDE,0.0
St. John,78020,BERYLLIUM COMPOUNDS,0.0
St. John,78020,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
St. John,78020,CADMIUM COMPOUNDS,0.0
St. John,78020,CARBON TETRACHLORIDE,0.0
St. John,78020,CHLOROPRENE,0.0
St. John,78020,CHROMIUM VI (HEXAVALENT),0.0
St. John,78020,EPICHLOROHYDRIN,0.0
St. John,78020,ETHYLBENZENE,0.0
St. John,78020,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
St. John,78020,ETHYLENE OXIDE,0.0
St. John,78020,FORMALDEHYDE,0.0
St. John,78020,HEXACHLOROBENZENE,0.0
St. John,78020,HEXACHLOROBUTADIENE,5.147e-12
St. John,78020,METHYL TERT-BUTYL ETHER,0.0
St. John,78020,METHYLENE CHLORIDE,0.0
St. John,78020,NAPHTHALENE,0.0
St. John,78020,NICKEL COMPOUNDS,0.0
St. John,78020,NITROBENZENE,0.0
St. John,78020,O-TOLUIDINE,0.0
St. John,78020,PAHPOM,0.0034607135521449997
St. John,78020,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
St. John,78020,PROPYLENE OXIDE,0.0
St. John,78020,TETRACHLOROETHYLENE,0.0
St. John,78020,TRICHLOROETHYLENE,0.00048473911008099996
St. John,78020,VINYL CHLORIDE,0.0
St. Thomas,78030,"1,1,2-TRICHLOROETHANE",0.0
St. Thomas,78030,"1,3-BUTADIENE",0.005267316539786999
St. Thomas,78030,"1,4-DICHLOROBENZENE",0.0
St. Thomas,78030,"1,4-DIOXANE",0.0
St. Thomas,78030,"2,4,6-TRICHLOROPHENOL",0.0
St. Thomas,78030,"2,4-DINITROTOLUENE",0.0
St. Thomas,78030,"2,4-TOLUENE DIISOCYANATE",0.0
St. Thomas,78030,2-NITROPROPANE,0.0
St. Thomas,78030,ACETALDEHYDE,0.0
St. Thomas,78030,ACRYLONITRILE,0.0
