county,fips,pollutant,val
Apache,04001,"1,1,2-TRICHLOROETHANE",0.0
Apache,04001,"1,3-BUTADIENE",0.0
Apache,04001,"1,3-DICHLOROPROPENE",8.980958840000001e-07
Apache,04001,"1,4-DICHLOROBENZENE",0.0
Apache,04001,"1,4-DIOXANE",1.5741764e-08
Apache,04001,"2,4,6-TRICHLOROPHENOL",0.0
Apache,04001,"2,4-DINITROTOLUENE",0.0
Apache,04001,"2,4-TOLUENE DIISOCYANATE",5.288470926e-06
Apache,04001,2-NITROPROPANE,0.0
Apache,04001,ACETALDEHYDE,0.07895380557838
Apache,04001,ACETAMIDE,0.0
Apache,04001,ACRYLONITRILE,3.7606085439999997e-06
Apache,04001,ALLYL CHLORIDE,0.0
Apache,04001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Apache,04001,BENZENE,0.0
Apache,04001,BENZYL CHLORIDE,0.0
Apache,04001,BERYLLIUM COMPOUNDS,1.8100486739e-05
Apache,04001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.087720111e-06
Apache,04001,BROMOFORM,0.0
Apache,04001,CADMIUM COMPOUNDS,0.0
Apache,04001,CARBON TETRACHLORIDE,0.0
Apache,04001,CHLOROPRENE,1.42571e-10
Apache,04001,CHROMIUM VI (HEXAVALENT),1.1052708431000002e-05
Apache,04001,EPICHLOROHYDRIN,2.045255e-09
Apache,04001,ETHYLBENZENE,0.0
Apache,04001,ETHYLENE DIBROMIDE (DIBROMOETHANE),2.4538045699999995e-07
Apache,04001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Apache,04001,ETHYLENE OXIDE,0.0
Apache,04001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Apache,04001,FORMALDEHYDE,0.08080337442928599
Apache,04001,HEXACHLOROBENZENE,0.0
Apache,04001,HEXACHLOROBUTADIENE,0.0
Apache,04001,METHYL TERT-BUTYL ETHER,0.0
Apache,04001,METHYLENE CHLORIDE,0.000222194848892
Apache,04001,N-NITROSODIMETHYLAMINE,0.0
Apache,04001,NAPHTHALENE,0.0009297553248180001
Apache,04001,NICKEL COMPOUNDS,0.0005967474346000001
Apache,04001,NITROBENZENE,3.2978e-10
Apache,04001,O-TOLUIDINE,0.0
Apache,04001,PAHPOM,0.0
Apache,04001,PENTACHLOROPHENOL,0.0
Apache,04001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Apache,04001,PROPYLENE OXIDE,1.1037032e-08
Apache,04001,TETRACHLOROETHYLENE,0.0
Apache,04001,TRICHLOROETHYLENE,0.0
Apache,04001,VINYL CHLORIDE,0.0
Cochise,04003,"1,1,2-TRICHLOROETHANE",0.0
Cochise,04003,"1,3-BUTADIENE",0.0
Cochise,04003,"1,3-DICHLOROPROPENE",6.93081559e-07
Cochise,04003,"1,4-DICHLOROBENZENE",0.0
Cochise,04003,"1,4-DIOXANE",5.809513099999999e-08
Cochise,04003,"2,4,6-TRICHLOROPHENOL",0.0
Cochise,04003,"2,4-DINITROTOLUENE",0.0
Cochise,04003,"2,4-TOLUENE DIISOCYANATE",1.8700666767e-05
Cochise,04003,2-NITROPROPANE,0.0
Cochise,04003,ACETALDEHYDE,0.11109396585739698
Cochise,04003,ACETAMIDE,0.0
