county,fips,pollutant,val
District of Columbia,11001,"1,1,2-TRICHLOROETHANE",0.0
District of Columbia,11001,"1,3-BUTADIENE",0.0
District of Columbia,11001,"1,3-DICHLOROPROPENE",0.000437573546117
District of Columbia,11001,"1,4-DICHLOROBENZENE",0.0
District of Columbia,11001,"1,4-DIOXANE",2.149888028e-06
District of Columbia,11001,"2,4,6-TRICHLOROPHENOL",0.0
District of Columbia,11001,"2,4-DINITROTOLUENE",0.0
District of Columbia,11001,"2,4-TOLUENE DIISOCYANATE",0.0007168761611039999
District of Columbia,11001,2-NITROPROPANE,0.0
District of Columbia,11001,ACETALDEHYDE,0.13572201213803
District of Columbia,11001,ACETAMIDE,0.0
District of Columbia,11001,ACRYLAMIDE,0.0
District of Columbia,11001,ACRYLONITRILE,9.6495238057e-05
District of Columbia,11001,ALLYL CHLORIDE,0.0
District of Columbia,11001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
District of Columbia,11001,BENZENE,0.0
District of Columbia,11001,BENZYL CHLORIDE,0.0
District of Columbia,11001,BERYLLIUM COMPOUNDS,0.0007091343115560002
District of Columbia,11001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1125908850999999e-05
District of Columbia,11001,BROMOFORM,0.0
District of Columbia,11001,CADMIUM COMPOUNDS,0.0
District of Columbia,11001,CARBON TETRACHLORIDE,0.0
District of Columbia,11001,CHLOROPRENE,9.3290715e-08
District of Columbia,11001,CHROMIUM VI (HEXAVALENT),0.000156111552158
District of Columbia,11001,EPICHLOROHYDRIN,5.54252802e-07
District of Columbia,11001,ETHYLBENZENE,0.0
District of Columbia,11001,ETHYLENE DIBROMIDE (DIBROMOETHANE),7.94146635e-07
District of Columbia,11001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
District of Columbia,11001,ETHYLENE OXIDE,0.0
District of Columbia,11001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
District of Columbia,11001,FORMALDEHYDE,0.17009182110455098
District of Columbia,11001,HEPTACHLOR,0.0
District of Columbia,11001,HEXACHLOROBENZENE,0.0
District of Columbia,11001,HEXACHLOROBUTADIENE,0.0
District of Columbia,11001,METHYL TERT-BUTYL ETHER,0.0
District of Columbia,11001,METHYLENE CHLORIDE,0.00031429633471499995
District of Columbia,11001,NAPHTHALENE,0.0172343424078
District of Columbia,11001,NICKEL COMPOUNDS,0.0017382887998639998
District of Columbia,11001,NITROBENZENE,8.937657000000001e-08
District of Columbia,11001,O-TOLUIDINE,0.0
District of Columbia,11001,PAHPOM,0.0
District of Columbia,11001,PENTACHLOROPHENOL,0.0
District of Columbia,11001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
District of Columbia,11001,PROPYLENE OXIDE,4.523637854e-06
District of Columbia,11001,TETRACHLOROETHYLENE,0.0
District of Columbia,11001,TRICHLOROETHYLENE,0.0
District of Columbia,11001,VINYL CHLORIDE,0.0
