county,fips,pollutant,val
Appling,13001,"1,1,2-TRICHLOROETHANE",0.0
Appling,13001,"1,3-BUTADIENE",0.0
Appling,13001,"1,4-DICHLOROBENZENE",0.0
Appling,13001,"1,4-DIOXANE",6.1171963e-08
Appling,13001,"2,4,6-TRICHLOROPHENOL",0.0
Appling,13001,"2,4-DINITROTOLUENE",0.0
Appling,13001,"2,4-TOLUENE DIISOCYANATE",4.1829031242000004e-05
Appling,13001,2-NITROPROPANE,0.0
Appling,13001,ACETALDEHYDE,0.23479503705116198
Appling,13001,ACETAMIDE,0.0
Appling,13001,ACRYLONITRILE,5.5802435088e-05
Appling,13001,ALLYL CHLORIDE,0.0
Appling,13001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Appling,13001,BENZENE,0.0
Appling,13001,BENZYL CHLORIDE,0.0
Appling,13001,BERYLLIUM COMPOUNDS,4.6172411376e-05
Appling,13001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.870787004e-06
Appling,13001,CADMIUM COMPOUNDS,0.0
Appling,13001,CARBON TETRACHLORIDE,0.0
Appling,13001,CHLOROPRENE,6.32914e-10
Appling,13001,CHROMIUM VI (HEXAVALENT),8.2646039083e-05
Appling,13001,EPICHLOROHYDRIN,6.460148e-09
Appling,13001,ETHYLBENZENE,0.0
Appling,13001,ETHYLENE DIBROMIDE (DIBROMOETHANE),5.67954596e-07
Appling,13001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Appling,13001,ETHYLENE OXIDE,0.0
Appling,13001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Appling,13001,FORMALDEHYDE,0.19699227090325103
Appling,13001,HEXACHLOROBENZENE,0.0
Appling,13001,HEXACHLOROBUTADIENE,0.0
Appling,13001,METHYL TERT-BUTYL ETHER,0.0
Appling,13001,METHYLENE CHLORIDE,0.000272018897648
Appling,13001,NAPHTHALENE,0.00507030414422
Appling,13001,NICKEL COMPOUNDS,0.0008481035980689998
Appling,13001,NITROBENZENE,1.0440639999999998e-09
Appling,13001,O-TOLUIDINE,0.0
Appling,13001,PAHPOM,0.0
Appling,13001,PENTACHLOROPHENOL,0.0
Appling,13001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Appling,13001,PROPYLENE OXIDE,3.4859729e-08
Appling,13001,TETRACHLOROETHYLENE,0.0
Appling,13001,TRICHLOROETHYLENE,0.0
Appling,13001,VINYL CHLORIDE,0.0
Atkinson,13003,"1,1,2-TRICHLOROETHANE",0.0
Atkinson,13003,"1,3-BUTADIENE",0.0
Atkinson,13003,"1,3-DICHLOROPROPENE",1.457262373e-06
Atkinson,13003,"1,4-DICHLOROBENZENE",0.0
Atkinson,13003,"1,4-DIOXANE",5.0916048e-08
Atkinson,13003,"2,4,6-TRICHLOROPHENOL",0.0
Atkinson,13003,"2,4-DINITROTOLUENE",0.0
Atkinson,13003,"2,4-TOLUENE DIISOCYANATE",3.4488113949e-05
Atkinson,13003,2-NITROPROPANE,0.0
Atkinson,13003,ACETALDEHYDE,0.237583766616974
Atkinson,13003,ACETAMIDE,0.0
Atkinson,13003,ACRYLONITRILE,6.453985737e-05
Atkinson,13003,ALLYL CHLORIDE,0.0
Atkinson,13003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Atkinson,13003,BENZENE,0.0
Atkinson,13003,BENZYL CHLORIDE,0.0
Atkinson,13003,BERYLLIUM COMPOUNDS,4.374801833899999e-05
Atkinson,13003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),6.763570562000001e-06
Atkinson,13003,CADMIUM COMPOUNDS,0.0
Atkinson,13003,CARBON TETRACHLORIDE,0.0
Atkinson,13003,CHLOROPRENE,4.905019999999999e-10
Atkinson,13003,CHROMIUM VI (HEXAVALENT),6.9817678662e-05
Atkinson,13003,EPICHLOROHYDRIN,5.778876e-09
Atkinson,13003,ETHYLBENZENE,0.0
Atkinson,13003,ETHYLENE DIBROMIDE (DIBROMOETHANE),2.3488859600000002e-07
Atkinson,13003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Atkinson,13003,ETHYLENE OXIDE,0.0
Atkinson,13003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Atkinson,13003,FORMALDEHYDE,0.203928728753494
Atkinson,13003,HEXACHLOROBENZENE,0.0
Atkinson,13003,HEXACHLOROBUTADIENE,0.0
Atkinson,13003,METHYL TERT-BUTYL ETHER,0.0
Atkinson,13003,METHYLENE CHLORIDE,0.00027125243157300003
Atkinson,13003,NAPHTHALENE,0.005147630564674
Atkinson,13003,NICKEL COMPOUNDS,0.000983086807198
Atkinson,13003,NITROBENZENE,9.277910000000001e-10
Atkinson,13003,O-TOLUIDINE,0.0
Atkinson,13003,PAHPOM,0.0
Atkinson,13003,PENTACHLOROPHENOL,0.0
Atkinson,13003,PROPYLENE OXIDE,3.102401e-08
Atkinson,13003,TETRACHLOROETHYLENE,0.0
Atkinson,13003,TRICHLOROETHYLENE,0.0
Atkinson,13003,VINYL CHLORIDE,0.0
Bacon,13005,"1,1,2-TRICHLOROETHANE",0.0
Bacon,13005,"1,3-BUTADIENE",0.0
Bacon,13005,"1,4-DICHLOROBENZENE",0.0
Bacon,13005,"1,4-DIOXANE",6.2799401e-08
Bacon,13005,"2,4,6-TRICHLOROPHENOL",0.0
Bacon,13005,"2,4-DINITROTOLUENE",0.0
Bacon,13005,"2,4-TOLUENE DIISOCYANATE",3.9736742565e-05
Bacon,13005,2-NITROPROPANE,0.0
Bacon,13005,ACETALDEHYDE,0.235662237716101
Bacon,13005,ACETAMIDE,0.0
Bacon,13005,ACRYLONITRILE,6.3452071382e-05
Bacon,13005,ALLYL CHLORIDE,0.0
Bacon,13005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bacon,13005,BENZENE,0.0
Bacon,13005,BENZYL CHLORIDE,0.0
Bacon,13005,BERYLLIUM COMPOUNDS,5.1979621502999996e-05
Bacon,13005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.735108887e-06
Bacon,13005,CADMIUM COMPOUNDS,0.0
Bacon,13005,CARBON TETRACHLORIDE,0.0
Bacon,13005,CHLOROPRENE,6.25811e-10
Bacon,13005,CHROMIUM VI (HEXAVALENT),7.127924517599999e-05
Bacon,13005,EPICHLOROHYDRIN,6.999941999999999e-09
Bacon,13005,ETHYLBENZENE,0.0
Bacon,13005,ETHYLENE DIBROMIDE (DIBROMOETHANE),6.18642164e-07
Bacon,13005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bacon,13005,ETHYLENE OXIDE,0.0
Bacon,13005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bacon,13005,FORMALDEHYDE,0.19668052410477502
Bacon,13005,HEXACHLOROBENZENE,0.0
Bacon,13005,HEXACHLOROBUTADIENE,0.0
Bacon,13005,METHYL TERT-BUTYL ETHER,0.0
Bacon,13005,METHYLENE CHLORIDE,0.00028102344287
Bacon,13005,NAPHTHALENE,0.004331607141512
Bacon,13005,NICKEL COMPOUNDS,0.0009561340060169999
Bacon,13005,NITROBENZENE,1.131509e-09
Bacon,13005,O-TOLUIDINE,0.0
Bacon,13005,PAHPOM,0.0
Bacon,13005,PROPYLENE OXIDE,3.7735067999999995e-08
Bacon,13005,TETRACHLOROETHYLENE,0.0
Bacon,13005,TRICHLOROETHYLENE,0.0
Bacon,13005,VINYL CHLORIDE,0.0
Baker,13007,"1,1,2-TRICHLOROETHANE",0.0
Baker,13007,"1,3-BUTADIENE",0.0
Baker,13007,"1,4-DICHLOROBENZENE",0.0
Baker,13007,"1,4-DIOXANE",4.2019137e-08
Baker,13007,"2,4,6-TRICHLOROPHENOL",0.0
Baker,13007,"2,4-DINITROTOLUENE",0.0
Baker,13007,"2,4-TOLUENE DIISOCYANATE",3.1761949044e-05
Baker,13007,2-NITROPROPANE,0.0
Baker,13007,ACETALDEHYDE,0.23774868659891601
Baker,13007,ACETAMIDE,0.0
Baker,13007,ACRYLONITRILE,4.7443086622e-05
Baker,13007,ALLYL CHLORIDE,0.0
