county,fips,pollutant,val,population
Hawaii,15001,"1,1,2-TRICHLOROETHANE",0.0,185078
Hawaii,15001,"1,3-BUTADIENE",0.0,185078
Hawaii,15001,"1,4-DICHLOROBENZENE",0.0,185078
Hawaii,15001,"1,4-DIOXANE",1.7440456000000002e-08,185078
Hawaii,15001,"2,4,6-TRICHLOROPHENOL",0.0,185078
Hawaii,15001,"2,4-DINITROTOLUENE",0.0,185078
Hawaii,15001,"2,4-TOLUENE DIISOCYANATE",7.4069368020000005e-06,185078
Hawaii,15001,2-NITROPROPANE,0.0,185078
Hawaii,15001,ACETALDEHYDE,0.027194828550108997,185078
Hawaii,15001,ACRYLONITRILE,5.0939050000000006e-08,185078
Hawaii,15001,ALLYL CHLORIDE,0.0,185078
Hawaii,15001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,185078
Hawaii,15001,BENZENE,0.0,185078
Hawaii,15001,BENZYL CHLORIDE,0.0,185078
Hawaii,15001,BERYLLIUM COMPOUNDS,4.09795758e-07,185078
Hawaii,15001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),6.920003985000001e-06,185078
Hawaii,15001,CADMIUM COMPOUNDS,0.0,185078
Hawaii,15001,CARBON TETRACHLORIDE,0.0,185078
Hawaii,15001,CHLOROPRENE,3.1435000000000006e-10,185078
Hawaii,15001,CHROMIUM VI (HEXAVALENT),2.12786156e-06,185078
Hawaii,15001,EPICHLOROHYDRIN,1.194628e-09,185078
Hawaii,15001,ETHYLBENZENE,0.0,185078
Hawaii,15001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,185078
Hawaii,15001,ETHYLENE OXIDE,0.0,185078
Hawaii,15001,FORMALDEHYDE,0.027655180650299,185078
Hawaii,15001,HEXACHLOROBENZENE,0.0,185078
Hawaii,15001,HEXACHLOROBUTADIENE,0.0,185078
Hawaii,15001,METHYL TERT-BUTYL ETHER,0.0,185078
Hawaii,15001,METHYLENE CHLORIDE,0.00033348273235599997,185078
Hawaii,15001,NAPHTHALENE,0.002795576623427,185078
Hawaii,15001,NICKEL COMPOUNDS,0.000362876646349,185078
Hawaii,15001,NITROBENZENE,1.92748e-10,185078
Hawaii,15001,O-TOLUIDINE,0.0,185078
Hawaii,15001,PAHPOM,0.0,185078
Hawaii,15001,PENTACHLOROPHENOL,0.0,185078
Hawaii,15001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,185078
Hawaii,15001,PROPYLENE OXIDE,6.442329999999999e-09,185078
Hawaii,15001,TETRACHLOROETHYLENE,0.0,185078
Hawaii,15001,TRICHLOROETHYLENE,0.0,185078
Hawaii,15001,VINYL CHLORIDE,0.0,185078
Honolulu,15003,"1,1,2-TRICHLOROETHANE",0.0,953207
Honolulu,15003,"1,3-BUTADIENE",0.0,953207
Honolulu,15003,"1,4-DICHLOROBENZENE",0.0,953207
Honolulu,15003,"1,4-DIOXANE",7.006593240000001e-07,953207
Honolulu,15003,"2,4,6-TRICHLOROPHENOL",0.0,953207
Honolulu,15003,"2,4-DINITROTOLUENE",0.0,953207
Honolulu,15003,"2,4-TOLUENE DIISOCYANATE",0.000297207484775,953207
Honolulu,15003,2-NITROPROPANE,0.0,953207
Honolulu,15003,ACETALDEHYDE,0.037808775674528,953207
Honolulu,15003,ACRYLONITRILE,6.921222024e-06,953207
Honolulu,15003,ALLYL CHLORIDE,0.0,953207
Honolulu,15003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,953207
Honolulu,15003,BENZENE,0.0,953207
Honolulu,15003,BENZYL CHLORIDE,0.0,953207
Honolulu,15003,BERYLLIUM COMPOUNDS,1.625513684e-06,953207
Honolulu,15003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.1447921789999996e-06,953207
Honolulu,15003,CADMIUM COMPOUNDS,0.0,953207
Honolulu,15003,CARBON TETRACHLORIDE,0.0,953207
Honolulu,15003,CHLOROPRENE,1.4314405000000002e-08,953207
Honolulu,15003,CHROMIUM VI (HEXAVALENT),4.746853438999999e-06,953207
Honolulu,15003,EPICHLOROHYDRIN,5.4336489000000005e-08,953207
Honolulu,15003,ETHYLBENZENE,0.0,953207
Honolulu,15003,ETHYLENE DIBROMIDE (DIBROMOETHANE),5.663039999999999e-10,953207
Honolulu,15003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,953207
Honolulu,15003,ETHYLENE OXIDE,0.0,953207
Honolulu,15003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,953207
Honolulu,15003,FORMALDEHYDE,0.04267844063764,953207
Honolulu,15003,HEXACHLOROBENZENE,0.0,953207
Honolulu,15003,HEXACHLOROBUTADIENE,0.0,953207
Honolulu,15003,METHYL TERT-BUTYL ETHER,0.0,953207
Honolulu,15003,METHYLENE CHLORIDE,0.000337022348661,953207
Honolulu,15003,NAPHTHALENE,0.008623077932627999,953207
Honolulu,15003,NICKEL COMPOUNDS,0.0016954179986249998,953207
Honolulu,15003,NITROBENZENE,8.76905e-09,953207
Honolulu,15003,O-TOLUIDINE,0.0,953207
Honolulu,15003,PAHPOM,0.0,953207
Honolulu,15003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,953207
Honolulu,15003,PROPYLENE OXIDE,2.52577311e-07,953207
Honolulu,15003,TETRACHLOROETHYLENE,0.0,953207
Honolulu,15003,TRICHLOROETHYLENE,0.0,953207
Honolulu,15003,VINYL CHLORIDE,0.0,953207
Kalawao,15005,"1,1,2-TRICHLOROETHANE",0.0,90
Kalawao,15005,"1,3-BUTADIENE",0.0,90
Kalawao,15005,"1,4-DICHLOROBENZENE",0.0,90
Kalawao,15005,"1,4-DIOXANE",2.3737020000000004e-09,90
Kalawao,15005,"2,4,6-TRICHLOROPHENOL",0.0,90
Kalawao,15005,"2,4-DINITROTOLUENE",0.0,90
Kalawao,15005,"2,4-TOLUENE DIISOCYANATE",1.006161771e-06,90
Kalawao,15005,2-NITROPROPANE,0.0,90
Kalawao,15005,ACETALDEHYDE,0.025189878114316003,90
Kalawao,15005,ACRYLONITRILE,8.572702e-09,90
Kalawao,15005,ALLYL CHLORIDE,0.0,90
Kalawao,15005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,90
Kalawao,15005,BENZENE,0.0,90
Kalawao,15005,BENZYL CHLORIDE,0.0,90
Kalawao,15005,BERYLLIUM COMPOUNDS,6.467000000000001e-09,90
Kalawao,15005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.16987007e-07,90
Kalawao,15005,CADMIUM COMPOUNDS,0.0,90
Kalawao,15005,CARBON TETRACHLORIDE,0.0,90
Kalawao,15005,CHLOROPRENE,5.2788e-11,90
Kalawao,15005,CHROMIUM VI (HEXAVALENT),5.907635e-08,90
Kalawao,15005,EPICHLOROHYDRIN,1.9984e-10,90
Kalawao,15005,ETHYLBENZENE,0.0,90
Kalawao,15005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,90
Kalawao,15005,ETHYLENE OXIDE,0.0,90
Kalawao,15005,FORMALDEHYDE,0.023916121239413,90
Kalawao,15005,HEXACHLOROBENZENE,0.0,90
Kalawao,15005,HEXACHLOROBUTADIENE,0.0,90
Kalawao,15005,METHYL TERT-BUTYL ETHER,0.0,90
Kalawao,15005,METHYLENE CHLORIDE,0.00033334344390400003,90
Kalawao,15005,NAPHTHALENE,0.001455362117526,90
Kalawao,15005,NICKEL COMPOUNDS,8.383104323e-06,90
Kalawao,15005,NITROBENZENE,3.2481e-11,90
Kalawao,15005,O-TOLUIDINE,0.0,90
Kalawao,15005,PAHPOM,0.0,90
Kalawao,15005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,90
Kalawao,15005,PROPYLENE OXIDE,1.0863499999999999e-09,90
Kalawao,15005,TETRACHLOROETHYLENE,0.0,90
