county,fips,pollutant,val
Adams,17001,"1,1,2-TRICHLOROETHANE",0.0
Adams,17001,"1,3-BUTADIENE",0.0
Adams,17001,"1,3-DICHLOROPROPENE",3.90999766e-07
Adams,17001,"1,4-DICHLOROBENZENE",0.0
Adams,17001,"1,4-DIOXANE",5.02139817e-07
Adams,17001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,17001,"2,4-DINITROTOLUENE",0.0
Adams,17001,"2,4-TOLUENE DIISOCYANATE",0.000132699660183
Adams,17001,2-NITROPROPANE,0.0
Adams,17001,ACETALDEHYDE,0.10237841267804303
Adams,17001,ACETAMIDE,0.0
Adams,17001,ACRYLONITRILE,5.5733969317e-05
Adams,17001,ALLYL CHLORIDE,0.0
Adams,17001,ANILINE,0.0
Adams,17001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,17001,BENZENE,0.0
Adams,17001,BENZYL CHLORIDE,0.0
Adams,17001,BERYLLIUM COMPOUNDS,0.000152147207569
Adams,17001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.5941769011e-05
Adams,17001,BROMOFORM,0.0
Adams,17001,CADMIUM COMPOUNDS,0.0
Adams,17001,CARBON TETRACHLORIDE,0.0
Adams,17001,CHLOROPRENE,4.3570379999999994e-09
Adams,17001,CHROMIUM VI (HEXAVALENT),0.00022677096273599997
Adams,17001,EPICHLOROHYDRIN,3.0141866e-08
Adams,17001,ETHYLBENZENE,0.0
Adams,17001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.2719223200000001e-06
Adams,17001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,17001,ETHYLENE OXIDE,0.0
Adams,17001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,17001,FORMALDEHYDE,0.122248751135695
Adams,17001,HEXACHLOROBENZENE,0.0
Adams,17001,HEXACHLOROBUTADIENE,0.0
Adams,17001,METHYL TERT-BUTYL ETHER,0.0
Adams,17001,METHYLENE CHLORIDE,0.00030224938953900005
Adams,17001,NAPHTHALENE,0.006691489478089
Adams,17001,NICKEL COMPOUNDS,0.0009948182623630002
Adams,17001,NITROBENZENE,4.961955e-09
Adams,17001,O-TOLUIDINE,0.0
Adams,17001,PAHPOM,0.0
Adams,17001,PENTACHLOROPHENOL,0.0
Adams,17001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Adams,17001,PROPYLENE OXIDE,1.9437130499999998e-07
Adams,17001,TETRACHLOROETHYLENE,0.0
Adams,17001,TRICHLOROETHYLENE,0.0
Adams,17001,VINYL CHLORIDE,0.0
Alexander,17003,"1,1,2-TRICHLOROETHANE",0.0
Alexander,17003,"1,3-BUTADIENE",0.0
Alexander,17003,"1,3-DICHLOROPROPENE",7.093235279999999e-07
Alexander,17003,"1,4-DICHLOROBENZENE",0.0
Alexander,17003,"1,4-DIOXANE",5.7582497e-08
Alexander,17003,"2,4,6-TRICHLOROPHENOL",0.0
Alexander,17003,"2,4-DINITROTOLUENE",0.0
Alexander,17003,"2,4-TOLUENE DIISOCYANATE",8.0472844374e-05
Alexander,17003,2-NITROPROPANE,0.0
Alexander,17003,ACETALDEHYDE,0.127928952648378
Alexander,17003,ACETAMIDE,0.0
Alexander,17003,ACRYLAMIDE,0.0
