county,fips,pollutant,val,population
Adams,18001,"1,1,2-TRICHLOROETHANE",0.0,34387
Adams,18001,"1,3-BUTADIENE",0.0,34387
Adams,18001,"1,3-DICHLOROPROPENE",2.091361553e-06,34387
Adams,18001,"1,4-DICHLOROBENZENE",0.0,34387
Adams,18001,"1,4-DIOXANE",1.46861667e-07,34387
Adams,18001,"2,4,6-TRICHLOROPHENOL",0.0,34387
Adams,18001,"2,4-DINITROTOLUENE",0.0,34387
Adams,18001,"2,4-TOLUENE DIISOCYANATE",7.995198205099999e-05,34387
Adams,18001,2-NITROPROPANE,0.0,34387
Adams,18001,4-DIMETHYLAMINOAZOBENZENE,0.0,34387
Adams,18001,ACETALDEHYDE,0.088217935312301,34387
Adams,18001,ACETAMIDE,0.0,34387
Adams,18001,ACRYLONITRILE,9.986826829400001e-05,34387
Adams,18001,ALLYL CHLORIDE,0.0,34387
Adams,18001,ANILINE,0.0,34387
Adams,18001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,34387
Adams,18001,BENZENE,0.0,34387
Adams,18001,BENZIDINE,0.0,34387
Adams,18001,BENZYL CHLORIDE,0.0,34387
Adams,18001,BERYLLIUM COMPOUNDS,8.470050880799999e-05,34387
Adams,18001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),8.195644025e-06,34387
Adams,18001,BROMOFORM,0.0,34387
Adams,18001,CADMIUM COMPOUNDS,0.0,34387
Adams,18001,CARBON TETRACHLORIDE,0.0,34387
Adams,18001,CHLOROPRENE,9.307989999999999e-10,34387
Adams,18001,CHROMIUM VI (HEXAVALENT),9.8511899655e-05,34387
Adams,18001,EPICHLOROHYDRIN,8.356252000000001e-09,34387
Adams,18001,ETHYLBENZENE,0.0,34387
Adams,18001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.3851728469999997e-06,34387
Adams,18001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,34387
Adams,18001,ETHYLENE OXIDE,0.0,34387
Adams,18001,ETHYLENE THIOUREA,0.0,34387
Adams,18001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,34387
Adams,18001,FORMALDEHYDE,0.092973353384423,34387
Adams,18001,HEXACHLOROBENZENE,0.0,34387
Adams,18001,HEXACHLOROBUTADIENE,0.0,34387
Adams,18001,METHYL TERT-BUTYL ETHER,0.0,34387
Adams,18001,METHYLENE CHLORIDE,0.000286409764323,34387
Adams,18001,NAPHTHALENE,0.004901740432585,34387
Adams,18001,NICKEL COMPOUNDS,0.001443356989719,34387
Adams,18001,NITROBENZENE,1.5399392e-08,34387
Adams,18001,O-TOLUIDINE,0.0,34387
Adams,18001,PAHPOM,0.0,34387
Adams,18001,PENTACHLOROPHENOL,0.0,34387
Adams,18001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,34387
Adams,18001,PROPYLENE OXIDE,1.6222836100000002e-06,34387
Adams,18001,TETRACHLOROETHYLENE,0.0,34387
Adams,18001,TRICHLOROETHYLENE,0.0,34387
Adams,18001,VINYL CHLORIDE,0.0,34387
Allen,18003,"1,1,2-TRICHLOROETHANE",0.0,355315
Allen,18003,"1,3-BUTADIENE",0.0,355315
Allen,18003,"1,3-DICHLOROPROPENE",1.7075328769999999e-06,355315
Allen,18003,"1,4-DICHLOROBENZENE",0.0,355315
Allen,18003,"1,4-DIOXANE",6.983425140000001e-07,355315
Allen,18003,"2,4,6-TRICHLOROPHENOL",0.0,355315
Allen,18003,"2,4-DINITROTOLUENE",0.0,355315
Allen,18003,"2,4-TOLUENE DIISOCYANATE",0.000180032023281,355315
Allen,18003,2-NITROPROPANE,0.0,355315
Allen,18003,4-DIMETHYLAMINOAZOBENZENE,0.0,355315
Allen,18003,ACETALDEHYDE,0.090207109473849,355315
Allen,18003,ACETAMIDE,0.0,355315
Allen,18003,ACRYLONITRILE,0.000129087021544,355315
Allen,18003,ALLYL CHLORIDE,0.0,355315
Allen,18003,ANILINE,0.0,355315
Allen,18003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,355315
Allen,18003,BENZENE,0.0,355315
Allen,18003,BENZIDINE,0.0,355315
Allen,18003,BENZYL CHLORIDE,0.0,355315
Allen,18003,BERYLLIUM COMPOUNDS,0.00011402881891099999,355315
Allen,18003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.5639345234e-05,355315
Allen,18003,BROMOFORM,0.0,355315
Allen,18003,CADMIUM COMPOUNDS,0.0,355315
Allen,18003,CARBON TETRACHLORIDE,0.0,355315
Allen,18003,CHLOROPRENE,6.30479e-09,355315
Allen,18003,CHROMIUM VI (HEXAVALENT),0.00011515540284000001,355315
Allen,18003,EPICHLOROHYDRIN,3.7486201000000003e-08,355315
Allen,18003,ETHYLBENZENE,0.0,355315
Allen,18003,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.275450618e-06,355315
Allen,18003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,355315
Allen,18003,ETHYLENE OXIDE,0.0,355315
Allen,18003,ETHYLENE THIOUREA,0.0,355315
Allen,18003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,355315
Allen,18003,FORMALDEHYDE,0.100489595724372,355315
Allen,18003,HEXACHLOROBENZENE,0.0,355315
Allen,18003,HEXACHLOROBUTADIENE,0.0,355315
Allen,18003,METHYL TERT-BUTYL ETHER,0.0,355315
Allen,18003,METHYLENE CHLORIDE,0.00031140922377999997,355315
Allen,18003,NAPHTHALENE,0.009809078536691,355315
Allen,18003,NICKEL COMPOUNDS,0.001826161021987,355315
Allen,18003,NITROBENZENE,6.4118554e-08,355315
Allen,18003,O-TOLUIDINE,0.0,355315
Allen,18003,PAHPOM,0.0,355315
Allen,18003,PENTACHLOROPHENOL,0.0,355315
Allen,18003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,355315
Allen,18003,PROPYLENE OXIDE,6.90342035e-06,355315
Allen,18003,TETRACHLOROETHYLENE,0.0,355315
Allen,18003,TRICHLOROETHYLENE,0.0,355315
Allen,18003,VINYL CHLORIDE,0.0,355315
Bartholomew,18005,"1,1,2-TRICHLOROETHANE",0.0,76794
Bartholomew,18005,"1,3-BUTADIENE",0.0,76794
Bartholomew,18005,"1,3-DICHLOROPROPENE",4.3163068420000005e-06,76794
Bartholomew,18005,"1,4-DICHLOROBENZENE",0.0,76794
Bartholomew,18005,"1,4-DIOXANE",2.48365582e-07,76794
Bartholomew,18005,"2,4,6-TRICHLOROPHENOL",0.0,76794
Bartholomew,18005,"2,4-DINITROTOLUENE",0.0,76794
Bartholomew,18005,"2,4-TOLUENE DIISOCYANATE",0.000153403276586,76794
Bartholomew,18005,2-NITROPROPANE,0.0,76794
Bartholomew,18005,ACETALDEHYDE,0.110259040323836,76794
Bartholomew,18005,ACETAMIDE,0.0,76794
Bartholomew,18005,ACRYLONITRILE,0.000313195820608,76794
Bartholomew,18005,ALLYL CHLORIDE,0.0,76794
Bartholomew,18005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,76794
Bartholomew,18005,BENZENE,0.0,76794
Bartholomew,18005,BENZYL CHLORIDE,0.0,76794
Bartholomew,18005,BERYLLIUM COMPOUNDS,0.000120542291379,76794
Bartholomew,18005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.5713848972e-05,76794
Bartholomew,18005,BROMOFORM,0.0,76794
Bartholomew,18005,CADMIUM COMPOUNDS,0.0,76794
Bartholomew,18005,CARBON TETRACHLORIDE,0.0,76794
Bartholomew,18005,CHLOROPRENE,2.420225e-09,76794
Bartholomew,18005,CHROMIUM VI (HEXAVALENT),0.000419440961005,76794
Bartholomew,18005,EPICHLOROHYDRIN,1.9585832e-08,76794
Bartholomew,18005,ETHYLBENZENE,0.0,76794
Bartholomew,18005,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.7107183419999998e-06,76794
Bartholomew,18005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,76794
Bartholomew,18005,ETHYLENE OXIDE,0.0,76794
Bartholomew,18005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,76794
Bartholomew,18005,FORMALDEHYDE,0.12080474464375099,76794
Bartholomew,18005,HEXACHLOROBENZENE,0.0,76794
Bartholomew,18005,HEXACHLOROBUTADIENE,0.0,76794
Bartholomew,18005,METHYL TERT-BUTYL ETHER,0.0,76794
Bartholomew,18005,METHYLENE CHLORIDE,0.000309452957192,76794
Bartholomew,18005,NAPHTHALENE,0.00842248687849,76794
Bartholomew,18005,NICKEL COMPOUNDS,0.0026050711290170002,76794
Bartholomew,18005,NITROBENZENE,3.152302e-09,76794
Bartholomew,18005,O-TOLUIDINE,0.0,76794
Bartholomew,18005,PAHPOM,0.0,76794
Bartholomew,18005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,76794
Bartholomew,18005,PROPYLENE OXIDE,2.51990017e-07,76794
Bartholomew,18005,TETRACHLOROETHYLENE,0.0,76794
Bartholomew,18005,TRICHLOROETHYLENE,0.0,76794
Bartholomew,18005,VINYL CHLORIDE,0.0,76794
Benton,18007,"1,1,2-TRICHLOROETHANE",0.0,8854
Benton,18007,"1,3-BUTADIENE",0.0,8854
Benton,18007,"1,3-DICHLOROPROPENE",1.0757988130000002e-06,8854
