county,fips,pollutant,val,population
Allen,20001,"1,1,2-TRICHLOROETHANE",0.0,13371
Allen,20001,"1,3-BUTADIENE",0.0,13371
Allen,20001,"1,3-DICHLOROPROPENE",1.816321438e-06,13371
Allen,20001,"1,4-DICHLOROBENZENE",0.0,13371
Allen,20001,"1,4-DIOXANE",2.493705e-08,13371
Allen,20001,"2,4,6-TRICHLOROPHENOL",0.0,13371
Allen,20001,"2,4-DINITROTOLUENE",0.0,13371
Allen,20001,"2,4-TOLUENE DIISOCYANATE",2.7022739738999998e-05,13371
Allen,20001,2-NITROPROPANE,0.0,13371
Allen,20001,ACETALDEHYDE,0.11292541792945097,13371
Allen,20001,ACETAMIDE,0.0,13371
Allen,20001,ACRYLONITRILE,0.001381365953356,13371
Allen,20001,ALLYL CHLORIDE,0.0,13371
Allen,20001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,13371
Allen,20001,BENZENE,0.0,13371
Allen,20001,BENZIDINE,0.0,13371
Allen,20001,BENZYL CHLORIDE,0.0,13371
Allen,20001,BERYLLIUM COMPOUNDS,0.000116247436189,13371
Allen,20001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.028934834e-06,13371
Allen,20001,BROMOFORM,0.0,13371
Allen,20001,CADMIUM COMPOUNDS,0.0,13371
Allen,20001,CARBON TETRACHLORIDE,0.0,13371
Allen,20001,CHLOROPRENE,3.6505800000000006e-10,13371
Allen,20001,CHROMIUM VI (HEXAVALENT),0.000108046824459,13371
Allen,20001,EPICHLOROHYDRIN,2.8598899999999997e-09,13371
Allen,20001,ETHYLBENZENE,0.0,13371
Allen,20001,ETHYLENE DIBROMIDE (DIBROMOETHANE),7.147910206000001e-06,13371
Allen,20001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,13371
Allen,20001,ETHYLENE OXIDE,0.0,13371
Allen,20001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,13371
Allen,20001,FORMALDEHYDE,0.14311411133664098,13371
Allen,20001,HEXACHLOROBENZENE,0.0,13371
Allen,20001,HEXACHLOROBUTADIENE,0.0,13371
Allen,20001,METHYL TERT-BUTYL ETHER,0.0,13371
Allen,20001,METHYLENE CHLORIDE,0.00034908468097800006,13371
Allen,20001,NAPHTHALENE,0.005114913666237001,13371
Allen,20001,NICKEL COMPOUNDS,0.000620573655419,13371
Allen,20001,NITROBENZENE,4.6072699999999994e-10,13371
Allen,20001,O-TOLUIDINE,0.0,13371
Allen,20001,PAHPOM,0.0,13371
Allen,20001,PROPYLENE OXIDE,0.00014395580004499998,13371
Allen,20001,TETRACHLOROETHYLENE,0.0,13371
Allen,20001,TRICHLOROETHYLENE,0.0,13371
Allen,20001,VINYL CHLORIDE,0.0,13371
Anderson,20003,"1,1,2-TRICHLOROETHANE",0.0,8102
Anderson,20003,"1,3-BUTADIENE",0.0,8102
Anderson,20003,"1,3-DICHLOROPROPENE",1.15536355e-06,8102
Anderson,20003,"1,4-DICHLOROBENZENE",0.0,8102
Anderson,20003,"1,4-DIOXANE",1.8117824e-08,8102
Anderson,20003,"2,4,6-TRICHLOROPHENOL",0.0,8102
Anderson,20003,"2,4-DINITROTOLUENE",0.0,8102
Anderson,20003,"2,4-TOLUENE DIISOCYANATE",2.5963707918e-05,8102
Anderson,20003,2-NITROPROPANE,0.0,8102
Anderson,20003,ACETALDEHYDE,0.113579322149953,8102
Anderson,20003,ACETAMIDE,0.0,8102
Anderson,20003,ACRYLONITRILE,9.8640798956e-05,8102
Anderson,20003,ALLYL CHLORIDE,0.0,8102
Anderson,20003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,8102
Anderson,20003,BENZENE,0.0,8102
Anderson,20003,BENZIDINE,0.0,8102
Anderson,20003,BENZYL CHLORIDE,0.0,8102
Anderson,20003,BERYLLIUM COMPOUNDS,9.993005647799998e-05,8102
Anderson,20003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.219455737e-06,8102
Anderson,20003,BROMOFORM,0.0,8102
Anderson,20003,CADMIUM COMPOUNDS,0.0,8102
Anderson,20003,CARBON TETRACHLORIDE,0.0,8102
Anderson,20003,CHLOROPRENE,2.76673e-10,8102
Anderson,20003,CHROMIUM VI (HEXAVALENT),0.000168321545333,8102
Anderson,20003,EPICHLOROHYDRIN,1.878993e-09,8102
Anderson,20003,ETHYLBENZENE,0.0,8102
Anderson,20003,ETHYLENE DIBROMIDE (DIBROMOETHANE),4.397276971e-06,8102
Anderson,20003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,8102
Anderson,20003,ETHYLENE OXIDE,0.0,8102
Anderson,20003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,8102
Anderson,20003,FORMALDEHYDE,0.132393525699326,8102
Anderson,20003,HEXACHLOROBENZENE,0.0,8102
Anderson,20003,HEXACHLOROBUTADIENE,0.0,8102
Anderson,20003,METHYL TERT-BUTYL ETHER,0.0,8102
Anderson,20003,METHYLENE CHLORIDE,0.00027947225779,8102
Anderson,20003,NAPHTHALENE,0.005256322337982,8102
Anderson,20003,NICKEL COMPOUNDS,0.00108147139652,8102
Anderson,20003,NITROBENZENE,3.0306e-10,8102
Anderson,20003,O-TOLUIDINE,0.0,8102
Anderson,20003,PAHPOM,0.0,8102
Anderson,20003,PROPYLENE OXIDE,3.1252588149999997e-06,8102
Anderson,20003,TETRACHLOROETHYLENE,0.0,8102
Anderson,20003,TRICHLOROETHYLENE,0.0,8102
Anderson,20003,VINYL CHLORIDE,0.0,8102
Atchison,20005,"1,1,2-TRICHLOROETHANE",0.0,16924
Atchison,20005,"1,3-BUTADIENE",0.0,16924
Atchison,20005,"1,3-DICHLOROPROPENE",4.61929878e-07,16924
Atchison,20005,"1,4-DICHLOROBENZENE",0.0,16924
Atchison,20005,"1,4-DIOXANE",6.6445616e-08,16924
Atchison,20005,"2,4,6-TRICHLOROPHENOL",0.0,16924
Atchison,20005,"2,4-DINITROTOLUENE",0.0,16924
Atchison,20005,"2,4-TOLUENE DIISOCYANATE",6.5127076878e-05,16924
Atchison,20005,2-NITROPROPANE,0.0,16924
Atchison,20005,ACETALDEHYDE,0.10298113456315301,16924
Atchison,20005,ACETAMIDE,0.0,16924
Atchison,20005,ACRYLONITRILE,4.8425093342e-05,16924
Atchison,20005,ALLYL CHLORIDE,0.0,16924
Atchison,20005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,16924
Atchison,20005,BENZENE,0.0,16924
Atchison,20005,BENZYL CHLORIDE,0.0,16924
Atchison,20005,BERYLLIUM COMPOUNDS,0.00020080765253499997,16924
Atchison,20005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.763287317e-06,16924
Atchison,20005,BROMOFORM,0.0,16924
Atchison,20005,CADMIUM COMPOUNDS,0.0,16924
Atchison,20005,CARBON TETRACHLORIDE,0.0,16924
