county,fips,pollutant,val,population
Adair,21001,"1,1,2-TRICHLOROETHANE",0.0,18656
Adair,21001,"1,3-BUTADIENE",0.0,18656
Adair,21001,"1,3-DICHLOROPROPENE",1.1450109245e-05,18656
Adair,21001,"1,4-DICHLOROBENZENE",0.0,18656
Adair,21001,"1,4-DIOXANE",7.3671257e-08,18656
Adair,21001,"2,4,6-TRICHLOROPHENOL",0.0,18656
Adair,21001,"2,4-DINITROTOLUENE",0.0,18656
Adair,21001,"2,4-TOLUENE DIISOCYANATE",0.00016093809576700003,18656
Adair,21001,2-NITROPROPANE,0.0,18656
Adair,21001,ACETALDEHYDE,0.13094537390734,18656
Adair,21001,ACETAMIDE,0.0,18656
Adair,21001,ACRYLONITRILE,0.000109344466214,18656
Adair,21001,ALLYL CHLORIDE,0.0,18656
Adair,21001,ANILINE,0.0,18656
Adair,21001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,18656
Adair,21001,BENZENE,0.0,18656
Adair,21001,BENZYL CHLORIDE,0.0,18656
Adair,21001,BERYLLIUM COMPOUNDS,7.705777428e-05,18656
Adair,21001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.0564126590999999e-05,18656
Adair,21001,BROMOFORM,0.0,18656
Adair,21001,CADMIUM COMPOUNDS,0.0,18656
Adair,21001,CARBON TETRACHLORIDE,0.0,18656
Adair,21001,CHLOROPRENE,7.184689999999999e-10,18656
Adair,21001,CHROMIUM VI (HEXAVALENT),8.0738517018e-05,18656
Adair,21001,EPICHLOROHYDRIN,8.193607e-09,18656
Adair,21001,ETHYLBENZENE,0.0,18656
Adair,21001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.2307642539999999e-06,18656
Adair,21001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,18656
Adair,21001,ETHYLENE OXIDE,0.0,18656
Adair,21001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,18656
Adair,21001,FORMALDEHYDE,0.138183414754633,18656
Adair,21001,HEXACHLOROBENZENE,0.0,18656
Adair,21001,HEXACHLOROBUTADIENE,0.0,18656
Adair,21001,METHYL TERT-BUTYL ETHER,0.0,18656
Adair,21001,METHYLENE CHLORIDE,0.000270164100651,18656
Adair,21001,NAPHTHALENE,0.005241561399705,18656
Adair,21001,NICKEL COMPOUNDS,0.001591527558279,18656
Adair,21001,NITROBENZENE,1.088219e-09,18656
Adair,21001,O-TOLUIDINE,0.0,18656
Adair,21001,PAHPOM,0.0,18656
Adair,21001,PENTACHLOROPHENOL,0.0,18656
Adair,21001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,18656
Adair,21001,PROPYLENE OXIDE,3.6441456e-08,18656
Adair,21001,TETRACHLOROETHYLENE,0.0,18656
Adair,21001,TRICHLOROETHYLENE,0.0,18656
Adair,21001,VINYL CHLORIDE,0.0,18656
Allen,21003,"1,1,2-TRICHLOROETHANE",0.0,19956
Allen,21003,"1,3-BUTADIENE",0.0,19956
Allen,21003,"1,3-DICHLOROPROPENE",5.5412494861999994e-05,19956
Allen,21003,"1,4-DICHLOROBENZENE",0.0,19956
Allen,21003,"1,4-DIOXANE",9.9654614e-08,19956
Allen,21003,"2,4,6-TRICHLOROPHENOL",0.0,19956
Allen,21003,"2,4-DINITROTOLUENE",0.0,19956
Allen,21003,"2,4-TOLUENE DIISOCYANATE",0.000135797273067,19956
Allen,21003,2-NITROPROPANE,0.0,19956
Allen,21003,ACETALDEHYDE,0.137820988654426,19956
Allen,21003,ACETAMIDE,0.0,19956
Allen,21003,ACRYLONITRILE,0.00016115873221099998,19956
Allen,21003,ALLYL CHLORIDE,0.0,19956
Allen,21003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,19956
Allen,21003,BENZENE,0.0,19956
Allen,21003,BENZIDINE,0.0,19956
Allen,21003,BENZYL CHLORIDE,0.0,19956
Allen,21003,BERYLLIUM COMPOUNDS,7.4556639888e-05,19956
Allen,21003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1015802552e-05,19956
Allen,21003,BROMOFORM,0.0,19956
Allen,21003,CADMIUM COMPOUNDS,0.0,19956
Allen,21003,CARBON TETRACHLORIDE,0.0,19956
Allen,21003,CHLOROPRENE,9.42947e-10,19956
Allen,21003,CHROMIUM VI (HEXAVALENT),0.00012837756502200002,19956
Allen,21003,EPICHLOROHYDRIN,9.160969000000002e-09,19956
Allen,21003,ETHYLBENZENE,0.0,19956
Allen,21003,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.902635511e-06,19956
Allen,21003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,19956
Allen,21003,ETHYLENE OXIDE,0.0,19956
Allen,21003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,19956
Allen,21003,FORMALDEHYDE,0.14384020479769102,19956
Allen,21003,HEXACHLOROBENZENE,0.0,19956
Allen,21003,HEXACHLOROBUTADIENE,0.0,19956
Allen,21003,METHYL TERT-BUTYL ETHER,0.0,19956
Allen,21003,METHYLENE CHLORIDE,0.00027618512905,19956
Allen,21003,NAPHTHALENE,0.005439193417177999,19956
Allen,21003,NICKEL COMPOUNDS,0.0013292882090719998,19956
Allen,21003,NITROBENZENE,1.481336e-09,19956
Allen,21003,O-TOLUIDINE,0.0,19956
Allen,21003,PAHPOM,0.0,19956
Allen,21003,PENTACHLOROPHENOL,0.0,19956
Allen,21003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,19956
Allen,21003,PROPYLENE OXIDE,5.3974621e-08,19956
Allen,21003,TETRACHLOROETHYLENE,0.0,19956
Allen,21003,TRICHLOROETHYLENE,0.0,19956
Allen,21003,VINYL CHLORIDE,0.0,19956
Anderson,21005,"1,1,2-TRICHLOROETHANE",0.0,21421
Anderson,21005,"1,3-BUTADIENE",0.0,21421
Anderson,21005,"1,3-DICHLOROPROPENE",2.96689095e-06,21421
Anderson,21005,"1,4-DICHLOROBENZENE",0.0,21421
Anderson,21005,"1,4-DIOXANE",1.8663509e-07,21421
Anderson,21005,"2,4,6-TRICHLOROPHENOL",0.0,21421
Anderson,21005,"2,4-DINITROTOLUENE",0.0,21421
Anderson,21005,"2,4-TOLUENE DIISOCYANATE",0.00031779074772099995,21421
Anderson,21005,2-NITROPROPANE,0.0,21421
Anderson,21005,ACETALDEHYDE,0.12646222747237099,21421
Anderson,21005,ACETAMIDE,0.0,21421
Anderson,21005,ACRYLONITRILE,0.000137032373631,21421
Anderson,21005,ALLYL CHLORIDE,0.0,21421
Anderson,21005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,21421
Anderson,21005,BENZENE,0.0,21421
