county,fips,pollutant,val
Barnstable,25001,"1,1,2-TRICHLOROETHANE",0.0
Barnstable,25001,"1,3-BUTADIENE",0.0
Barnstable,25001,"1,4-DICHLOROBENZENE",0.0
Barnstable,25001,"1,4-DIOXANE",1.3603682899999998e-07
Barnstable,25001,"2,4,6-TRICHLOROPHENOL",0.0
Barnstable,25001,"2,4-DINITROTOLUENE",0.0
Barnstable,25001,"2,4-TOLUENE DIISOCYANATE",9.062067644499999e-05
Barnstable,25001,2-NITROPROPANE,0.0
Barnstable,25001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Barnstable,25001,ACETALDEHYDE,0.057704800581635005
Barnstable,25001,ACETAMIDE,0.0
Barnstable,25001,ACRYLAMIDE,0.0
Barnstable,25001,ACRYLONITRILE,2.8538089623000004e-05
Barnstable,25001,ALLYL CHLORIDE,0.0
Barnstable,25001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Barnstable,25001,BENZENE,0.0
Barnstable,25001,BENZYL CHLORIDE,0.0
Barnstable,25001,BERYLLIUM COMPOUNDS,0.00050883666123
Barnstable,25001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.408507304e-06
Barnstable,25001,BROMOFORM,0.0
Barnstable,25001,CADMIUM COMPOUNDS,0.0
Barnstable,25001,CARBON TETRACHLORIDE,0.0
Barnstable,25001,CHLOROPRENE,1.797279e-09
Barnstable,25001,CHROMIUM VI (HEXAVALENT),5.2111886024999994e-05
Barnstable,25001,EPICHLOROHYDRIN,9.993700999999999e-09
Barnstable,25001,ETHYLBENZENE,0.0
Barnstable,25001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.3440773499999999e-07
Barnstable,25001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Barnstable,25001,ETHYLENE OXIDE,0.0
Barnstable,25001,FORMALDEHYDE,0.068981575736061
Barnstable,25001,HEXACHLOROBENZENE,0.0
Barnstable,25001,HEXACHLOROBUTADIENE,0.0
Barnstable,25001,METHYL TERT-BUTYL ETHER,0.0
Barnstable,25001,METHYLENE CHLORIDE,0.00030564612814300003
Barnstable,25001,NAPHTHALENE,0.003670043730887
Barnstable,25001,NICKEL COMPOUNDS,0.0013114503622510003
Barnstable,25001,NITROBENZENE,1.614095e-09
Barnstable,25001,O-TOLUIDINE,0.0
