county,fips,pollutant,val
Alcona,26001,"1,1,2-TRICHLOROETHANE",0.0
Alcona,26001,"1,3-BUTADIENE",0.0
Alcona,26001,"1,3-DICHLOROPROPENE",8.693172490000001e-07
Alcona,26001,"1,4-DICHLOROBENZENE",0.0
Alcona,26001,"1,4-DIOXANE",1.5203039e-08
Alcona,26001,"2,4,6-TRICHLOROPHENOL",0.0
Alcona,26001,"2,4-DINITROTOLUENE",0.0
Alcona,26001,"2,4-TOLUENE DIISOCYANATE",2.4395545263e-05
Alcona,26001,2-NITROPROPANE,0.0
Alcona,26001,ACETALDEHYDE,0.06719512588693001
Alcona,26001,ACETAMIDE,0.0
Alcona,26001,ACRYLONITRILE,3.4872797522e-05
Alcona,26001,ALLYL CHLORIDE,0.0
Alcona,26001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Alcona,26001,BENZENE,0.0
Alcona,26001,BENZYL CHLORIDE,0.0
Alcona,26001,BERYLLIUM COMPOUNDS,5.0993527081000005e-05
Alcona,26001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.234629079e-06
Alcona,26001,BROMOFORM,0.0
Alcona,26001,CADMIUM COMPOUNDS,0.0
Alcona,26001,CARBON TETRACHLORIDE,0.0
Alcona,26001,CHLOROPRENE,1.5163299999999997e-10
Alcona,26001,CHROMIUM VI (HEXAVALENT),3.8742802933e-05
Alcona,26001,EPICHLOROHYDRIN,6.71474e-10
Alcona,26001,ETHYLBENZENE,0.0
Alcona,26001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.9808588559999998e-06
Alcona,26001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alcona,26001,ETHYLENE OXIDE,0.0
Alcona,26001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alcona,26001,FORMALDEHYDE,0.065761777402665
Alcona,26001,HEXACHLOROBENZENE,0.0
Alcona,26001,HEXACHLOROBUTADIENE,0.0
Alcona,26001,METHYL TERT-BUTYL ETHER,0.0
Alcona,26001,METHYLENE CHLORIDE,0.00030062830932700004
Alcona,26001,NAPHTHALENE,0.003281487048152
Alcona,26001,NICKEL COMPOUNDS,0.00048268911674300005
Alcona,26001,NITROBENZENE,1.08019e-10
Alcona,26001,O-TOLUIDINE,0.0
Alcona,26001,PAHPOM,0.0
Alcona,26001,PENTACHLOROPHENOL,0.0
Alcona,26001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alcona,26001,PROPYLENE OXIDE,3.615987e-09
Alcona,26001,TETRACHLOROETHYLENE,0.0
Alcona,26001,TRICHLOROETHYLENE,0.0
Alcona,26001,VINYL CHLORIDE,0.0
Alger,26003,"1,1,2-TRICHLOROETHANE",0.0
Alger,26003,"1,3-BUTADIENE",0.0
Alger,26003,"1,4-DICHLOROBENZENE",0.0
Alger,26003,"1,4-DIOXANE",8.470400000000001e-09
Alger,26003,"2,4,6-TRICHLOROPHENOL",0.0
Alger,26003,"2,4-DINITROTOLUENE",0.0
Alger,26003,"2,4-TOLUENE DIISOCYANATE",1.3537241711e-05
Alger,26003,2-NITROPROPANE,0.0
Alger,26003,ACETALDEHYDE,0.060935204157009
Alger,26003,ACETAMIDE,0.0
Alger,26003,ACRYLONITRILE,2.7802602361999997e-05
Alger,26003,ALLYL CHLORIDE,0.0
Alger,26003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Alger,26003,BENZENE,0.0
Alger,26003,BENZYL CHLORIDE,0.0
Alger,26003,BERYLLIUM COMPOUNDS,3.704572308199999e-05
Alger,26003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.207657632e-06
Alger,26003,BROMOFORM,0.0
Alger,26003,CADMIUM COMPOUNDS,0.0
Alger,26003,CARBON TETRACHLORIDE,0.0
Alger,26003,CHLOROPRENE,1.19309e-10
Alger,26003,CHROMIUM VI (HEXAVALENT),4.2262810454e-05
Alger,26003,EPICHLOROHYDRIN,7.850510000000001e-10
Alger,26003,ETHYLBENZENE,0.0
Alger,26003,ETHYLENE DIBROMIDE (DIBROMOETHANE),6.576023320000001e-07
Alger,26003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alger,26003,ETHYLENE OXIDE,0.0
Alger,26003,FORMALDEHYDE,0.055532800524289
Alger,26003,HEXACHLOROBENZENE,0.0
Alger,26003,HEXACHLOROBUTADIENE,0.0
Alger,26003,METHYL TERT-BUTYL ETHER,0.0
Alger,26003,METHYLENE CHLORIDE,0.000287440564338
Alger,26003,NAPHTHALENE,0.001986541594992
Alger,26003,NICKEL COMPOUNDS,0.00038561241765800006
Alger,26003,NITROBENZENE,1.2647399999999999e-10
Alger,26003,O-TOLUIDINE,0.0
Alger,26003,PAHPOM,0.0
Alger,26003,PENTACHLOROPHENOL,0.0
Alger,26003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alger,26003,PROPYLENE OXIDE,4.384364000000001e-09
Alger,26003,TETRACHLOROETHYLENE,0.0
Alger,26003,TRICHLOROETHYLENE,0.0
Alger,26003,VINYL CHLORIDE,0.0
Allegan,26005,"1,1,2-TRICHLOROETHANE",0.0
Allegan,26005,"1,3-BUTADIENE",0.0
Allegan,26005,"1,3-DICHLOROPROPENE",7.17200773e-07
Allegan,26005,"1,4-DICHLOROBENZENE",0.0
Allegan,26005,"1,4-DIOXANE",1.4929441800000002e-07
Allegan,26005,"2,4,6-TRICHLOROPHENOL",0.0
Allegan,26005,"2,4-DINITROTOLUENE",0.0
Allegan,26005,"2,4-TOLUENE DIISOCYANATE",8.2521353313e-05
Allegan,26005,2-NITROPROPANE,0.0
Allegan,26005,ACETALDEHYDE,0.07832583396443901
Allegan,26005,ACETAMIDE,0.0
Allegan,26005,ACRYLONITRILE,6.5395946175e-05
Allegan,26005,ALLYL CHLORIDE,0.0
Allegan,26005,ANILINE,0.0
Allegan,26005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Allegan,26005,BENZENE,0.0
Allegan,26005,BENZYL CHLORIDE,0.0
Allegan,26005,BERYLLIUM COMPOUNDS,0.00011718784396900001
Allegan,26005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1766528892000002e-05
Allegan,26005,BROMOFORM,0.0
Allegan,26005,CADMIUM COMPOUNDS,0.0
Allegan,26005,CARBON TETRACHLORIDE,0.0
Allegan,26005,CHLOROPRENE,1.0306869999999998e-09
Allegan,26005,CHROMIUM VI (HEXAVALENT),9.2616934932e-05
Allegan,26005,EPICHLOROHYDRIN,3.92238624e-07
Allegan,26005,ETHYLBENZENE,0.0
Allegan,26005,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.339498345e-06
Allegan,26005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Allegan,26005,ETHYLENE OXIDE,0.0
Allegan,26005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Allegan,26005,FORMALDEHYDE,0.088710677267285
Allegan,26005,HEXACHLOROBENZENE,0.0
Allegan,26005,HEXACHLOROBUTADIENE,0.0
Allegan,26005,METHYL TERT-BUTYL ETHER,0.0
Allegan,26005,METHYLENE CHLORIDE,0.000293917541309
Allegan,26005,NAPHTHALENE,0.006663900583548999
Allegan,26005,NICKEL COMPOUNDS,0.001082651843473
Allegan,26005,NITROBENZENE,1.583224e-09
Allegan,26005,O-TOLUIDINE,0.0
Allegan,26005,PAHPOM,0.0
Allegan,26005,PENTACHLOROPHENOL,0.0
Allegan,26005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Allegan,26005,PROPYLENE OXIDE,5.690097430000001e-07
Allegan,26005,TETRACHLOROETHYLENE,0.0
Allegan,26005,TRICHLOROETHYLENE,0.0
Allegan,26005,VINYL CHLORIDE,0.0
Alpena,26007,"1,1,2-TRICHLOROETHANE",0.0
Alpena,26007,"1,3-BUTADIENE",0.0
Alpena,26007,"1,3-DICHLOROPROPENE",1.1169167009999998e-06
Alpena,26007,"1,4-DICHLOROBENZENE",0.0
Alpena,26007,"1,4-DIOXANE",4.0507149e-08
Alpena,26007,"2,4,6-TRICHLOROPHENOL",0.0
Alpena,26007,"2,4-DINITROTOLUENE",0.0
Alpena,26007,"2,4-TOLUENE DIISOCYANATE",2.8837851489999998e-05
Alpena,26007,2-NITROPROPANE,0.0
Alpena,26007,ACETALDEHYDE,0.068929601544264
Alpena,26007,ACETAMIDE,0.0
Alpena,26007,ACRYLONITRILE,3.2750241504e-05
Alpena,26007,ALLYL CHLORIDE,0.0
Alpena,26007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Alpena,26007,BENZENE,0.0
Alpena,26007,BENZYL CHLORIDE,0.0
Alpena,26007,BERYLLIUM COMPOUNDS,6.4370270754e-05
Alpena,26007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.7638962999999994e-06
Alpena,26007,BROMOFORM,0.0
Alpena,26007,CADMIUM COMPOUNDS,0.0
Alpena,26007,CARBON TETRACHLORIDE,0.0
Alpena,26007,CHLOROPRENE,1.153346e-09
Alpena,26007,CHROMIUM VI (HEXAVALENT),0.000106024838724
Alpena,26007,EPICHLOROHYDRIN,5.661349e-09
Alpena,26007,ETHYLBENZENE,0.0
Alpena,26007,ETHYLENE DIBROMIDE (DIBROMOETHANE),3.1413972699999997e-06
Alpena,26007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alpena,26007,ETHYLENE OXIDE,0.0
Alpena,26007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alpena,26007,FORMALDEHYDE,0.067984901782448
Alpena,26007,HEXACHLOROBENZENE,0.0
Alpena,26007,HEXACHLOROBUTADIENE,0.0
Alpena,26007,METHYL TERT-BUTYL ETHER,0.0
