county,fips,pollutant,val
Adair,29001,"1,1,2-TRICHLOROETHANE",0.0
Adair,29001,"1,3-BUTADIENE",0.0
Adair,29001,"1,4-DICHLOROBENZENE",0.0
Adair,29001,"1,4-DIOXANE",5.8108157e-08
Adair,29001,"2,4,6-TRICHLOROPHENOL",0.0
Adair,29001,"2,4-DINITROTOLUENE",0.0
Adair,29001,"2,4-TOLUENE DIISOCYANATE",5.0360853171000006e-05
Adair,29001,2-NITROPROPANE,0.0
Adair,29001,ACETALDEHYDE,0.09631179848623801
Adair,29001,ACETAMIDE,0.0
Adair,29001,ACRYLONITRILE,2.9657872790999996e-05
Adair,29001,ALLYL CHLORIDE,0.0
Adair,29001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adair,29001,BENZENE,0.0
Adair,29001,BENZYL CHLORIDE,0.0
Adair,29001,BERYLLIUM COMPOUNDS,0.000121567544896
Adair,29001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.938494894999999e-06
Adair,29001,CADMIUM COMPOUNDS,0.0
Adair,29001,CARBON TETRACHLORIDE,0.0
Adair,29001,CHLOROPRENE,1.106211e-09
Adair,29001,CHROMIUM VI (HEXAVALENT),8.723583082899999e-05
Adair,29001,EPICHLOROHYDRIN,6.304599e-09
Adair,29001,ETHYLBENZENE,0.0
Adair,29001,ETHYLENE DIBROMIDE (DIBROMOETHANE),5.28565064e-07
Adair,29001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adair,29001,ETHYLENE OXIDE,0.0
Adair,29001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adair,29001,FORMALDEHYDE,0.113219256451771
Adair,29001,HEXACHLOROBENZENE,0.0
Adair,29001,HEXACHLOROBUTADIENE,0.0
Adair,29001,METHYL TERT-BUTYL ETHER,0.0
Adair,29001,METHYLENE CHLORIDE,0.000292838024397
Adair,29001,NAPHTHALENE,0.00463189173489
Adair,29001,NICKEL COMPOUNDS,0.001046528059853
Adair,29001,NITROBENZENE,1.0220239999999998e-09
Adair,29001,O-TOLUIDINE,0.0
Adair,29001,PAHPOM,0.0
Adair,29001,PROPYLENE OXIDE,3.4039553e-08
Adair,29001,TETRACHLOROETHYLENE,0.0
Adair,29001,TRICHLOROETHYLENE,0.0
Adair,29001,VINYL CHLORIDE,0.0
Andrew,29003,"1,1,2-TRICHLOROETHANE",0.0
Andrew,29003,"1,3-BUTADIENE",0.0
Andrew,29003,"1,3-DICHLOROPROPENE",5.13337751e-07
Andrew,29003,"1,4-DICHLOROBENZENE",0.0
Andrew,29003,"1,4-DIOXANE",8.257928100000001e-08
Andrew,29003,"2,4,6-TRICHLOROPHENOL",0.0
Andrew,29003,"2,4-DINITROTOLUENE",0.0
Andrew,29003,"2,4-TOLUENE DIISOCYANATE",6.4489511772e-05
Andrew,29003,2-NITROPROPANE,0.0
Andrew,29003,ACETALDEHYDE,0.09526344134040199
Andrew,29003,ACETAMIDE,0.0
Andrew,29003,ACRYLONITRILE,5.8383176324e-05
Andrew,29003,ALLYL CHLORIDE,0.0
Andrew,29003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Andrew,29003,BENZENE,0.0
Andrew,29003,BENZYL CHLORIDE,0.0
Andrew,29003,BERYLLIUM COMPOUNDS,0.000213719390751
Andrew,29003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),6.476899415000001e-06
Andrew,29003,BROMOFORM,0.0
Andrew,29003,CADMIUM COMPOUNDS,0.0
Andrew,29003,CARBON TETRACHLORIDE,0.0
Andrew,29003,CHLOROPRENE,1.393842e-09
Andrew,29003,CHROMIUM VI (HEXAVALENT),0.000143192063259
Andrew,29003,EPICHLOROHYDRIN,6.1532011e-08
Andrew,29003,ETHYLBENZENE,0.0
Andrew,29003,ETHYLENE DIBROMIDE (DIBROMOETHANE),2.123122316e-06
Andrew,29003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Andrew,29003,ETHYLENE OXIDE,0.0
Andrew,29003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Andrew,29003,FORMALDEHYDE,0.115168863122366
Andrew,29003,HEXACHLOROBENZENE,0.0
Andrew,29003,HEXACHLOROBUTADIENE,0.0
Andrew,29003,METHYL TERT-BUTYL ETHER,0.0
Andrew,29003,METHYLENE CHLORIDE,0.000273812407727
Andrew,29003,NAPHTHALENE,0.005951095381418
Andrew,29003,NICKEL COMPOUNDS,0.000607342884728
Andrew,29003,NITROBENZENE,1.519789e-09
Andrew,29003,O-TOLUIDINE,0.0
Andrew,29003,PAHPOM,0.0
Andrew,29003,PENTACHLOROPHENOL,0.0
Andrew,29003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Andrew,29003,PROPYLENE OXIDE,9.037926999999999e-08
Andrew,29003,TETRACHLOROETHYLENE,0.0
Andrew,29003,TRICHLOROETHYLENE,0.0
Andrew,29003,VINYL CHLORIDE,0.0
Atchison,29005,"1,1,2-TRICHLOROETHANE",0.0
Atchison,29005,"1,3-BUTADIENE",0.0
Atchison,29005,"1,3-DICHLOROPROPENE",3.80387755e-07
Atchison,29005,"1,4-DICHLOROBENZENE",0.0
Atchison,29005,"1,4-DIOXANE",1.4732578000000001e-08
Atchison,29005,"2,4,6-TRICHLOROPHENOL",0.0
Atchison,29005,"2,4-DINITROTOLUENE",0.0
Atchison,29005,"2,4-TOLUENE DIISOCYANATE",2.7527317493e-05
Atchison,29005,2-NITROPROPANE,0.0
Atchison,29005,ACETALDEHYDE,0.091211962293509
Atchison,29005,ACETAMIDE,0.0
Atchison,29005,ACRYLONITRILE,3.7082259475e-05
Atchison,29005,ALLYL CHLORIDE,0.0
Atchison,29005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Atchison,29005,BENZENE,0.0
Atchison,29005,BENZYL CHLORIDE,0.0
Atchison,29005,BERYLLIUM COMPOUNDS,8.5563095769e-05
Atchison,29005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.8392416630000003e-06
Atchison,29005,BROMOFORM,0.0
Atchison,29005,CADMIUM COMPOUNDS,0.0
Atchison,29005,CARBON TETRACHLORIDE,0.0
