county,fips,pollutant,val
Alamance,37001,"1,1,2-TRICHLOROETHANE",0.0
Alamance,37001,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
Alamance,37001,"1,3-BUTADIENE",0.0
Alamance,37001,"1,3-DICHLOROPROPENE",3.9381708939999995e-06
Alamance,37001,"1,4-DICHLOROBENZENE",0.0
Alamance,37001,"1,4-DIOXANE",1.7776729800000002e-06
Alamance,37001,"2,4,6-TRICHLOROPHENOL",0.0
Alamance,37001,"2,4-DINITROTOLUENE",0.0
Alamance,37001,"2,4-TOLUENE DIISOCYANATE",0.00019063015329299997
Alamance,37001,2-NITROPROPANE,0.0
Alamance,37001,ACETALDEHYDE,0.16662793321963398
Alamance,37001,ACETAMIDE,0.0
Alamance,37001,ACRYLAMIDE,0.0
Alamance,37001,ACRYLONITRILE,0.000129027417237
Alamance,37001,ALLYL CHLORIDE,0.0
Alamance,37001,ANILINE,0.0
Alamance,37001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Alamance,37001,BENZENE,0.0
Alamance,37001,BENZIDINE,0.0
Alamance,37001,BENZYL CHLORIDE,0.0
Alamance,37001,BERYLLIUM COMPOUNDS,9.864710704100001e-05
Alamance,37001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.159438927e-06
Alamance,37001,BIS(CHLOROMETHYL) ETHER,0.0
Alamance,37001,BROMOFORM,0.0
Alamance,37001,CADMIUM COMPOUNDS,0.0
Alamance,37001,CARBON TETRACHLORIDE,0.0
Alamance,37001,CHLOROPRENE,1.9687366999999997e-08
Alamance,37001,CHROMIUM VI (HEXAVALENT),0.00011696695703699999
Alamance,37001,EPICHLOROHYDRIN,7.9242307e-08
Alamance,37001,ETHYL CARBAMATE (URETHANE) CHLORIDE (CHLOROETHANE),0.0
Alamance,37001,ETHYLBENZENE,0.0
Alamance,37001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.208689313e-06
Alamance,37001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alamance,37001,ETHYLENE OXIDE,0.0
Alamance,37001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alamance,37001,FORMALDEHYDE,0.17100847753611903
Alamance,37001,HEXACHLOROBENZENE,0.0
Alamance,37001,HEXACHLOROBUTADIENE,0.0
Alamance,37001,HYDRAZINE,0.0
Alamance,37001,METHYL TERT-BUTYL ETHER,0.0
Alamance,37001,METHYLENE CHLORIDE,0.000286329404089
Alamance,37001,N-NITROSODIMETHYLAMINE,0.0
Alamance,37001,NAPHTHALENE,0.006643778533973
Alamance,37001,NICKEL COMPOUNDS,0.0010462223303480001
Alamance,37001,NITROBENZENE,4.7566800000000006e-09
Alamance,37001,O-TOLUIDINE,0.0
Alamance,37001,PAHPOM,0.0
Alamance,37001,PENTACHLOROPHENOL,0.0
Alamance,37001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alamance,37001,PROPYLENE OXIDE,2.16865814e-07
Alamance,37001,TETRACHLOROETHYLENE,0.0
Alamance,37001,TRICHLOROETHYLENE,0.0
Alamance,37001,VINYL CHLORIDE,0.0
Alexander,37003,"1,1,2-TRICHLOROETHANE",0.0
Alexander,37003,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
Alexander,37003,"1,3-BUTADIENE",0.0
Alexander,37003,"1,3-DICHLOROPROPENE",2.496712117e-06
Alexander,37003,"1,4-DICHLOROBENZENE",0.0
Alexander,37003,"1,4-DIOXANE",4.75447965e-07
Alexander,37003,"2,4,6-TRICHLOROPHENOL",0.0
Alexander,37003,"2,4-DINITROTOLUENE",0.0
Alexander,37003,"2,4-TOLUENE DIISOCYANATE",0.000319377828434
Alexander,37003,2-NITROPROPANE,0.0
Alexander,37003,ACETALDEHYDE,0.14660214977940303
Alexander,37003,ACETAMIDE,0.0
Alexander,37003,ACRYLAMIDE,0.0
Alexander,37003,ACRYLONITRILE,0.000245701457647
Alexander,37003,ALLYL CHLORIDE,0.0
Alexander,37003,ANILINE,0.0
Alexander,37003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Alexander,37003,BENZENE,0.0
Alexander,37003,BENZIDINE,0.0
Alexander,37003,BENZYL CHLORIDE,0.0
Alexander,37003,BERYLLIUM COMPOUNDS,7.6841955552e-05
Alexander,37003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),8.236644782000001e-06
Alexander,37003,BROMOFORM,0.0
Alexander,37003,CADMIUM COMPOUNDS,0.0
Alexander,37003,CARBON TETRACHLORIDE,0.0
Alexander,37003,CHLOROPRENE,1.0877293e-08
Alexander,37003,CHROMIUM VI (HEXAVALENT),0.000122365894331
Alexander,37003,EPICHLOROHYDRIN,2.097779e-08
Alexander,37003,ETHYLBENZENE,0.0
Alexander,37003,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.5721692150000002e-06
Alexander,37003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alexander,37003,ETHYLENE OXIDE,0.0
Alexander,37003,ETHYLENE THIOUREA,0.0
Alexander,37003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alexander,37003,FORMALDEHYDE,0.159262452187591
Alexander,37003,HEXACHLOROBENZENE,0.0
Alexander,37003,HEXACHLOROBUTADIENE,0.0
Alexander,37003,HYDRAZINE,0.0
Alexander,37003,METHYL TERT-BUTYL ETHER,0.0
Alexander,37003,METHYLENE CHLORIDE,0.000275207097381
Alexander,37003,NAPHTHALENE,0.00484732358188
Alexander,37003,NICKEL COMPOUNDS,0.0007760503055890001
Alexander,37003,NITROBENZENE,3.387034e-09
Alexander,37003,O-TOLUIDINE,0.0
Alexander,37003,PAHPOM,0.0
Alexander,37003,PENTACHLOROPHENOL,0.0
Alexander,37003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alexander,37003,PROPYLENE OXIDE,2.34905245e-07
Alexander,37003,TETRACHLOROETHYLENE,0.0
Alexander,37003,TRICHLOROETHYLENE,0.0
Alexander,37003,VINYL CHLORIDE,0.0
Alleghany,37005,"1,1,2-TRICHLOROETHANE",0.0
Alleghany,37005,"1,3-BUTADIENE",0.0
Alleghany,37005,"1,4-DICHLOROBENZENE",0.0
Alleghany,37005,"1,4-DIOXANE",5.7350649000000006e-08
Alleghany,37005,"2,4,6-TRICHLOROPHENOL",0.0
Alleghany,37005,"2,4-DINITROTOLUENE",0.0
Alleghany,37005,"2,4-TOLUENE DIISOCYANATE",6.2438531519e-05
Alleghany,37005,2-NITROPROPANE,0.0
Alleghany,37005,ACETALDEHYDE,0.095222492889696
Alleghany,37005,ACETAMIDE,0.0
Alleghany,37005,ACRYLONITRILE,7.9137206516e-05
Alleghany,37005,ALLYL CHLORIDE,0.0
Alleghany,37005,ANILINE,0.0
Alleghany,37005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Alleghany,37005,BENZENE,0.0
Alleghany,37005,BENZYL CHLORIDE,0.0
Alleghany,37005,BERYLLIUM COMPOUNDS,5.7088594334e-05
Alleghany,37005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.868331656e-06
Alleghany,37005,BROMOFORM,0.0
Alleghany,37005,CADMIUM COMPOUNDS,0.0
Alleghany,37005,CARBON TETRACHLORIDE,0.0
Alleghany,37005,CHLOROPRENE,5.2137346e-08
Alleghany,37005,CHROMIUM VI (HEXAVALENT),5.1153158739999996e-05
Alleghany,37005,EPICHLOROHYDRIN,4.356383e-09
Alleghany,37005,ETHYLBENZENE,0.0
Alleghany,37005,ETHYLENE DIBROMIDE (DIBROMOETHANE),9.6327679e-07
Alleghany,37005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alleghany,37005,ETHYLENE OXIDE,0.0
Alleghany,37005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alleghany,37005,FORMALDEHYDE,0.113072226424075
Alleghany,37005,HEXACHLOROBENZENE,0.0
Alleghany,37005,HEXACHLOROBUTADIENE,0.0
Alleghany,37005,METHYL TERT-BUTYL ETHER,0.0
Alleghany,37005,METHYLENE CHLORIDE,0.000239553494186
Alleghany,37005,NAPHTHALENE,0.002637448929131
Alleghany,37005,NICKEL COMPOUNDS,0.0006570904841769999
Alleghany,37005,NITROBENZENE,7.016699999999999e-10
Alleghany,37005,O-TOLUIDINE,0.0
Alleghany,37005,PAHPOM,0.0
Alleghany,37005,PENTACHLOROPHENOL,0.0
Alleghany,37005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alleghany,37005,PROPYLENE OXIDE,9.2720495e-08
Alleghany,37005,TETRACHLOROETHYLENE,0.0
Alleghany,37005,TRICHLOROETHYLENE,0.0
Alleghany,37005,VINYL CHLORIDE,0.0
Anson,37007,"1,1,2-TRICHLOROETHANE",0.0
Anson,37007,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
Anson,37007,"1,3-BUTADIENE",0.0
Anson,37007,"1,3-DICHLOROPROPENE",2.490310409e-06
Anson,37007,"1,4-DICHLOROBENZENE",0.0
Anson,37007,"1,4-DIOXANE",2.9514412699999997e-07
Anson,37007,"2,4,6-TRICHLOROPHENOL",0.0
Anson,37007,"2,4-DINITROTOLUENE",0.0
Anson,37007,"2,4-TOLUENE DIISOCYANATE",8.4667015845e-05
Anson,37007,2-NITROPROPANE,0.0
Anson,37007,ACETALDEHYDE,0.20223267060672898
Anson,37007,ACETAMIDE,0.0
Anson,37007,ACRYLAMIDE,0.0
Anson,37007,ACRYLONITRILE,0.00020289295682
Anson,37007,ALLYL CHLORIDE,0.0
Anson,37007,ANILINE,0.0
Anson,37007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Anson,37007,BENZENE,0.0
Anson,37007,BENZYL CHLORIDE,0.0
Anson,37007,BERYLLIUM COMPOUNDS,0.000105374739356
Anson,37007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.0215303261000001e-05
Anson,37007,BROMOFORM,0.0
Anson,37007,CADMIUM COMPOUNDS,0.0
Anson,37007,CARBON TETRACHLORIDE,0.0
Anson,37007,CHLOROPRENE,2.093765e-09
Anson,37007,CHROMIUM VI (HEXAVALENT),8.301543744499999e-05
Anson,37007,EPICHLOROHYDRIN,1.0523022e-08
Anson,37007,ETHYLBENZENE,0.0
Anson,37007,ETHYLENE DIBROMIDE (DIBROMOETHANE),2.0855981589999998e-06
Anson,37007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Anson,37007,ETHYLENE OXIDE,0.0
Anson,37007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Anson,37007,FORMALDEHYDE,0.18643522119105604
Anson,37007,HEXACHLOROBENZENE,0.0
Anson,37007,HEXACHLOROBUTADIENE,0.0
Anson,37007,METHYL TERT-BUTYL ETHER,0.0
Anson,37007,METHYLENE CHLORIDE,0.000282814761153
Anson,37007,NAPHTHALENE,0.004454895604429
Anson,37007,NICKEL COMPOUNDS,0.0009455378246589999
Anson,37007,NITROBENZENE,1.7025950000000002e-09
Anson,37007,O-TOLUIDINE,0.0
Anson,37007,PAHPOM,0.0
Anson,37007,PENTACHLOROPHENOL,0.0
Anson,37007,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Anson,37007,PROPYLENE OXIDE,6.50427441e-07
Anson,37007,TETRACHLOROETHYLENE,0.0
Anson,37007,TRICHLOROETHYLENE,0.0
Anson,37007,VINYL CHLORIDE,0.0
Ashe,37009,"1,1,2-TRICHLOROETHANE",0.0
Ashe,37009,"1,3-BUTADIENE",0.0
Ashe,37009,"1,4-DICHLOROBENZENE",0.0
Ashe,37009,"1,4-DIOXANE",5.452679900000001e-08
Ashe,37009,"2,4,6-TRICHLOROPHENOL",0.0
Ashe,37009,"2,4-DINITROTOLUENE",0.0
Ashe,37009,"2,4-TOLUENE DIISOCYANATE",5.7050430692e-05
Ashe,37009,2-NITROPROPANE,0.0
Ashe,37009,ACETALDEHYDE,0.085633285250565
Ashe,37009,ACETAMIDE,0.0
Ashe,37009,ACRYLONITRILE,6.976708510799999e-05
Ashe,37009,ALLYL CHLORIDE,0.0
Ashe,37009,ANILINE,0.0
Ashe,37009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Ashe,37009,BENZENE,0.0
Ashe,37009,BENZYL CHLORIDE,0.0
Ashe,37009,BERYLLIUM COMPOUNDS,5.3372744389999995e-05
Ashe,37009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),5.673424478e-06
Ashe,37009,BROMOFORM,0.0
Ashe,37009,CADMIUM COMPOUNDS,0.0
Ashe,37009,CARBON TETRACHLORIDE,0.0
Ashe,37009,CHLOROPRENE,2.680982501e-06
Ashe,37009,CHROMIUM VI (HEXAVALENT),5.2217365425e-05
Ashe,37009,EPICHLOROHYDRIN,5.3588610000000006e-09
Ashe,37009,ETHYLBENZENE,0.0
Ashe,37009,ETHYLENE DIBROMIDE (DIBROMOETHANE),8.41218985e-07
Ashe,37009,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Ashe,37009,ETHYLENE OXIDE,0.0
Ashe,37009,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Ashe,37009,FORMALDEHYDE,0.107677868211672
Ashe,37009,HEXACHLOROBENZENE,0.0
Ashe,37009,HEXACHLOROBUTADIENE,0.0
Ashe,37009,METHYL TERT-BUTYL ETHER,0.0
Ashe,37009,METHYLENE CHLORIDE,0.000267226712012
Ashe,37009,NAPHTHALENE,0.003091638485274
Ashe,37009,NICKEL COMPOUNDS,0.000816954987201
Ashe,37009,NITROBENZENE,8.665089999999999e-10
Ashe,37009,O-TOLUIDINE,0.0
Ashe,37009,PAHPOM,0.0
Ashe,37009,PENTACHLOROPHENOL,0.0
Ashe,37009,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Ashe,37009,PROPYLENE OXIDE,7.187841309999999e-07
Ashe,37009,TETRACHLOROETHYLENE,0.0
Ashe,37009,TRICHLOROETHYLENE,0.0
Ashe,37009,VINYL CHLORIDE,0.0
Avery,37011,"1,1,2-TRICHLOROETHANE",0.0
Avery,37011,"1,3-BUTADIENE",0.0
Avery,37011,"1,3-DICHLOROPROPENE",1.850127679e-06
Avery,37011,"1,4-DICHLOROBENZENE",0.0
Avery,37011,"1,4-DIOXANE",7.5979902e-08
Avery,37011,"2,4,6-TRICHLOROPHENOL",0.0
Avery,37011,"2,4-DINITROTOLUENE",0.0
Avery,37011,"2,4-TOLUENE DIISOCYANATE",5.3062432607e-05
Avery,37011,2-NITROPROPANE,0.0
Avery,37011,ACETALDEHYDE,0.08284381951106401
Avery,37011,ACETAMIDE,0.0
Avery,37011,ACRYLONITRILE,9.039983960899999e-05
Avery,37011,ALLYL CHLORIDE,0.0
Avery,37011,ANILINE,0.0
Avery,37011,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Avery,37011,BENZENE,0.0
Avery,37011,BENZYL CHLORIDE,0.0
Avery,37011,BERYLLIUM COMPOUNDS,5.2151562253999993e-05
Avery,37011,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.439315881e-06
Avery,37011,BROMOFORM,0.0
Avery,37011,CADMIUM COMPOUNDS,0.0
Avery,37011,CARBON TETRACHLORIDE,0.0
Avery,37011,CHLOROPRENE,1.175291e-09
Avery,37011,CHROMIUM VI (HEXAVALENT),5.103247758899999e-05
Avery,37011,EPICHLOROHYDRIN,6.634573e-09
Avery,37011,ETHYLBENZENE,0.0
Avery,37011,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.1700382140000002e-06
Avery,37011,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Avery,37011,ETHYLENE OXIDE,0.0
Avery,37011,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Avery,37011,FORMALDEHYDE,0.10720237494067698
Avery,37011,HEXACHLOROBENZENE,0.0
Avery,37011,HEXACHLOROBUTADIENE,0.0
Avery,37011,METHYL TERT-BUTYL ETHER,0.0
