county,fips,pollutant,val
Adams,31001,"1,1,2-TRICHLOROETHANE",0.0
Adams,31001,"1,3-BUTADIENE",0.0
Adams,31001,"1,3-DICHLOROPROPENE",4.799132120000001e-07
Adams,31001,"1,4-DICHLOROBENZENE",0.0
Adams,31001,"1,4-DIOXANE",9.2484371e-08
Adams,31001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,31001,"2,4-DINITROTOLUENE",0.0
Adams,31001,"2,4-TOLUENE DIISOCYANATE",2.9441190352e-05
Adams,31001,ACETALDEHYDE,0.07778473146662401
Adams,31001,ACETAMIDE,0.0
Adams,31001,ACRYLONITRILE,7.8475072051e-05
Adams,31001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,31001,BENZENE,0.0
Adams,31001,BENZYL CHLORIDE,0.0
Adams,31001,BERYLLIUM COMPOUNDS,0.00011347118890399998
Adams,31001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.03822971e-06
Adams,31001,BROMOFORM,0.0
Adams,31001,CADMIUM COMPOUNDS,0.0
Adams,31001,CARBON TETRACHLORIDE,0.0
Adams,31001,CHROMIUM VI (HEXAVALENT),7.2235174624e-05
Adams,31001,ETHYLBENZENE,0.0
Adams,31001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.372949739e-06
Adams,31001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,31001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,31001,FORMALDEHYDE,0.090838369033306
Adams,31001,HEXACHLOROBENZENE,0.0
Adams,31001,HYDRAZINE,0.0
Adams,31001,METHYL TERT-BUTYL ETHER,0.0
Adams,31001,METHYLENE CHLORIDE,0.000341621821411
Adams,31001,NAPHTHALENE,0.003837692498848
Adams,31001,NICKEL COMPOUNDS,0.005062621488789
Adams,31001,PAHPOM,0.0
Adams,31001,PROPYLENE OXIDE,8.77756e-10
Adams,31001,TETRACHLOROETHYLENE,0.0
Adams,31001,TRICHLOROETHYLENE,0.0
Adams,31001,VINYL CHLORIDE,0.0
Antelope,31003,"1,1,2-TRICHLOROETHANE",0.0
Antelope,31003,"1,3-BUTADIENE",0.0
Antelope,31003,"1,4-DICHLOROBENZENE",0.0
Antelope,31003,"1,4-DIOXANE",7.096686e-09
Antelope,31003,"2,4,6-TRICHLOROPHENOL",0.0
Antelope,31003,"2,4-DINITROTOLUENE",0.0
Antelope,31003,"2,4-TOLUENE DIISOCYANATE",6.842522292e-06
Antelope,31003,2-NITROPROPANE,0.0
Antelope,31003,ACETALDEHYDE,0.06684439961550599
Antelope,31003,ACETAMIDE,0.0
Antelope,31003,ACRYLONITRILE,2.46755714e-07
Antelope,31003,ALLYL CHLORIDE,0.0
Antelope,31003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Antelope,31003,BENZENE,0.0
Antelope,31003,BENZYL CHLORIDE,0.0
Antelope,31003,BERYLLIUM COMPOUNDS,2.6440797258000003e-05
Antelope,31003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.2423352230000001e-06
Antelope,31003,BROMOFORM,0.0
Antelope,31003,CADMIUM COMPOUNDS,0.0
Antelope,31003,CARBON TETRACHLORIDE,0.0
Antelope,31003,CHLOROPRENE,3.5e-14
Antelope,31003,CHROMIUM VI (HEXAVALENT),4.3741292626000003e-05
Antelope,31003,EPICHLOROHYDRIN,2.81e-13
Antelope,31003,ETHYLBENZENE,0.0
Antelope,31003,ETHYLENE DIBROMIDE (DIBROMOETHANE),7.215268879999999e-07
Antelope,31003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Antelope,31003,ETHYLENE OXIDE,0.0
