county,fips,pollutant,val
Bernalillo,35001,"1,1,2-TRICHLOROETHANE",0.0
Bernalillo,35001,"1,3-BUTADIENE",0.0
Bernalillo,35001,"1,4-DICHLOROBENZENE",0.0
Bernalillo,35001,"1,4-DIOXANE",1.151647573e-06
Bernalillo,35001,"2,4,6-TRICHLOROPHENOL",0.0
Bernalillo,35001,"2,4-DINITROTOLUENE",0.0
Bernalillo,35001,"2,4-TOLUENE DIISOCYANATE",0.000251378516434
Bernalillo,35001,2-NITROPROPANE,0.0
Bernalillo,35001,ACETALDEHYDE,0.10152412362524399
Bernalillo,35001,ACETAMIDE,0.0
Bernalillo,35001,ACRYLONITRILE,5.723800457000001e-06
Bernalillo,35001,ALLYL CHLORIDE,0.0
Bernalillo,35001,ANILINE,0.0
Bernalillo,35001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bernalillo,35001,BENZENE,0.0
Bernalillo,35001,BENZYL CHLORIDE,0.0
Bernalillo,35001,BERYLLIUM COMPOUNDS,0.001642967476457
Bernalillo,35001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1823364106e-05
Bernalillo,35001,BROMOFORM,0.0
Bernalillo,35001,CADMIUM COMPOUNDS,0.0
Bernalillo,35001,CARBON TETRACHLORIDE,0.0
Bernalillo,35001,CHLOROPRENE,1.2570159e-08
Bernalillo,35001,CHROMIUM VI (HEXAVALENT),1.6001801009000002e-05
Bernalillo,35001,EPICHLOROHYDRIN,8.5438173e-08
Bernalillo,35001,ETHYLBENZENE,0.0
Bernalillo,35001,ETHYLENE DIBROMIDE (DIBROMOETHANE),6.689614820000001e-07
Bernalillo,35001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bernalillo,35001,ETHYLENE OXIDE,0.0
Bernalillo,35001,FORMALDEHYDE,0.117716018249964
Bernalillo,35001,HEXACHLOROBENZENE,0.0
Bernalillo,35001,HEXACHLOROBUTADIENE,0.0
Bernalillo,35001,HYDRAZINE,0.0
Bernalillo,35001,METHYL TERT-BUTYL ETHER,0.0
Bernalillo,35001,METHYLENE CHLORIDE,0.00027362303015099993
Bernalillo,35001,NAPHTHALENE,0.033618641774721
Bernalillo,35001,NICKEL COMPOUNDS,0.000811135979504
Bernalillo,35001,NITROBENZENE,1.3270502e-08
Bernalillo,35001,O-TOLUIDINE,0.0
Bernalillo,35001,PAHPOM,0.0
Bernalillo,35001,PROPYLENE OXIDE,4.44058042e-07
Bernalillo,35001,TETRACHLOROETHYLENE,0.0
Bernalillo,35001,TRICHLOROETHYLENE,0.0
Bernalillo,35001,VINYL CHLORIDE,0.0
Catron,35003,"1,1,2-TRICHLOROETHANE",0.0
Catron,35003,"1,3-BUTADIENE",0.0
Catron,35003,"1,3-DICHLOROPROPENE",2.78493061e-07
Catron,35003,"1,4-DICHLOROBENZENE",0.0
Catron,35003,"1,4-DIOXANE",1.6640940000000002e-09
