county,fips,pollutant,val,population
Carson city,32510,"1,1,2-TRICHLOROETHANE",0.0,55274
Carson city,32510,"1,3-BUTADIENE",0.0,55274
Carson city,32510,"1,3-DICHLOROPROPENE",2.2825008452e-05,55274
Carson city,32510,"1,4-DICHLOROBENZENE",0.0,55274
Carson city,32510,"1,4-DIOXANE",5.545127339999999e-07,55274
Carson city,32510,"2,4,6-TRICHLOROPHENOL",0.0,55274
Carson city,32510,"2,4-DINITROTOLUENE",0.0,55274
Carson city,32510,"2,4-TOLUENE DIISOCYANATE",7.7406426362e-05,55274
Carson city,32510,2-NITROPROPANE,0.0,55274
Carson city,32510,ACETALDEHYDE,0.11877920025229,55274
Carson city,32510,ACETAMIDE,0.0,55274
Carson city,32510,ACRYLONITRILE,1.9783203504e-05,55274
Carson city,32510,ALLYL CHLORIDE,0.0,55274
Carson city,32510,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,55274
Carson city,32510,BENZENE,0.0,55274
Carson city,32510,BENZYL CHLORIDE,0.0,55274
Carson city,32510,BERYLLIUM COMPOUNDS,1.7308756397999998e-05,55274
Carson city,32510,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),8.729301966000001e-06,55274
Carson city,32510,CADMIUM COMPOUNDS,0.0,55274
Carson city,32510,CARBON TETRACHLORIDE,0.0,55274
Carson city,32510,CHLOROPRENE,3.807973e-09,55274
Carson city,32510,CHROMIUM VI (HEXAVALENT),3.3150280218e-05,55274
Carson city,32510,EPICHLOROHYDRIN,4.8407852999999995e-08,55274
Carson city,32510,ETHYLBENZENE,0.0,55274
Carson city,32510,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,55274
Carson city,32510,ETHYLENE OXIDE,0.0,55274
Carson city,32510,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,55274
Carson city,32510,FORMALDEHYDE,0.11373018973008803,55274
Carson city,32510,HEXACHLOROBENZENE,0.0,55274
Carson city,32510,HEXACHLOROBUTADIENE,0.0,55274
Carson city,32510,METHYL TERT-BUTYL ETHER,0.0,55274
Carson city,32510,METHYLENE CHLORIDE,0.000245395049744,55274
Carson city,32510,NAPHTHALENE,0.010463980306917,55274
Carson city,32510,NICKEL COMPOUNDS,0.000407369340091,55274
Carson city,32510,NITROBENZENE,7.789394000000001e-09,55274
Carson city,32510,O-TOLUIDINE,0.0,55274
Carson city,32510,PAHPOM,0.0,55274
Carson city,32510,PENTACHLOROPHENOL,0.0,55274
Carson city,32510,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,55274
Carson city,32510,PROPYLENE OXIDE,3.84053093e-07,55274
Carson city,32510,TETRACHLOROETHYLENE,0.0,55274
Carson city,32510,TRICHLOROETHYLENE,0.0,55274
