county,fips,pollutant,val
Adjuntas,72001,"1,3-BUTADIENE",0.0
Adjuntas,72001,"1,4-DICHLOROBENZENE",0.0
Adjuntas,72001,"2,4,6-TRICHLOROPHENOL",0.0
Adjuntas,72001,ACETALDEHYDE,0.056658952376948
Adjuntas,72001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adjuntas,72001,BENZENE,0.0
Adjuntas,72001,BERYLLIUM COMPOUNDS,1.8905865366e-05
Adjuntas,72001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.1074294619999998e-05
Adjuntas,72001,CADMIUM COMPOUNDS,0.0
Adjuntas,72001,CARBON TETRACHLORIDE,0.0
Adjuntas,72001,CHROMIUM VI (HEXAVALENT),1.8981296519999999e-06
Adjuntas,72001,ETHYLBENZENE,0.0
Adjuntas,72001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adjuntas,72001,ETHYLENE OXIDE,0.0
Adjuntas,72001,FORMALDEHYDE,0.071900963728363
Adjuntas,72001,HEXACHLOROBENZENE,0.0
Adjuntas,72001,METHYLENE CHLORIDE,0.000337259102022
Adjuntas,72001,NAPHTHALENE,0.008998978436188
Adjuntas,72001,NICKEL COMPOUNDS,0.000182764291655
Adjuntas,72001,PAHPOM,0.0
Adjuntas,72001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Adjuntas,72001,TETRACHLOROETHYLENE,0.0
Adjuntas,72001,TRICHLOROETHYLENE,0.0
Aguada,72003,"1,3-BUTADIENE",0.0
Aguada,72003,"1,4-DICHLOROBENZENE",0.0
Aguada,72003,"2,4,6-TRICHLOROPHENOL",0.0
Aguada,72003,ACETALDEHYDE,0.057063072548749996
Aguada,72003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aguada,72003,BENZENE,0.0
Aguada,72003,BERYLLIUM COMPOUNDS,0.000470998223613
Aguada,72003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.995356906000001e-06
Aguada,72003,CADMIUM COMPOUNDS,0.0
Aguada,72003,CARBON TETRACHLORIDE,0.0
Aguada,72003,CHROMIUM VI (HEXAVALENT),9.077069690000001e-07
Aguada,72003,ETHYLBENZENE,0.0
Aguada,72003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aguada,72003,ETHYLENE OXIDE,0.0
Aguada,72003,FORMALDEHYDE,0.072999503500925
Aguada,72003,HEXACHLOROBENZENE,0.0
Aguada,72003,METHYLENE CHLORIDE,0.000356452433935
Aguada,72003,NAPHTHALENE,0.009416803443961
Aguada,72003,NICKEL COMPOUNDS,0.00018964355442099997
Aguada,72003,PAHPOM,0.0
Aguada,72003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aguada,72003,TETRACHLOROETHYLENE,0.0
Aguada,72003,TRICHLOROETHYLENE,0.0
Aguadilla,72005,"1,3-BUTADIENE",0.0
Aguadilla,72005,"1,4-DICHLOROBENZENE",0.0
Aguadilla,72005,"2,4,6-TRICHLOROPHENOL",0.0
Aguadilla,72005,ACETALDEHYDE,0.057819816381009005
Aguadilla,72005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aguadilla,72005,BENZENE,0.0
Aguadilla,72005,BERYLLIUM COMPOUNDS,0.00011832420131
Aguadilla,72005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.223241107e-06
Aguadilla,72005,CADMIUM COMPOUNDS,0.0
Aguadilla,72005,CARBON TETRACHLORIDE,0.0
Aguadilla,72005,CHROMIUM VI (HEXAVALENT),7.612222769999999e-07
Aguadilla,72005,ETHYLBENZENE,0.0
Aguadilla,72005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aguadilla,72005,ETHYLENE OXIDE,0.0
Aguadilla,72005,FORMALDEHYDE,0.07470629997108999
Aguadilla,72005,HEXACHLOROBENZENE,0.0
Aguadilla,72005,METHYLENE CHLORIDE,0.000338643307097
Aguadilla,72005,NAPHTHALENE,0.009915588046697999
Aguadilla,72005,NICKEL COMPOUNDS,0.00010256910015899999
Aguadilla,72005,PAHPOM,0.0
Aguadilla,72005,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aguadilla,72005,TETRACHLOROETHYLENE,0.0
Aguadilla,72005,TRICHLOROETHYLENE,0.0
Aguas Buenas,72007,"1,3-BUTADIENE",0.0
Aguas Buenas,72007,"1,4-DICHLOROBENZENE",0.0
Aguas Buenas,72007,"2,4,6-TRICHLOROPHENOL",0.0
Aguas Buenas,72007,ACETALDEHYDE,0.058552644398665
Aguas Buenas,72007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aguas Buenas,72007,BENZENE,0.0
Aguas Buenas,72007,BERYLLIUM COMPOUNDS,0.0007834331073380001
Aguas Buenas,72007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.536867405000001e-06
Aguas Buenas,72007,CADMIUM COMPOUNDS,0.0
Aguas Buenas,72007,CARBON TETRACHLORIDE,0.0
Aguas Buenas,72007,CHROMIUM VI (HEXAVALENT),3.5830020380000002e-06
Aguas Buenas,72007,ETHYLBENZENE,0.0
Aguas Buenas,72007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aguas Buenas,72007,FORMALDEHYDE,0.075131097158558
Aguas Buenas,72007,HEXACHLOROBENZENE,0.0
Aguas Buenas,72007,METHYL TERT-BUTYL ETHER,0.0
Aguas Buenas,72007,METHYLENE CHLORIDE,0.00033562779584
Aguas Buenas,72007,NAPHTHALENE,0.010396010122296
Aguas Buenas,72007,NICKEL COMPOUNDS,0.000550796825474
Aguas Buenas,72007,PAHPOM,0.0
Aguas Buenas,72007,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aguas Buenas,72007,TETRACHLOROETHYLENE,0.0
Aguas Buenas,72007,TRICHLOROETHYLENE,0.0
Aibonito,72009,"1,3-BUTADIENE",0.0
Aibonito,72009,"1,4-DICHLOROBENZENE",0.0
Aibonito,72009,"2,4,6-TRICHLOROPHENOL",0.0
Aibonito,72009,ACETALDEHYDE,0.05744300716675701
Aibonito,72009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aibonito,72009,BENZENE,0.0
Aibonito,72009,BERYLLIUM COMPOUNDS,0.00046502214013
Aibonito,72009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),4.763251263300001e-05
Aibonito,72009,CADMIUM COMPOUNDS,0.0
Aibonito,72009,CARBON TETRACHLORIDE,0.0
Aibonito,72009,CHROMIUM VI (HEXAVALENT),2.345073342e-06
Aibonito,72009,ETHYLBENZENE,0.0
Aibonito,72009,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aibonito,72009,FORMALDEHYDE,0.073356164705186
Aibonito,72009,HEXACHLOROBENZENE,0.0
Aibonito,72009,METHYL TERT-BUTYL ETHER,0.0
Aibonito,72009,METHYLENE CHLORIDE,0.00033462126804
Aibonito,72009,NAPHTHALENE,0.009718077015934
Aibonito,72009,NICKEL COMPOUNDS,0.000343195950369
Aibonito,72009,PAHPOM,0.0
Aibonito,72009,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aibonito,72009,TETRACHLOROETHYLENE,0.0
Aibonito,72009,TRICHLOROETHYLENE,0.0
Anasco,72011,"1,3-BUTADIENE",0.0
Anasco,72011,"1,4-DICHLOROBENZENE",0.0
Anasco,72011,"2,4,6-TRICHLOROPHENOL",0.0
Anasco,72011,ACETALDEHYDE,0.056834255552755994
Anasco,72011,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Anasco,72011,BENZENE,0.0
Anasco,72011,BERYLLIUM COMPOUNDS,0.001385643652892
Anasco,72011,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),9.108750154999999e-06
Anasco,72011,CADMIUM COMPOUNDS,0.0
Anasco,72011,CARBON TETRACHLORIDE,0.0
Anasco,72011,CHROMIUM VI (HEXAVALENT),1.175279472e-06
Anasco,72011,ETHYLBENZENE,0.0
Anasco,72011,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Anasco,72011,ETHYLENE OXIDE,0.0
Anasco,72011,FORMALDEHYDE,0.073016350842861
Anasco,72011,HEXACHLOROBENZENE,0.0
Anasco,72011,METHYLENE CHLORIDE,0.000383223590145
