county,fips,pollutant,val
Anderson,47001,"1,1,2-TRICHLOROETHANE",0.0
Anderson,47001,"1,3-BUTADIENE",0.0
Anderson,47001,"1,3-DICHLOROPROPENE",3.61966226e-06
Anderson,47001,"1,4-DICHLOROBENZENE",0.0
Anderson,47001,"1,4-DIOXANE",2.9424214399999996e-07
Anderson,47001,"2,4,6-TRICHLOROPHENOL",0.0
Anderson,47001,"2,4-DINITROTOLUENE",0.0
Anderson,47001,"2,4-TOLUENE DIISOCYANATE",0.00014684436958000002
Anderson,47001,2-NITROPROPANE,0.0
Anderson,47001,ACETALDEHYDE,0.1517764651719
Anderson,47001,ACETAMIDE,0.0
Anderson,47001,ACRYLAMIDE,0.0
Anderson,47001,ACRYLONITRILE,0.00013808383855000003
Anderson,47001,ALLYL CHLORIDE,0.0
Anderson,47001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Anderson,47001,BENZENE,0.0
Anderson,47001,BENZIDINE,0.0
Anderson,47001,BENZYL CHLORIDE,0.0
Anderson,47001,BERYLLIUM COMPOUNDS,9.538153644299998e-05
Anderson,47001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.92775308e-05
Anderson,47001,BROMOFORM,0.0
Anderson,47001,CADMIUM COMPOUNDS,0.0
Anderson,47001,CARBON TETRACHLORIDE,0.0
Anderson,47001,CHLOROPRENE,2.357109e-09
Anderson,47001,CHROMIUM VI (HEXAVALENT),8.976919581799999e-05
Anderson,47001,EPICHLOROHYDRIN,2.9268949000000003e-08
Anderson,47001,ETHYLBENZENE,0.0
Anderson,47001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.7652585700000001e-06
Anderson,47001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Anderson,47001,ETHYLENE OXIDE,0.0
Anderson,47001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Anderson,47001,FORMALDEHYDE,0.17616271090825503
Anderson,47001,HEXACHLOROBENZENE,0.0
Anderson,47001,HEXACHLOROBUTADIENE,0.0
Anderson,47001,METHYL TERT-BUTYL ETHER,0.0
Anderson,47001,METHYLENE CHLORIDE,0.000280576726293
Anderson,47001,NAPHTHALENE,0.009234974088191999
Anderson,47001,NICKEL COMPOUNDS,0.0025304178566020004
Anderson,47001,NITROBENZENE,4.721076e-09
Anderson,47001,O-TOLUIDINE,0.0
Anderson,47001,PAHPOM,0.0
Anderson,47001,PENTACHLOROPHENOL,0.0
