county,fips,pollutant,val,population
Anderson,48001,"1,4-DIOXANE",5.7220587e-08,58458
Anderson,48001,METHYL TERT-BUTYL ETHER,0.0,58458
Anderson,48001,METHYLENE CHLORIDE,0.000274039614228,58458
Anderson,48001,NAPHTHALENE,0.003460493010402,58458
Anderson,48001,NICKEL COMPOUNDS,0.000880318161122,58458
Anderson,48001,NITROBENZENE,2.188936e-09,58458
Anderson,48001,O-TOLUIDINE,0.0,58458
Anderson,48001,PAHPOM,0.0,58458
Anderson,48001,PENTACHLOROPHENOL,0.0,58458
Anderson,48001,PROPYLENE OXIDE,1.3540317800000002e-07,58458
Anderson,48001,TETRACHLOROETHYLENE,0.0,58458
Anderson,48001,TRICHLOROETHYLENE,0.0,58458
Anderson,48001,VINYL CHLORIDE,0.0,58458
Andrews,48003,"1,4-DIOXANE",3.0876596e-08,14786
Andrews,48003,METHYL TERT-BUTYL ETHER,0.0,14786
Andrews,48003,METHYLENE CHLORIDE,0.000262277473741,14786
Andrews,48003,NAPHTHALENE,0.003039298687973,14786
Andrews,48003,NICKEL COMPOUNDS,0.000425452857383,14786
Andrews,48003,NITROBENZENE,1.3940859999999999e-09,14786
Andrews,48003,O-TOLUIDINE,0.0,14786
Andrews,48003,PAHPOM,0.0,14786
Andrews,48003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,14786
Andrews,48003,PROPYLENE OXIDE,5.5564793999999995e-08,14786
Andrews,48003,TETRACHLOROETHYLENE,0.0,14786
Andrews,48003,TRICHLOROETHYLENE,0.0,14786
Andrews,48003,VINYL CHLORIDE,0.0,14786
Angelina,48005,"1,4-DIOXANE",1.01844028e-07,86771
Angelina,48005,METHYL TERT-BUTYL ETHER,0.0,86771
Angelina,48005,METHYLENE CHLORIDE,0.00030220239660299996,86771
Angelina,48005,NAPHTHALENE,0.005558217395964001,86771
Angelina,48005,NICKEL COMPOUNDS,0.001307758795259,86771
Angelina,48005,NITROBENZENE,2.805928e-09,86771
Angelina,48005,O-TOLUIDINE,0.0,86771
Angelina,48005,PAHPOM,0.0,86771
Angelina,48005,PENTACHLOROPHENOL,0.0,86771
Angelina,48005,PROPYLENE OXIDE,9.3955268e-08,86771
Angelina,48005,TETRACHLOROETHYLENE,0.0,86771
Angelina,48005,TOXAPHENE (CHLORINATED CAMPHENE),0.0,86771
Angelina,48005,TRICHLOROETHYLENE,0.0,86771
Angelina,48005,VINYL CHLORIDE,0.0,86771
Aransas,48007,"1,4-DIOXANE",4.4339598999999997e-07,23158
Aransas,48007,METHYL TERT-BUTYL ETHER,0.0,23158
Aransas,48007,METHYLENE CHLORIDE,0.000295288407161,23158
Aransas,48007,NAPHTHALENE,0.0016224983772100002,23158
Aransas,48007,NICKEL COMPOUNDS,0.0006677715873369999,23158
Aransas,48007,NITROBENZENE,1.16068e-09,23158
Aransas,48007,O-TOLUIDINE,0.0,23158
Aransas,48007,PAHPOM,0.0,23158
Aransas,48007,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,23158
Aransas,48007,PROPYLENE OXIDE,5.3741149e-07,23158
Aransas,48007,TETRACHLOROETHYLENE,0.0,23158
Aransas,48007,TRICHLOROETHYLENE,0.0,23158
Aransas,48007,VINYL CHLORIDE,0.0,23158
Archer,48009,"1,4-DIOXANE",3.406008e-08,9054
Archer,48009,METHYL TERT-BUTYL ETHER,0.0,9054
Archer,48009,METHYLENE CHLORIDE,0.000234812675914,9054
Archer,48009,NAPHTHALENE,0.0018645448451539998,9054
Archer,48009,NICKEL COMPOUNDS,0.0006468242356209999,9054
Archer,48009,NITROBENZENE,8.992939999999999e-10,9054
Archer,48009,O-TOLUIDINE,0.0,9054
Archer,48009,PAHPOM,0.0,9054
Archer,48009,PROPYLENE OXIDE,4.694579099999999e-08,9054
Archer,48009,TETRACHLOROETHYLENE,0.0,9054
Archer,48009,TRICHLOROETHYLENE,0.0,9054
Archer,48009,VINYL CHLORIDE,0.0,9054
Armstrong,48011,"1,4-DIOXANE",1.1180662e-08,1901
Armstrong,48011,METHYL TERT-BUTYL ETHER,0.0,1901
Armstrong,48011,METHYLENE CHLORIDE,0.000277443041267,1901
Armstrong,48011,NAPHTHALENE,0.001199680388776,1901
Armstrong,48011,NICKEL COMPOUNDS,0.0003374379595,1901
Armstrong,48011,NITROBENZENE,3.39226e-10,1901
Armstrong,48011,O-TOLUIDINE,0.0,1901
Armstrong,48011,PAHPOM,0.0,1901
Armstrong,48011,PROPYLENE OXIDE,1.1363273999999999e-08,1901
Armstrong,48011,TETRACHLOROETHYLENE,0.0,1901
Armstrong,48011,TRICHLOROETHYLENE,0.0,1901
Armstrong,48011,VINYL CHLORIDE,0.0,1901
Atascosa,48013,"1,4-DIOXANE",8.735303800000001e-08,44911
Atascosa,48013,METHYL TERT-BUTYL ETHER,0.0,44911
Atascosa,48013,METHYLENE CHLORIDE,0.00027911379809400006,44911
Atascosa,48013,NAPHTHALENE,0.003080205166461,44911
Atascosa,48013,NICKEL COMPOUNDS,0.000517860823253,44911
Atascosa,48013,NITROBENZENE,2.076534e-09,44911
Atascosa,48013,O-TOLUIDINE,0.0,44911
Atascosa,48013,PAHPOM,0.0,44911
Atascosa,48013,PROPYLENE OXIDE,4.2216834000000004e-07,44911
Atascosa,48013,TETRACHLOROETHYLENE,0.0,44911
Atascosa,48013,TRICHLOROETHYLENE,0.0,44911
Atascosa,48013,VINYL CHLORIDE,0.0,44911
Austin,48015,"1,4-DIOXANE",7.0909721e-08,28417
Austin,48015,METHYL TERT-BUTYL ETHER,0.0,28417
Austin,48015,METHYLENE CHLORIDE,0.000280001428289,28417
Austin,48015,NAPHTHALENE,0.003934170515298,28417
Austin,48015,NICKEL COMPOUNDS,0.0010214076385189998,28417
Austin,48015,NITROBENZENE,2.171006e-09,28417
Austin,48015,O-TOLUIDINE,0.0,28417
Austin,48015,PAHPOM,0.0,28417
Austin,48015,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,28417
Austin,48015,PROPYLENE OXIDE,1.0708178099999999e-07,28417
Austin,48015,TETRACHLOROETHYLENE,0.0,28417
Austin,48015,TRICHLOROETHYLENE,0.0,28417
Austin,48015,VINYL CHLORIDE,0.0,28417
Bailey,48017,"1,4-DIOXANE",1.2176133e-08,7165
Bailey,48017,METHYL TERT-BUTYL ETHER,0.0,7165
