county,fips,pollutant,val
Accomack,51001,"1,1,2-TRICHLOROETHANE",0.0
Accomack,51001,"1,3-BUTADIENE",0.0
Accomack,51001,"1,3-DICHLOROPROPENE",1.7805964107999998e-05
Accomack,51001,"1,4-DICHLOROBENZENE",0.0
Accomack,51001,"1,4-DIOXANE",3.9028923e-08
Accomack,51001,"2,4,6-TRICHLOROPHENOL",0.0
Accomack,51001,"2,4-DINITROTOLUENE",0.0
Accomack,51001,"2,4-TOLUENE DIISOCYANATE",8.044796001899999e-05
Accomack,51001,2-NITROPROPANE,0.0
Accomack,51001,ACETALDEHYDE,0.088999347874511
Accomack,51001,ACETAMIDE,0.0
Accomack,51001,ACRYLONITRILE,5.0494107498000005e-05
Accomack,51001,ALLYL CHLORIDE,0.0
Accomack,51001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Accomack,51001,BENZENE,0.0
Accomack,51001,BENZYL CHLORIDE,0.0
Accomack,51001,BERYLLIUM COMPOUNDS,0.00014741851445599998
Accomack,51001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),5.496483151000001e-06
Accomack,51001,BROMOFORM,0.0
Accomack,51001,CADMIUM COMPOUNDS,0.0
Accomack,51001,CARBON TETRACHLORIDE,0.0
Accomack,51001,CHLOROPRENE,1.004116e-09
Accomack,51001,CHROMIUM VI (HEXAVALENT),8.030242477300001e-05
Accomack,51001,EPICHLOROHYDRIN,6.654320999999999e-09
Accomack,51001,ETHYLBENZENE,0.0
Accomack,51001,ETHYLENE DIBROMIDE (DIBROMOETHANE),7.170169590000001e-07
Accomack,51001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Accomack,51001,ETHYLENE OXIDE,0.0
Accomack,51001,FORMALDEHYDE,0.10240384408832699
Accomack,51001,HEXACHLOROBENZENE,0.0
Accomack,51001,HEXACHLOROBUTADIENE,0.0
Accomack,51001,METHYL TERT-BUTYL ETHER,0.0
Accomack,51001,METHYLENE CHLORIDE,0.000285234387162
Accomack,51001,NAPHTHALENE,0.0031617779882659996
Accomack,51001,NICKEL COMPOUNDS,0.001569867948177
Accomack,51001,NITROBENZENE,1.071997e-09
Accomack,51001,O-TOLUIDINE,0.0
Accomack,51001,PAHPOM,0.0
Accomack,51001,PENTACHLOROPHENOL,0.0
Accomack,51001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Accomack,51001,PROPYLENE OXIDE,8.644980600000001e-08
