county,fips,pollutant,val
Albany,56001,"1,1,2-TRICHLOROETHANE",0.0
Albany,56001,"1,3-BUTADIENE",0.0
Albany,56001,"1,3-DICHLOROPROPENE",2.268759152e-06
Albany,56001,"1,4-DICHLOROBENZENE",0.0
Albany,56001,"1,4-DIOXANE",6.4035736e-08
Albany,56001,"2,4,6-TRICHLOROPHENOL",0.0
Albany,56001,"2,4-DINITROTOLUENE",0.0
Albany,56001,"2,4-TOLUENE DIISOCYANATE",1.7696881304e-05
Albany,56001,2-NITROPROPANE,0.0
Albany,56001,ACETALDEHYDE,0.05082024814808599
Albany,56001,ACETAMIDE,0.0
Albany,56001,ACRYLONITRILE,5.99514155e-06
Albany,56001,ALLYL CHLORIDE,0.0
Albany,56001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Albany,56001,BENZENE,0.0
Albany,56001,BENZYL CHLORIDE,0.0
Albany,56001,BERYLLIUM COMPOUNDS,0.001258855234687
Albany,56001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),2.272525777e-06
Albany,56001,BROMOFORM,0.0
Albany,56001,CADMIUM COMPOUNDS,0.0
Albany,56001,CARBON TETRACHLORIDE,0.0
Albany,56001,CHLOROPRENE,1.6992829999999997e-09
Albany,56001,CHROMIUM VI (HEXAVALENT),0.00013051414047799998
Albany,56001,EPICHLOROHYDRIN,1.0436060000000001e-08
Albany,56001,ETHYLBENZENE,0.0
Albany,56001,ETHYLENE DIBROMIDE (DIBROMOETHANE),6.658886020000001e-07
Albany,56001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Albany,56001,ETHYLENE OXIDE,0.0
Albany,56001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Albany,56001,FORMALDEHYDE,0.061019089096946
Albany,56001,HEXACHLOROBENZENE,0.0
Albany,56001,HEXACHLOROBUTADIENE,0.0
Albany,56001,METHYL TERT-BUTYL ETHER,0.0
Albany,56001,METHYLENE CHLORIDE,0.000273883447549
Albany,56001,NAPHTHALENE,0.003270703899012
Albany,56001,NICKEL COMPOUNDS,0.0014894714452729997
Albany,56001,NITROBENZENE,1.6774560000000003e-09
Albany,56001,O-TOLUIDINE,0.0
Albany,56001,PAHPOM,0.0
Albany,56001,PROPYLENE OXIDE,5.790573200000001e-08
Albany,56001,TETRACHLOROETHYLENE,0.0
Albany,56001,TRICHLOROETHYLENE,0.0
Albany,56001,VINYL CHLORIDE,0.0
Big Horn,56003,"1,1,2-TRICHLOROETHANE",0.0
Big Horn,56003,"1,3-BUTADIENE",0.0
Big Horn,56003,"1,3-DICHLOROPROPENE",3.352129852e-06
Big Horn,56003,"1,4-DICHLOROBENZENE",0.0
Big Horn,56003,"1,4-DIOXANE",2.4779105e-08
Big Horn,56003,"2,4,6-TRICHLOROPHENOL",0.0
