county,fips,pollutant,val
Fairfield,9001,"1,1,2-TRICHLOROETHANE",0.0
Fairfield,9001,"1,3-BUTADIENE",0.0
Fairfield,9001,"1,3-DICHLOROPROPENE",2.4162571969999997e-06
Fairfield,9001,"1,4-DICHLOROBENZENE",0.0
Fairfield,9001,"1,4-DIOXANE",5.705981179999999e-07
Fairfield,9001,"2,4,6-TRICHLOROPHENOL",0.0
Fairfield,9001,"2,4-DINITROTOLUENE",0.0
Fairfield,9001,"2,4-TOLUENE DIISOCYANATE",0.00027445505500700004
Fairfield,9001,2-NITROPROPANE,0.0
Fairfield,9001,ACETALDEHYDE,0.092548808439733
Fairfield,9001,ACETAMIDE,0.0
Fairfield,9001,ACRYLAMIDE,0.0
Fairfield,9001,ACRYLONITRILE,7.657745392300001e-05
Fairfield,9001,ALLYL CHLORIDE,0.0
Fairfield,9001,ANILINE,0.0
Fairfield,9001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Fairfield,9001,BENZENE,0.0
Fairfield,9001,BENZYL CHLORIDE,0.0
Fairfield,9001,BERYLLIUM COMPOUNDS,0.001259074538532
Fairfield,9001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.834379816000001e-06
Fairfield,9001,BROMOFORM,0.0
Fairfield,9001,CADMIUM COMPOUNDS,0.0
Fairfield,9001,CARBON TETRACHLORIDE,0.0
Fairfield,9001,CHLOROPRENE,9.727914e-09
Fairfield,9001,CHROMIUM VI (HEXAVALENT),7.074823873899999e-05
Fairfield,9001,EPICHLOROHYDRIN,6.323232e-08
Fairfield,9001,ETHYLBENZENE,0.0
Fairfield,9001,ETHYLENE DIBROMIDE (DIBROMOETHANE),6.366297990000001e-07
Fairfield,9001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Fairfield,9001,ETHYLENE OXIDE,0.0
Fairfield,9001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Fairfield,9001,FORMALDEHYDE,0.107373873749149
Fairfield,9001,HEXACHLOROBENZENE,0.0
Fairfield,9001,HEXACHLOROBUTADIENE,0.0
Fairfield,9001,HYDRAZINE,0.0
Fairfield,9001,METHYL TERT-BUTYL ETHER,0.0
Fairfield,9001,METHYLENE CHLORIDE,0.000308644793952
Fairfield,9001,NAPHTHALENE,0.009618758100722
