county,fips,pollutant,val
Adams,38001,"1,1,2-TRICHLOROETHANE",0.0
Adams,38001,"1,3-BUTADIENE",0.0
Adams,38001,"1,3-DICHLOROPROPENE",2.09313578e-07
Adams,38001,"1,4-DICHLOROBENZENE",0.0
Adams,38001,"1,4-DIOXANE",4.040301e-09
Adams,38001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,38001,"2,4-DINITROTOLUENE",0.0
Adams,38001,"2,4-TOLUENE DIISOCYANATE",2.177006914e-06
Adams,38001,2-NITROPROPANE,0.0
Adams,38001,ACETALDEHYDE,0.053891968905979006
Adams,38001,ACETAMIDE,0.0
Adams,38001,ACRYLONITRILE,3.301316352e-06
Adams,38001,ALLYL CHLORIDE,0.0
Adams,38001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,38001,BENZENE,0.0
Adams,38001,BENZYL CHLORIDE,0.0
Adams,38001,BERYLLIUM COMPOUNDS,1.05148119e-05
Adams,38001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),8.51758418e-07
Adams,38001,CADMIUM COMPOUNDS,0.0
Adams,38001,CARBON TETRACHLORIDE,0.0
Adams,38001,CHLOROPRENE,1.24532e-10
Adams,38001,CHROMIUM VI (HEXAVALENT),7.90941957e-06
Adams,38001,EPICHLOROHYDRIN,6.81963e-10
Adams,38001,ETHYLBENZENE,0.0
Adams,38001,ETHYLENE DIBROMIDE (DIBROMOETHANE),4.8601884000000003e-08
Adams,38001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,38001,ETHYLENE OXIDE,0.0
Adams,38001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,38001,FORMALDEHYDE,0.057246669875727005
Adams,38001,HEXACHLOROBENZENE,0.0
Adams,38001,HEXACHLOROBUTADIENE,0.0
Adams,38001,METHYL TERT-BUTYL ETHER,0.0
Adams,38001,METHYLENE CHLORIDE,0.0002986970893
Adams,38001,NAPHTHALENE,0.001056214448218
Adams,38001,NICKEL COMPOUNDS,0.000147642584479
Adams,38001,NITROBENZENE,1.1026100000000001e-10
Adams,38001,O-TOLUIDINE,0.0
Adams,38001,PAHPOM,0.0
Adams,38001,PROPYLENE OXIDE,3.707521e-09
Adams,38001,TETRACHLOROETHYLENE,0.0
Adams,38001,TRICHLOROETHYLENE,0.0
Adams,38001,VINYL CHLORIDE,0.0
Barnes,38003,"1,1,2-TRICHLOROETHANE",0.0
Barnes,38003,"1,3-BUTADIENE",0.0
Barnes,38003,"1,4-DICHLOROBENZENE",0.0
Barnes,38003,"1,4-DIOXANE",9.736259e-09
Barnes,38003,"2,4,6-TRICHLOROPHENOL",0.0
Barnes,38003,"2,4-DINITROTOLUENE",0.0
Barnes,38003,"2,4-TOLUENE DIISOCYANATE",5.219011443e-06
Barnes,38003,2-NITROPROPANE,0.0
Barnes,38003,ACETALDEHYDE,0.05098425209778501
Barnes,38003,ACETAMIDE,0.0
Barnes,38003,ACRYLONITRILE,3.7386325489e-05
Barnes,38003,ALLYL CHLORIDE,0.0
Barnes,38003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Barnes,38003,BENZENE,0.0
Barnes,38003,BENZYL CHLORIDE,0.0
Barnes,38003,BERYLLIUM COMPOUNDS,3.3643730178999996e-05
Barnes,38003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),9.24534045e-07
Barnes,38003,CADMIUM COMPOUNDS,0.0
Barnes,38003,CARBON TETRACHLORIDE,0.0
Barnes,38003,CHLOROPRENE,2.5128999999999997e-10
Barnes,38003,CHROMIUM VI (HEXAVALENT),1.4230132859e-05
Barnes,38003,EPICHLOROHYDRIN,1.482435e-09
Barnes,38003,ETHYLBENZENE,0.0
Barnes,38003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Barnes,38003,ETHYLENE OXIDE,0.0
Barnes,38003,FORMALDEHYDE,0.058200533291708
Barnes,38003,HEXACHLOROBENZENE,0.0
Barnes,38003,HEXACHLOROBUTADIENE,0.0
Barnes,38003,METHYL TERT-BUTYL ETHER,0.0
Barnes,38003,METHYLENE CHLORIDE,0.00031890228934500003
Barnes,38003,NAPHTHALENE,0.0035538404416300003
Barnes,38003,NICKEL COMPOUNDS,0.000268673756673
Barnes,38003,NITROBENZENE,2.38727e-10
Barnes,38003,O-TOLUIDINE,0.0
Barnes,38003,PAHPOM,0.0
Barnes,38003,PROPYLENE OXIDE,7.993705e-09
Barnes,38003,TETRACHLOROETHYLENE,0.0
Barnes,38003,TRICHLOROETHYLENE,0.0
Barnes,38003,VINYL CHLORIDE,0.0
Benson,38005,"1,1,2-TRICHLOROETHANE",0.0
Benson,38005,"1,3-BUTADIENE",0.0
Benson,38005,"1,4-DICHLOROBENZENE",0.0
Benson,38005,"1,4-DIOXANE",6.654701999999999e-09
Benson,38005,"2,4,6-TRICHLOROPHENOL",0.0
Benson,38005,"2,4-DINITROTOLUENE",0.0
Benson,38005,"2,4-TOLUENE DIISOCYANATE",2.9248762900000003e-06
Benson,38005,2-NITROPROPANE,0.0
Benson,38005,ACETALDEHYDE,0.04978166110559
Benson,38005,ACETAMIDE,0.0
Benson,38005,ACRYLONITRILE,1.1391064972000002e-05
Benson,38005,ALLYL CHLORIDE,0.0
Benson,38005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Benson,38005,BENZENE,0.0
Benson,38005,BENZYL CHLORIDE,0.0
Benson,38005,BERYLLIUM COMPOUNDS,1.2329081425999998e-05
Benson,38005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),6.744621720000001e-07
Benson,38005,CADMIUM COMPOUNDS,0.0
Benson,38005,CARBON TETRACHLORIDE,0.0
Benson,38005,CHLOROPRENE,5.8795e-11
Benson,38005,CHROMIUM VI (HEXAVALENT),8.342018815000001e-06
Benson,38005,EPICHLOROHYDRIN,4.79603e-10
Benson,38005,ETHYLBENZENE,0.0
Benson,38005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Benson,38005,ETHYLENE OXIDE,0.0
Benson,38005,FORMALDEHYDE,0.05653463475121201
Benson,38005,HEXACHLOROBENZENE,0.0
Benson,38005,HEXACHLOROBUTADIENE,0.0
Benson,38005,METHYL TERT-BUTYL ETHER,0.0
Benson,38005,METHYLENE CHLORIDE,0.00025171999304900004
Benson,38005,NAPHTHALENE,0.0022657987649279997
Benson,38005,NICKEL COMPOUNDS,0.000134774276609
Benson,38005,NITROBENZENE,7.7681e-11
Benson,38005,O-TOLUIDINE,0.0
Benson,38005,PAHPOM,0.0
Benson,38005,PROPYLENE OXIDE,2.5890599999999997e-09
Benson,38005,TETRACHLOROETHYLENE,0.0
Benson,38005,TRICHLOROETHYLENE,0.0
Benson,38005,VINYL CHLORIDE,0.0
Billings,38007,"1,1,2-TRICHLOROETHANE",0.0
Billings,38007,"1,3-BUTADIENE",0.0
Billings,38007,"1,3-DICHLOROPROPENE",1.135861229e-06
Billings,38007,"1,4-DICHLOROBENZENE",0.0
Billings,38007,"1,4-DIOXANE",3.360255e-09
Billings,38007,"2,4,6-TRICHLOROPHENOL",0.0
Billings,38007,"2,4-DINITROTOLUENE",0.0
Billings,38007,"2,4-TOLUENE DIISOCYANATE",1.9044211000000002e-06
Billings,38007,2-NITROPROPANE,0.0
Billings,38007,ACETALDEHYDE,0.054887228419626996
Billings,38007,ACETAMIDE,0.0
Billings,38007,ACRYLONITRILE,2.7203065340000002e-06
Billings,38007,ALLYL CHLORIDE,0.0
Billings,38007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Billings,38007,BENZENE,0.0
Billings,38007,BENZYL CHLORIDE,0.0
Billings,38007,BERYLLIUM COMPOUNDS,1.246554785e-05
Billings,38007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.78192189e-07
Billings,38007,BROMOFORM,0.0
Billings,38007,CADMIUM COMPOUNDS,0.0
Billings,38007,CARBON TETRACHLORIDE,0.0
Billings,38007,CHLOROPRENE,3.1909999999999996e-11
Billings,38007,CHROMIUM VI (HEXAVALENT),6.85917886e-06
Billings,38007,EPICHLOROHYDRIN,2.92348e-10
Billings,38007,ETHYLBENZENE,0.0
Billings,38007,ETHYLENE DIBROMIDE (DIBROMOETHANE),4.16459336e-07
Billings,38007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Billings,38007,ETHYLENE OXIDE,0.0
Billings,38007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Billings,38007,FORMALDEHYDE,0.061292742987707
Billings,38007,HEXACHLOROBENZENE,0.0
Billings,38007,HEXACHLOROBUTADIENE,0.0
Billings,38007,METHYL TERT-BUTYL ETHER,0.0
Billings,38007,METHYLENE CHLORIDE,0.00028634535405
Billings,38007,NAPHTHALENE,0.001828101672355
Billings,38007,NICKEL COMPOUNDS,0.000136712312956
Billings,38007,NITROBENZENE,4.7052e-11
Billings,38007,O-TOLUIDINE,0.0
Billings,38007,PAHPOM,0.0
Billings,38007,PROPYLENE OXIDE,1.5757270000000002e-09
Billings,38007,TETRACHLOROETHYLENE,0.0
Billings,38007,TRICHLOROETHYLENE,0.0
Billings,38007,VINYL CHLORIDE,0.0
Bottineau,38009,"1,1,2-TRICHLOROETHANE",0.0
Bottineau,38009,"1,3-BUTADIENE",0.0
Bottineau,38009,"1,3-DICHLOROPROPENE",3.9853824799999996e-07
Bottineau,38009,"1,4-DICHLOROBENZENE",0.0
Bottineau,38009,"1,4-DIOXANE",5.4398190000000004e-09
Bottineau,38009,"2,4,6-TRICHLOROPHENOL",0.0
Bottineau,38009,"2,4-DINITROTOLUENE",0.0
Bottineau,38009,"2,4-TOLUENE DIISOCYANATE",2.176861506e-06
Bottineau,38009,2-NITROPROPANE,0.0
Bottineau,38009,ACETALDEHYDE,0.05208827050734201
Bottineau,38009,ACETAMIDE,0.0
Bottineau,38009,ACRYLONITRILE,6.2004693010000005e-06
Bottineau,38009,ALLYL CHLORIDE,0.0
Bottineau,38009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bottineau,38009,BENZENE,0.0
Bottineau,38009,BENZYL CHLORIDE,0.0
Bottineau,38009,BERYLLIUM COMPOUNDS,8.659508357e-06
Bottineau,38009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.183822703e-06
Bottineau,38009,CADMIUM COMPOUNDS,0.0
Bottineau,38009,CARBON TETRACHLORIDE,0.0
Bottineau,38009,CHLOROPRENE,1.9199999999999998e-10
Bottineau,38009,CHROMIUM VI (HEXAVALENT),8.058267591999999e-06
Bottineau,38009,EPICHLOROHYDRIN,1.0855950000000001e-09
Bottineau,38009,ETHYLBENZENE,0.0
Bottineau,38009,ETHYLENE DIBROMIDE (DIBROMOETHANE),2.84017045e-07
Bottineau,38009,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bottineau,38009,ETHYLENE OXIDE,0.0
Bottineau,38009,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bottineau,38009,FORMALDEHYDE,0.057260943738225
Bottineau,38009,HEXACHLOROBENZENE,0.0
Bottineau,38009,HEXACHLOROBUTADIENE,0.0
Bottineau,38009,METHYL TERT-BUTYL ETHER,0.0
Bottineau,38009,METHYLENE CHLORIDE,0.00029201911782099994
Bottineau,38009,NAPHTHALENE,0.00190361228494
Bottineau,38009,NICKEL COMPOUNDS,0.000153888700921
Bottineau,38009,NITROBENZENE,1.75367e-10
Bottineau,38009,O-TOLUIDINE,0.0
Bottineau,38009,PAHPOM,0.0
Bottineau,38009,PROPYLENE OXIDE,5.863963000000001e-09
Bottineau,38009,TETRACHLOROETHYLENE,0.0
Bottineau,38009,TRICHLOROETHYLENE,0.0
Bottineau,38009,VINYL CHLORIDE,0.0
Bowman,38011,"1,1,2-TRICHLOROETHANE",0.0
Bowman,38011,"1,3-BUTADIENE",0.0
Bowman,38011,"1,3-DICHLOROPROPENE",9.84080593e-07
Bowman,38011,"1,4-DICHLOROBENZENE",0.0
Bowman,38011,"1,4-DIOXANE",4.179734999999999e-09
Bowman,38011,"2,4,6-TRICHLOROPHENOL",0.0
Bowman,38011,"2,4-DINITROTOLUENE",0.0
Bowman,38011,"2,4-TOLUENE DIISOCYANATE",2.115652372e-06
Bowman,38011,2-NITROPROPANE,0.0
Bowman,38011,ACETALDEHYDE,0.057061388066239005
Bowman,38011,ACETAMIDE,0.0
Bowman,38011,ACRYLONITRILE,2.791409119e-06
Bowman,38011,ALLYL CHLORIDE,0.0
Bowman,38011,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bowman,38011,BENZENE,0.0
Bowman,38011,BENZYL CHLORIDE,0.0
Bowman,38011,BERYLLIUM COMPOUNDS,1.0341334947000001e-05
Bowman,38011,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.02942622e-06
Bowman,38011,BROMOFORM,0.0
Bowman,38011,CADMIUM COMPOUNDS,0.0
Bowman,38011,CARBON TETRACHLORIDE,0.0
Bowman,38011,CHLOROPRENE,1.38423e-10
Bowman,38011,CHROMIUM VI (HEXAVALENT),7.896076483e-06
Bowman,38011,EPICHLOROHYDRIN,7.17071e-10
Bowman,38011,ETHYLBENZENE,0.0
Bowman,38011,ETHYLENE DIBROMIDE (DIBROMOETHANE),2.48592219e-07
Bowman,38011,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bowman,38011,ETHYLENE OXIDE,0.0
Bowman,38011,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bowman,38011,FORMALDEHYDE,0.06050050137149201
Bowman,38011,HEXACHLOROBENZENE,0.0
Bowman,38011,HEXACHLOROBUTADIENE,0.0
Bowman,38011,METHYL TERT-BUTYL ETHER,0.0
Bowman,38011,METHYLENE CHLORIDE,0.000280775082586
Bowman,38011,NAPHTHALENE,0.0011043540926840001
Bowman,38011,NICKEL COMPOUNDS,0.000166403092825
Bowman,38011,NITROBENZENE,1.1565700000000002e-10
Bowman,38011,O-TOLUIDINE,0.0
