county,fips,pollutant,val
Adams,53001,"1,1,2-TRICHLOROETHANE",0.0
Adams,53001,"1,3-BUTADIENE",0.0
Adams,53001,"1,4-DICHLOROBENZENE",0.0
Adams,53001,"1,4-DIOXANE",4.6893272e-08
Adams,53001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,53001,"2,4-DINITROTOLUENE",0.0
Adams,53001,"2,4-TOLUENE DIISOCYANATE",1.8407538394999998e-05
Adams,53001,2-NITROPROPANE,0.0
Adams,53001,ACETALDEHYDE,0.119351346907428
Adams,53001,ACETAMIDE,0.0
Adams,53001,ACRYLONITRILE,8.142939559e-06
Adams,53001,ALLYL CHLORIDE,0.0
Adams,53001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,53001,BENZENE,0.0
Adams,53001,BENZYL CHLORIDE,0.0
Adams,53001,BERYLLIUM COMPOUNDS,6.665432398199999e-05
Adams,53001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.6685720417000002e-05
Adams,53001,BROMOFORM,0.0
Adams,53001,CADMIUM COMPOUNDS,0.0
Adams,53001,CARBON TETRACHLORIDE,0.0
Adams,53001,CHLOROPRENE,4.75364e-10
Adams,53001,CHROMIUM VI (HEXAVALENT),1.6974801819e-05
Adams,53001,EPICHLOROHYDRIN,4.167914000000001e-09
Adams,53001,ETHYLBENZENE,0.0
Adams,53001,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.32260939e-07
Adams,53001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,53001,ETHYLENE OXIDE,0.0
Adams,53001,FORMALDEHYDE,0.111813784575033
Adams,53001,HEXACHLOROBENZENE,0.0
Adams,53001,HEXACHLOROBUTADIENE,0.0
Adams,53001,METHYL TERT-BUTYL ETHER,0.0
Adams,53001,METHYLENE CHLORIDE,0.00029413702987299994
Adams,53001,NAPHTHALENE,0.010202875347821999
Adams,53001,NICKEL COMPOUNDS,0.000205820395632
Adams,53001,NITROBENZENE,6.710880000000001e-10
Adams,53001,O-TOLUIDINE,0.0
Adams,53001,PAHPOM,0.0
Adams,53001,PENTACHLOROPHENOL,0.0
Adams,53001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Adams,53001,PROPYLENE OXIDE,2.2359471000000003e-08
Adams,53001,TETRACHLOROETHYLENE,0.0
Adams,53001,TRICHLOROETHYLENE,0.0
Adams,53001,VINYL CHLORIDE,0.0
Asotin,53003,"1,1,2-TRICHLOROETHANE",0.0
Asotin,53003,"1,3-BUTADIENE",0.0
Asotin,53003,"1,3-DICHLOROPROPENE",0.000510199066357
Asotin,53003,"1,4-DICHLOROBENZENE",0.0
Asotin,53003,"1,4-DIOXANE",3.9161741999999997e-07
Asotin,53003,"2,4,6-TRICHLOROPHENOL",0.0
Asotin,53003,"2,4-DINITROTOLUENE",0.0
