county,fips,pollutant,val
Adair,29001,"1,1,2-TRICHLOROETHANE",0.0
Adair,29001,"1,3-BUTADIENE",0.0
Adair,29001,"1,4-DICHLOROBENZENE",0.0
Adair,29001,"1,4-DIOXANE",0.0
Adair,29001,"2,4,6-TRICHLOROPHENOL",0.0
Adair,29001,"2,4-DINITROTOLUENE",0.0
Adair,29001,"2,4-TOLUENE DIISOCYANATE",0.0
Adair,29001,2-NITROPROPANE,0.0
Adair,29001,ACETALDEHYDE,0.0
Adair,29001,ACETAMIDE,0.0
Adair,29001,ACRYLONITRILE,0.0
Adair,29001,ALLYL CHLORIDE,0.0
Adair,29001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adair,29001,BENZENE,0.0
Adair,29001,BENZYL CHLORIDE,0.0
Adair,29001,BERYLLIUM COMPOUNDS,0.0
Adair,29001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Adair,29001,CADMIUM COMPOUNDS,0.0
Adair,29001,CARBON TETRACHLORIDE,0.0
Adair,29001,CHLOROPRENE,0.0
Adair,29001,CHROMIUM VI (HEXAVALENT),0.0
Adair,29001,EPICHLOROHYDRIN,0.0
Adair,29001,ETHYLBENZENE,0.0
Adair,29001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adair,29001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adair,29001,ETHYLENE OXIDE,0.0
Adair,29001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adair,29001,FORMALDEHYDE,0.0
Adair,29001,HEXACHLOROBENZENE,0.0
Adair,29001,HEXACHLOROBUTADIENE,0.0
Adair,29001,METHYL TERT-BUTYL ETHER,0.0
Adair,29001,METHYLENE CHLORIDE,0.0
Adair,29001,NAPHTHALENE,0.0
Adair,29001,NICKEL COMPOUNDS,0.0
Adair,29001,NITROBENZENE,0.0
Adair,29001,O-TOLUIDINE,0.0
Adair,29001,PAHPOM,0.0
Adair,29001,PROPYLENE OXIDE,0.0
Adair,29001,TETRACHLOROETHYLENE,0.0
Adair,29001,TRICHLOROETHYLENE,0.0
Adair,29001,VINYL CHLORIDE,0.0
Andrew,29003,"1,1,2-TRICHLOROETHANE",0.0
Andrew,29003,"1,3-BUTADIENE",0.0
Andrew,29003,"1,3-DICHLOROPROPENE",0.0
Andrew,29003,"1,4-DICHLOROBENZENE",0.0
Andrew,29003,"1,4-DIOXANE",0.0
Andrew,29003,"2,4,6-TRICHLOROPHENOL",0.0
Andrew,29003,"2,4-DINITROTOLUENE",0.0
Andrew,29003,"2,4-TOLUENE DIISOCYANATE",0.0
Andrew,29003,2-NITROPROPANE,0.0
Andrew,29003,ACETALDEHYDE,0.0
Andrew,29003,ACETAMIDE,0.0
Andrew,29003,ACRYLONITRILE,0.0
Andrew,29003,ALLYL CHLORIDE,0.0
Andrew,29003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Andrew,29003,BENZENE,0.0
Andrew,29003,BENZYL CHLORIDE,0.0
Andrew,29003,BERYLLIUM COMPOUNDS,0.0
Andrew,29003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Andrew,29003,BROMOFORM,0.0
Andrew,29003,CADMIUM COMPOUNDS,0.0
Andrew,29003,CARBON TETRACHLORIDE,0.0
Andrew,29003,CHLOROPRENE,0.0
Andrew,29003,CHROMIUM VI (HEXAVALENT),0.0
Andrew,29003,EPICHLOROHYDRIN,0.0
Andrew,29003,ETHYLBENZENE,0.0
Andrew,29003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Andrew,29003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Andrew,29003,ETHYLENE OXIDE,0.0
Andrew,29003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Andrew,29003,FORMALDEHYDE,0.0
Andrew,29003,HEXACHLOROBENZENE,0.0
Andrew,29003,HEXACHLOROBUTADIENE,0.0
Andrew,29003,METHYL TERT-BUTYL ETHER,0.0
Andrew,29003,METHYLENE CHLORIDE,0.0
Andrew,29003,NAPHTHALENE,0.0
Andrew,29003,NICKEL COMPOUNDS,0.0
Andrew,29003,NITROBENZENE,0.0
Andrew,29003,O-TOLUIDINE,0.0
Andrew,29003,PAHPOM,0.0
Andrew,29003,PENTACHLOROPHENOL,0.0
Andrew,29003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Andrew,29003,PROPYLENE OXIDE,0.0
Andrew,29003,TETRACHLOROETHYLENE,0.0
Andrew,29003,TRICHLOROETHYLENE,0.0
Andrew,29003,VINYL CHLORIDE,0.0
Atchison,29005,"1,1,2-TRICHLOROETHANE",0.0
Atchison,29005,"1,3-BUTADIENE",0.0
Atchison,29005,"1,3-DICHLOROPROPENE",0.0
Atchison,29005,"1,4-DICHLOROBENZENE",0.0
Atchison,29005,"1,4-DIOXANE",0.0
Atchison,29005,"2,4,6-TRICHLOROPHENOL",0.0
Atchison,29005,"2,4-DINITROTOLUENE",0.0
Atchison,29005,"2,4-TOLUENE DIISOCYANATE",0.0
Atchison,29005,2-NITROPROPANE,0.0
Atchison,29005,ACETALDEHYDE,0.0
Atchison,29005,ACETAMIDE,0.0
Atchison,29005,ACRYLONITRILE,0.0
Atchison,29005,ALLYL CHLORIDE,0.0
Atchison,29005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Atchison,29005,BENZENE,0.0
Atchison,29005,BENZYL CHLORIDE,0.0
Atchison,29005,BERYLLIUM COMPOUNDS,0.0
Atchison,29005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Atchison,29005,BROMOFORM,0.0
Atchison,29005,CADMIUM COMPOUNDS,0.0
Atchison,29005,CARBON TETRACHLORIDE,0.0
Atchison,29005,CHLOROPRENE,0.0
Atchison,29005,CHROMIUM VI (HEXAVALENT),0.0
Atchison,29005,EPICHLOROHYDRIN,0.0
Atchison,29005,ETHYLBENZENE,0.0
Atchison,29005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Atchison,29005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Atchison,29005,ETHYLENE OXIDE,0.0
