county,fips,pollutant,val,population
District of Columbia,11001,"1,1,2-TRICHLOROETHANE",8.195441536000001e-06,601723
District of Columbia,11001,"1,3-BUTADIENE",1.5040338817e-05,601723
District of Columbia,11001,"1,3-DICHLOROPROPENE",0.0,601723
District of Columbia,11001,"1,4-DICHLOROBENZENE",1.9835326286e-05,601723
District of Columbia,11001,"1,4-DIOXANE",0.0,601723
District of Columbia,11001,"2,4,6-TRICHLOROPHENOL",0.0,601723
District of Columbia,11001,"2,4-DINITROTOLUENE",1.7624025699999997e-07,601723
District of Columbia,11001,"2,4-TOLUENE DIISOCYANATE",6.985799623999999e-05,601723
District of Columbia,11001,2-NITROPROPANE,0.0,601723
District of Columbia,11001,ACETALDEHYDE,9.8731506755e-05,601723
District of Columbia,11001,ACETAMIDE,0.0,601723
District of Columbia,11001,ACRYLAMIDE,2.93998859e-07,601723
District of Columbia,11001,ACRYLONITRILE,0.005746102148731,601723
District of Columbia,11001,ALLYL CHLORIDE,0.0,601723
District of Columbia,11001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.006992511656559001,601723
District of Columbia,11001,BENZENE,0.004781912890701999,601723
District of Columbia,11001,BENZYL CHLORIDE,0.00032256862694300003,601723
District of Columbia,11001,BERYLLIUM COMPOUNDS,0.001649537013906,601723
District of Columbia,11001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.328626256e-06,601723
District of Columbia,11001,BROMOFORM,4.14010033e-07,601723
District of Columbia,11001,CADMIUM COMPOUNDS,0.014920307933706,601723
District of Columbia,11001,CARBON TETRACHLORIDE,1.108508789e-06,601723
District of Columbia,11001,CHLOROPRENE,0.0,601723
District of Columbia,11001,CHROMIUM VI (HEXAVALENT),0.144435048232446,601723
District of Columbia,11001,EPICHLOROHYDRIN,0.0,601723
District of Columbia,11001,ETHYLBENZENE,0.028964023996989,601723
District of Columbia,11001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.003529545562022,601723
District of Columbia,11001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",7.3644712081e-05,601723
District of Columbia,11001,ETHYLENE OXIDE,0.018000719450231004,601723
District of Columbia,11001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",2.3904125096000002e-05,601723
District of Columbia,11001,FORMALDEHYDE,0.032824010237734,601723
District of Columbia,11001,HEPTACHLOR,2.68329021e-07,601723
District of Columbia,11001,HEXACHLOROBENZENE,0.00038820573572000003,601723
District of Columbia,11001,HEXACHLOROBUTADIENE,0.0,601723
District of Columbia,11001,METHYL TERT-BUTYL ETHER,0.00012519352388,601723
District of Columbia,11001,METHYLENE CHLORIDE,2.5265610419e-05,601723
District of Columbia,11001,NAPHTHALENE,0.005785109426051,601723
District of Columbia,11001,NICKEL COMPOUNDS,0.025559676163867995,601723
District of Columbia,11001,NITROBENZENE,0.0,601723
District of Columbia,11001,O-TOLUIDINE,0.0,601723
District of Columbia,11001,PAHPOM,0.009423097720167,601723
District of Columbia,11001,PENTACHLOROPHENOL,6.0967e-11,601723
District of Columbia,11001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,601723
District of Columbia,11001,PROPYLENE OXIDE,7.349905242199999e-05,601723
District of Columbia,11001,TETRACHLOROETHYLENE,2.0913313520000002e-05,601723
District of Columbia,11001,TRICHLOROETHYLENE,0.00015307341085799998,601723
District of Columbia,11001,VINYL CHLORIDE,0.002813595665214,601723
