county,fips,pollutant,val,population
Abbeville,45001,"1,1,2-TRICHLOROETHANE",2.8615064321e-05,25417
Abbeville,45001,"1,3-BUTADIENE",0.0009245728841869999,25417
Abbeville,45001,"1,3-DICHLOROPROPENE",0.00016296181425200001,25417
Abbeville,45001,"1,4-DICHLOROBENZENE",0.000548172293613,25417
Abbeville,45001,"1,4-DIOXANE",2.3424990919999997e-06,25417
Abbeville,45001,"2,4,6-TRICHLOROPHENOL",0.0,25417
Abbeville,45001,"2,4-DINITROTOLUENE",2.0572995e-08,25417
Abbeville,45001,"2,4-TOLUENE DIISOCYANATE",0.0,25417
Abbeville,45001,2-NITROPROPANE,0.0,25417
Abbeville,45001,"4,4'-METHYLENEDIANILINE",6.947292626e-06,25417
Abbeville,45001,ACETALDEHYDE,0.00117582230009,25417
Abbeville,45001,ACETAMIDE,0.0,25417
Abbeville,45001,ACRYLAMIDE,0.000503097791209,25417
Abbeville,45001,ACRYLONITRILE,0.135844759799458,25417
Abbeville,45001,ALLYL CHLORIDE,0.0,25417
Abbeville,45001,ANILINE,0.000186927103753,25417
Abbeville,45001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.009417319038112,25417
Abbeville,45001,BENZENE,0.004951548071303,25417
Abbeville,45001,BENZIDINE,7.734597170000001e-07,25417
Abbeville,45001,BENZYL CHLORIDE,4.678401599199999e-05,25417
Abbeville,45001,BERYLLIUM COMPOUNDS,8.5064842647e-05,25417
Abbeville,45001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),8.3478700508e-05,25417
Abbeville,45001,BROMOFORM,2.5466962653e-05,25417
Abbeville,45001,CADMIUM COMPOUNDS,0.0018451889576600001,25417
Abbeville,45001,CARBON TETRACHLORIDE,0.000400211176696,25417
Abbeville,45001,CHLOROPRENE,0.0,25417
Abbeville,45001,CHROMIUM VI (HEXAVALENT),0.164223734975458,25417
Abbeville,45001,EPICHLOROHYDRIN,0.0,25417
Abbeville,45001,ETHYLBENZENE,0.002274129923018,25417
Abbeville,45001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.005344856185389,25417
Abbeville,45001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.002136316385032,25417
Abbeville,45001,ETHYLENE OXIDE,0.14732023408848,25417
Abbeville,45001,ETHYLENE THIOUREA,6.144913560000001e-07,25417
