county,fips,pollutant,val
Albany,56001,"1,1,2-TRICHLOROETHANE",2.0196997119999997e-06
Albany,56001,"1,3-BUTADIENE",1.3454120670999999e-05
Albany,56001,"1,3-DICHLOROPROPENE",0.000103567277316
Albany,56001,"1,4-DICHLOROBENZENE",1.9022476522e-05
Albany,56001,"1,4-DIOXANE",0.0
Albany,56001,"2,4,6-TRICHLOROPHENOL",0.0
Albany,56001,"2,4-DINITROTOLUENE",2.0237939999999997e-09
Albany,56001,"2,4-TOLUENE DIISOCYANATE",0.0
Albany,56001,2-NITROPROPANE,0.0
Albany,56001,ACETALDEHYDE,1.2449708437000002e-05
Albany,56001,ACETAMIDE,0.0
Albany,56001,ACRYLONITRILE,0.000196239256342
Albany,56001,ALLYL CHLORIDE,0.0
Albany,56001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),1.0531218152222148
Albany,56001,BENZENE,0.34543832869910196
Albany,56001,BENZYL CHLORIDE,4.3885284330000005e-06
Albany,56001,BERYLLIUM COMPOUNDS,0.051157758336106
Albany,56001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.541603999999999e-08
Albany,56001,BROMOFORM,5.50192e-09
Albany,56001,CADMIUM COMPOUNDS,0.023113167589533
Albany,56001,CARBON TETRACHLORIDE,2.322341109e-06
Albany,56001,CHLOROPRENE,0.0
Albany,56001,CHROMIUM VI (HEXAVALENT),0.155060054487966
Albany,56001,EPICHLOROHYDRIN,0.0
Albany,56001,ETHYLBENZENE,1.2865962439999998e-06
Albany,56001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.002123559476553
Albany,56001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",4.351151153e-06
Albany,56001,ETHYLENE OXIDE,0.0
Albany,56001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",6.4781245e-08
Albany,56001,FORMALDEHYDE,0.00036224993111099997
Albany,56001,HEXACHLOROBENZENE,0.0
Albany,56001,HEXACHLOROBUTADIENE,0.0
Albany,56001,METHYL TERT-BUTYL ETHER,1.159643e-09
Albany,56001,METHYLENE CHLORIDE,1.5139860065999999e-05
Albany,56001,NAPHTHALENE,2.787151656e-06
Albany,56001,NICKEL COMPOUNDS,0.049328984243786
Albany,56001,NITROBENZENE,0.0
Albany,56001,O-TOLUIDINE,0.0
Albany,56001,PAHPOM,0.002965785355461
Albany,56001,PROPYLENE OXIDE,1.82147567e-07
Albany,56001,TETRACHLOROETHYLENE,3.673029935e-06
Albany,56001,TRICHLOROETHYLENE,2.533374762e-06
Albany,56001,VINYL CHLORIDE,8.333262561900001e-05
Big Horn,56003,"1,1,2-TRICHLOROETHANE",3.894080242e-06
Big Horn,56003,"1,3-BUTADIENE",0.000148781936993
Big Horn,56003,"1,3-DICHLOROPROPENE",0.00012101819427200002
Big Horn,56003,"1,4-DICHLOROBENZENE",0.0
Big Horn,56003,"1,4-DIOXANE",0.0
Big Horn,56003,"2,4,6-TRICHLOROPHENOL",0.0
Big Horn,56003,"2,4-DINITROTOLUENE",0.0
Big Horn,56003,"2,4-TOLUENE DIISOCYANATE",0.0
Big Horn,56003,2-NITROPROPANE,0.0
Big Horn,56003,ACETALDEHYDE,4.8354252666000005e-05
Big Horn,56003,ACETAMIDE,0.0
Big Horn,56003,ACRYLONITRILE,0.0
Big Horn,56003,ALLYL CHLORIDE,0.0
Big Horn,56003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.002917950447004
Big Horn,56003,BENZENE,0.014705008493984
Big Horn,56003,BENZYL CHLORIDE,0.0
Big Horn,56003,BERYLLIUM COMPOUNDS,3.6338019269999997e-06
Big Horn,56003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Big Horn,56003,BROMOFORM,0.0
Big Horn,56003,CADMIUM COMPOUNDS,0.002839580045407
