county,fips,pollutant,val
Apache,4001,"1,1,2-TRICHLOROETHANE",0.0
Apache,4001,"1,3-BUTADIENE",0.0004262224488480001
Apache,4001,"1,3-DICHLOROPROPENE",0.0
Apache,4001,"1,4-DICHLOROBENZENE",0.0
Apache,4001,"1,4-DIOXANE",0.0
Apache,4001,"2,4,6-TRICHLOROPHENOL",0.0
Apache,4001,"2,4-DINITROTOLUENE",0.0
Apache,4001,"2,4-TOLUENE DIISOCYANATE",0.0
Apache,4001,2-NITROPROPANE,0.0
Apache,4001,ACETALDEHYDE,0.000529124136311
Apache,4001,ACETAMIDE,0.0
Apache,4001,ACRYLONITRILE,0.0
Apache,4001,ALLYL CHLORIDE,0.0
Apache,4001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Apache,4001,BENZENE,0.0027977278273680004
Apache,4001,BENZYL CHLORIDE,0.0
Apache,4001,BERYLLIUM COMPOUNDS,0.0
Apache,4001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Apache,4001,BROMOFORM,0.0
Apache,4001,CADMIUM COMPOUNDS,0.0
Apache,4001,CARBON TETRACHLORIDE,0.0
Apache,4001,CHLOROPRENE,0.0
Apache,4001,CHROMIUM VI (HEXAVALENT),0.0
Apache,4001,EPICHLOROHYDRIN,0.0
Apache,4001,ETHYLBENZENE,9.620992971400001e-05
Apache,4001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Apache,4001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Apache,4001,ETHYLENE OXIDE,0.0
Apache,4001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Apache,4001,FORMALDEHYDE,0.007842215450937
Apache,4001,HEXACHLOROBENZENE,0.0
Apache,4001,HEXACHLOROBUTADIENE,0.0
Apache,4001,METHYL TERT-BUTYL ETHER,0.0
Apache,4001,METHYLENE CHLORIDE,0.0
Apache,4001,N-NITROSODIMETHYLAMINE,0.0
Apache,4001,NAPHTHALENE,0.0026572535044099995
Apache,4001,NICKEL COMPOUNDS,0.0
Apache,4001,NITROBENZENE,0.0
Apache,4001,O-TOLUIDINE,0.0
Apache,4001,PAHPOM,0.000155185837057
Apache,4001,PENTACHLOROPHENOL,0.0
Apache,4001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Apache,4001,PROPYLENE OXIDE,0.0
Apache,4001,TETRACHLOROETHYLENE,0.0
Apache,4001,TRICHLOROETHYLENE,0.0
Apache,4001,VINYL CHLORIDE,0.0
Cochise,4003,"1,1,2-TRICHLOROETHANE",0.0
Cochise,4003,"1,3-BUTADIENE",0.004896893002937
Cochise,4003,"1,3-DICHLOROPROPENE",0.0
Cochise,4003,"1,4-DICHLOROBENZENE",0.0
Cochise,4003,"1,4-DIOXANE",0.0
Cochise,4003,"2,4,6-TRICHLOROPHENOL",0.0
Cochise,4003,"2,4-DINITROTOLUENE",0.0
Cochise,4003,"2,4-TOLUENE DIISOCYANATE",0.0
Cochise,4003,2-NITROPROPANE,0.0
Cochise,4003,ACETALDEHYDE,0.007031776933667
Cochise,4003,ACETAMIDE,0.0
Cochise,4003,ACRYLONITRILE,0.0
Cochise,4003,ALLYL CHLORIDE,0.0
Cochise,4003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Cochise,4003,BENZENE,0.014573781246608
Cochise,4003,BENZYL CHLORIDE,0.0
Cochise,4003,BERYLLIUM COMPOUNDS,0.0
Cochise,4003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Cochise,4003,BROMOFORM,0.0
Cochise,4003,CADMIUM COMPOUNDS,0.0
Cochise,4003,CARBON TETRACHLORIDE,0.0
Cochise,4003,CHLOROPRENE,0.0
Cochise,4003,CHROMIUM VI (HEXAVALENT),0.0
Cochise,4003,EPICHLOROHYDRIN,0.0
Cochise,4003,ETHYLBENZENE,0.000922428382169
Cochise,4003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Cochise,4003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Cochise,4003,ETHYLENE OXIDE,0.0
Cochise,4003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Cochise,4003,FORMALDEHYDE,0.10139196045610602
Cochise,4003,HEXACHLOROBENZENE,0.0
Cochise,4003,HEXACHLOROBUTADIENE,0.0
Cochise,4003,METHYL TERT-BUTYL ETHER,0.0
Cochise,4003,METHYLENE CHLORIDE,0.0
Cochise,4003,NAPHTHALENE,0.030745365189220997
Cochise,4003,NICKEL COMPOUNDS,0.0
Cochise,4003,NITROBENZENE,0.0
Cochise,4003,O-TOLUIDINE,0.0
Cochise,4003,PAHPOM,0.000939901691066
Cochise,4003,PROPYLENE OXIDE,0.0
Cochise,4003,TETRACHLOROETHYLENE,0.0
Cochise,4003,TRICHLOROETHYLENE,0.0
Cochise,4003,VINYL CHLORIDE,0.0
Coconino,4005,"1,1,2-TRICHLOROETHANE",0.0
Coconino,4005,"1,3-BUTADIENE",0.003715375927064
Coconino,4005,"1,3-DICHLOROPROPENE",0.0
Coconino,4005,"1,4-DICHLOROBENZENE",0.0
Coconino,4005,"1,4-DIOXANE",0.0
Coconino,4005,"2,4,6-TRICHLOROPHENOL",0.0
Coconino,4005,"2,4-DINITROTOLUENE",0.0
Coconino,4005,"2,4-TOLUENE DIISOCYANATE",0.0
Coconino,4005,2-NITROPROPANE,0.0
Coconino,4005,ACETALDEHYDE,0.005230603127202
Coconino,4005,ACETAMIDE,0.0
Coconino,4005,ACRYLAMIDE,0.0
Coconino,4005,ACRYLONITRILE,0.0
Coconino,4005,ALLYL CHLORIDE,0.0
