county,fips,pollutant,val,population
Baker,41001,"1,1,2-TRICHLOROETHANE",0.0,16134
Baker,41001,"1,3-BUTADIENE",0.000172231803164,16134
Baker,41001,"1,3-DICHLOROPROPENE",0.0,16134
Baker,41001,"1,4-DICHLOROBENZENE",0.0,16134
Baker,41001,"1,4-DIOXANE",0.0,16134
Baker,41001,"2,4,6-TRICHLOROPHENOL",0.0,16134
Baker,41001,"2,4-DINITROTOLUENE",0.0,16134
Baker,41001,"2,4-TOLUENE DIISOCYANATE",0.0,16134
Baker,41001,2-NITROPROPANE,0.0,16134
Baker,41001,ACETALDEHYDE,0.000254081106535,16134
Baker,41001,ACETAMIDE,0.0,16134
Baker,41001,ACRYLONITRILE,0.0,16134
Baker,41001,ALLYL CHLORIDE,0.0,16134
Baker,41001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),4.0344702713000004e-05,16134
Baker,41001,BENZENE,0.001754508167947,16134
Baker,41001,BENZYL CHLORIDE,0.0,16134
Baker,41001,BERYLLIUM COMPOUNDS,0.0,16134
Baker,41001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,16134
Baker,41001,BROMOFORM,0.0,16134
Baker,41001,CADMIUM COMPOUNDS,0.0,16134
Baker,41001,CARBON TETRACHLORIDE,0.0,16134
Baker,41001,CHLOROPRENE,0.0,16134
Baker,41001,CHROMIUM VI (HEXAVALENT),6.622755955e-06,16134
Baker,41001,EPICHLOROHYDRIN,0.0,16134
Baker,41001,ETHYLBENZENE,6.845016661399999e-05,16134
Baker,41001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,16134
Baker,41001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,16134
Baker,41001,ETHYLENE OXIDE,0.0,16134
Baker,41001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,16134
Baker,41001,FORMALDEHYDE,0.004310210664040999,16134
Baker,41001,HEXACHLOROBENZENE,0.0,16134
Baker,41001,HEXACHLOROBUTADIENE,0.0,16134
Baker,41001,METHYL TERT-BUTYL ETHER,0.0,16134
Baker,41001,METHYLENE CHLORIDE,0.0,16134
Baker,41001,NAPHTHALENE,0.000450632731517,16134
Baker,41001,NICKEL COMPOUNDS,1.7484720936000003e-05,16134
Baker,41001,NITROBENZENE,0.0,16134
Baker,41001,O-TOLUIDINE,0.0,16134
Baker,41001,PAHPOM,3.8108433337e-05,16134
Baker,41001,PENTACHLOROPHENOL,0.0,16134
Baker,41001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,16134
Baker,41001,PROPYLENE OXIDE,0.0,16134
Baker,41001,TETRACHLOROETHYLENE,0.0,16134
Baker,41001,TRICHLOROETHYLENE,0.0,16134
Baker,41001,VINYL CHLORIDE,0.0,16134
Benton,41003,"1,1,2-TRICHLOROETHANE",0.0,85579
Benton,41003,"1,3-BUTADIENE",0.0028458270615230002,85579
Benton,41003,"1,4-DICHLOROBENZENE",0.0,85579
Benton,41003,"1,4-DIOXANE",0.0,85579
Benton,41003,"2,4,6-TRICHLOROPHENOL",0.0,85579
Benton,41003,"2,4-DINITROTOLUENE",0.0,85579
Benton,41003,"2,4-TOLUENE DIISOCYANATE",0.0,85579
Benton,41003,2-NITROPROPANE,0.0,85579
Benton,41003,ACETALDEHYDE,0.0045400330976959995,85579
Benton,41003,ACETAMIDE,0.0,85579
Benton,41003,ACRYLONITRILE,0.0,85579
Benton,41003,ALLYL CHLORIDE,0.0,85579
Benton,41003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00025712424784,85579
Benton,41003,BENZENE,0.017281655869133997,85579
Benton,41003,BENZYL CHLORIDE,0.0,85579
Benton,41003,BERYLLIUM COMPOUNDS,0.0,85579
Benton,41003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,85579
Benton,41003,BROMOFORM,0.0,85579
Benton,41003,CADMIUM COMPOUNDS,0.0,85579
Benton,41003,CARBON TETRACHLORIDE,0.0,85579
Benton,41003,CHLOROPRENE,0.0,85579
Benton,41003,CHROMIUM VI (HEXAVALENT),0.00012146696832700001,85579
Benton,41003,EPICHLOROHYDRIN,0.0,85579
Benton,41003,ETHYLBENZENE,0.0011550663313760002,85579
Benton,41003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,85579
Benton,41003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,85579
Benton,41003,ETHYLENE OXIDE,0.0,85579
Benton,41003,FORMALDEHYDE,0.069292248728882,85579
Benton,41003,HEXACHLOROBENZENE,0.0,85579
Benton,41003,HEXACHLOROBUTADIENE,0.0,85579
Benton,41003,METHYL TERT-BUTYL ETHER,0.0,85579
Benton,41003,METHYLENE CHLORIDE,0.0,85579
Benton,41003,NAPHTHALENE,0.008083151463571,85579
Benton,41003,NICKEL COMPOUNDS,0.00015800603383399998,85579
Benton,41003,NITROBENZENE,0.0,85579
Benton,41003,O-TOLUIDINE,0.0,85579
Benton,41003,PAHPOM,0.000495346295835,85579
Benton,41003,PENTACHLOROPHENOL,0.0,85579
Benton,41003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,85579
Benton,41003,PROPYLENE OXIDE,0.0,85579
Benton,41003,TETRACHLOROETHYLENE,0.0,85579
Benton,41003,TRICHLOROETHYLENE,0.0,85579
Benton,41003,VINYL CHLORIDE,0.0,85579
Clackamas,41005,"1,1,2-TRICHLOROETHANE",0.0,375992
Clackamas,41005,"1,3-BUTADIENE",0.012383179218619,375992
Clackamas,41005,"1,4-DICHLOROBENZENE",0.0,375992
Clackamas,41005,"1,4-DIOXANE",0.0,375992
Clackamas,41005,"2,4,6-TRICHLOROPHENOL",0.0,375992
Clackamas,41005,"2,4-DINITROTOLUENE",0.0,375992
Clackamas,41005,"2,4-TOLUENE DIISOCYANATE",0.0,375992
Clackamas,41005,2-NITROPROPANE,0.0,375992
Clackamas,41005,ACETALDEHYDE,0.021585427344259996,375992
Clackamas,41005,ACETAMIDE,0.0,375992
Clackamas,41005,ACRYLONITRILE,0.0,375992
Clackamas,41005,ALLYL CHLORIDE,0.0,375992
Clackamas,41005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0008356790694269999,375992
Clackamas,41005,BENZENE,0.05282806412446,375992
