county,fips,pollutant,val
Arkansas,5001,"1,1,2-TRICHLOROETHANE",0.0
Arkansas,5001,"1,3-BUTADIENE",0.000741760847815
Arkansas,5001,"1,3-DICHLOROPROPENE",0.0
Arkansas,5001,"1,4-DICHLOROBENZENE",0.0
Arkansas,5001,"1,4-DIOXANE",0.0
Arkansas,5001,"2,4,6-TRICHLOROPHENOL",0.0
Arkansas,5001,"2,4-DINITROTOLUENE",0.0
Arkansas,5001,"2,4-TOLUENE DIISOCYANATE",0.0
Arkansas,5001,2-NITROPROPANE,0.0
Arkansas,5001,ACETALDEHYDE,6.3202902877e-05
Arkansas,5001,ACETAMIDE,0.0
Arkansas,5001,ACRYLONITRILE,0.0
Arkansas,5001,ALLYL CHLORIDE,0.0
Arkansas,5001,ANILINE,0.0
Arkansas,5001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.8155257664999996e-05
Arkansas,5001,BENZENE,0.006765711978583001
Arkansas,5001,BENZYL CHLORIDE,0.0
Arkansas,5001,BERYLLIUM COMPOUNDS,0.0
Arkansas,5001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Arkansas,5001,BROMOFORM,0.0
Arkansas,5001,CADMIUM COMPOUNDS,0.0
Arkansas,5001,CARBON TETRACHLORIDE,0.0
Arkansas,5001,CHLOROPRENE,0.0
Arkansas,5001,CHROMIUM VI (HEXAVALENT),2.1401403259999996e-06
Arkansas,5001,EPICHLOROHYDRIN,0.0
Arkansas,5001,ETHYLBENZENE,0.000394624344453
Arkansas,5001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Arkansas,5001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Arkansas,5001,ETHYLENE OXIDE,0.0
Arkansas,5001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Arkansas,5001,FORMALDEHYDE,0.0006125597035750001
Arkansas,5001,HEXACHLOROBENZENE,0.0
Arkansas,5001,HEXACHLOROBUTADIENE,0.0
