county,fips,pollutant,val
St. Croix,78010,"1,1,2-TRICHLOROETHANE",0.0
St. Croix,78010,"1,3-BUTADIENE",1.6186887547e-05
St. Croix,78010,"1,4-DICHLOROBENZENE",0.0
St. Croix,78010,"1,4-DIOXANE",0.0
St. Croix,78010,"2,4,6-TRICHLOROPHENOL",0.0
St. Croix,78010,"2,4-DINITROTOLUENE",0.0
St. Croix,78010,"2,4-TOLUENE DIISOCYANATE",0.0
St. Croix,78010,2-NITROPROPANE,0.0
St. Croix,78010,ACETALDEHYDE,3.6460719491999995e-05
St. Croix,78010,ACRYLONITRILE,0.0
St. Croix,78010,ALLYL CHLORIDE,0.0
St. Croix,78010,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),9.84231774e-07
St. Croix,78010,BENZENE,5.4552391694e-05
St. Croix,78010,BENZYL CHLORIDE,0.0
St. Croix,78010,BERYLLIUM COMPOUNDS,0.0
St. Croix,78010,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
St. Croix,78010,CADMIUM COMPOUNDS,0.0
St. Croix,78010,CARBON TETRACHLORIDE,0.0
St. Croix,78010,CHLOROPRENE,0.0
St. Croix,78010,CHROMIUM VI (HEXAVALENT),5.3196895e-08
St. Croix,78010,EPICHLOROHYDRIN,0.0
St. Croix,78010,ETHYLBENZENE,3.995926138000001e-06
St. Croix,78010,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
St. Croix,78010,ETHYLENE OXIDE,0.0
St. Croix,78010,FORMALDEHYDE,0.000607083455859
St. Croix,78010,HEXACHLOROBENZENE,0.0
St. Croix,78010,HEXACHLOROBUTADIENE,0.0
St. Croix,78010,METHYL TERT-BUTYL ETHER,0.0
St. Croix,78010,METHYLENE CHLORIDE,0.0
St. Croix,78010,NAPHTHALENE,3.1207515859e-05
St. Croix,78010,NICKEL COMPOUNDS,3.320973060000001e-07
St. Croix,78010,NITROBENZENE,0.0
St. Croix,78010,O-TOLUIDINE,0.0
St. Croix,78010,PAHPOM,1.7389847495000002e-05
St. Croix,78010,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
St. Croix,78010,PROPYLENE OXIDE,0.0
St. Croix,78010,TETRACHLOROETHYLENE,0.0
