county,fips,pollutant,val,population
Aurora,46003,"1,1,2-TRICHLOROETHANE",0.0,2710
Aurora,46003,"1,3-BUTADIENE",0.00053746593699,2710
Aurora,46003,"1,4-DICHLOROBENZENE",0.0,2710
Aurora,46003,"1,4-DIOXANE",0.0,2710
Aurora,46003,"2,4,6-TRICHLOROPHENOL",0.0,2710
Aurora,46003,"2,4-DINITROTOLUENE",0.0,2710
Aurora,46003,"2,4-TOLUENE DIISOCYANATE",0.0,2710
Aurora,46003,2-NITROPROPANE,0.0,2710
Aurora,46003,ACETALDEHYDE,6.1127140976e-05,2710
Aurora,46003,ACETAMIDE,0.0,2710
Aurora,46003,ACRYLONITRILE,0.0,2710
Aurora,46003,ALLYL CHLORIDE,0.0,2710
Aurora,46003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0001043520818,2710
Aurora,46003,BENZENE,0.010125452876167,2710
Aurora,46003,BENZYL CHLORIDE,0.0,2710
Aurora,46003,BERYLLIUM COMPOUNDS,0.0,2710
Aurora,46003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,2710
Aurora,46003,CADMIUM COMPOUNDS,0.0,2710
Aurora,46003,CARBON TETRACHLORIDE,0.0,2710
Aurora,46003,CHLOROPRENE,0.0,2710
Aurora,46003,CHROMIUM VI (HEXAVALENT),1.6322664e-05,2710
Aurora,46003,EPICHLOROHYDRIN,0.0,2710
Aurora,46003,ETHYLBENZENE,0.000168721028233,2710
Aurora,46003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,2710
Aurora,46003,ETHYLENE OXIDE,0.0,2710
Aurora,46003,FORMALDEHYDE,0.0007669178224500001,2710
Aurora,46003,HEXACHLOROBENZENE,0.0,2710
Aurora,46003,HEXACHLOROBUTADIENE,0.0,2710
Aurora,46003,METHYL TERT-BUTYL ETHER,0.0,2710
Aurora,46003,METHYLENE CHLORIDE,0.0,2710
Aurora,46003,NAPHTHALENE,0.000153637017472,2710
Aurora,46003,NICKEL COMPOUNDS,1.831457088e-05,2710
Aurora,46003,NITROBENZENE,0.0,2710
Aurora,46003,O-TOLUIDINE,0.0,2710
Aurora,46003,PAHPOM,2.8201723391999998e-05,2710
Aurora,46003,PROPYLENE OXIDE,0.0,2710
Aurora,46003,TETRACHLOROETHYLENE,0.0,2710
Aurora,46003,TRICHLOROETHYLENE,0.0,2710
Aurora,46003,VINYL CHLORIDE,0.0,2710
Beadle,46005,"1,1,2-TRICHLOROETHANE",0.0,17398
Beadle,46005,"1,3-BUTADIENE",0.002339591057281,17398
Beadle,46005,"1,4-DICHLOROBENZENE",0.0,17398
Beadle,46005,"1,4-DIOXANE",0.0,17398
Beadle,46005,"2,4,6-TRICHLOROPHENOL",0.0,17398
Beadle,46005,"2,4-DINITROTOLUENE",0.0,17398
Beadle,46005,"2,4-TOLUENE DIISOCYANATE",0.0,17398
Beadle,46005,2-NITROPROPANE,0.0,17398
Beadle,46005,ACETALDEHYDE,0.00034444654901300003,17398
Beadle,46005,ACETAMIDE,0.0,17398
Beadle,46005,ACRYLONITRILE,0.0,17398
Beadle,46005,ALLYL CHLORIDE,0.0,17398
Beadle,46005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000320328861511,17398
Beadle,46005,BENZENE,0.023813977404742996,17398
Beadle,46005,BENZYL CHLORIDE,0.0,17398
Beadle,46005,BERYLLIUM COMPOUNDS,0.0,17398
Beadle,46005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,17398
Beadle,46005,CADMIUM COMPOUNDS,0.0,17398
Beadle,46005,CARBON TETRACHLORIDE,0.0,17398
Beadle,46005,CHLOROPRENE,0.0,17398
