county,fips,pollutant,val
Alachua,12001,"1,1,2-TRICHLOROETHANE",6.766818809999999e-07
Alachua,12001,"1,3-BUTADIENE",0.0005994863729269999
Alachua,12001,"1,4-DICHLOROBENZENE",6.036547542999999e-06
Alachua,12001,"1,4-DIOXANE",0.0
Alachua,12001,"2,4,6-TRICHLOROPHENOL",0.0
Alachua,12001,"2,4-DINITROTOLUENE",1.8332949800000002e-07
Alachua,12001,"2,4-TOLUENE DIISOCYANATE",0.0
Alachua,12001,2-NITROPROPANE,0.0
Alachua,12001,ACETALDEHYDE,0.000693927060109
Alachua,12001,ACETAMIDE,0.0
Alachua,12001,ACRYLONITRILE,0.00024323791198599997
Alachua,12001,ALLYL CHLORIDE,0.0
Alachua,12001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.011957470311057
Alachua,12001,BENZENE,0.001109834486543
Alachua,12001,BENZYL CHLORIDE,0.000341789737362
Alachua,12001,BERYLLIUM COMPOUNDS,0.00039231021153599997
Alachua,12001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.2849768319999998e-06
Alachua,12001,BROMOFORM,4.2598169e-07
Alachua,12001,CADMIUM COMPOUNDS,0.0009477635269110001
Alachua,12001,CARBON TETRACHLORIDE,9.87067371e-07
Alachua,12001,CHLOROPRENE,0.0
Alachua,12001,CHROMIUM VI (HEXAVALENT),0.053254606096605005
Alachua,12001,EPICHLOROHYDRIN,0.0
Alachua,12001,ETHYLBENZENE,0.0017203594861120003
Alachua,12001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.002665354688855
Alachua,12001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",3.6247337161e-05
Alachua,12001,ETHYLENE OXIDE,0.0
Alachua,12001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",2.5943625939999997e-06
Alachua,12001,FORMALDEHYDE,0.025019538450887002
Alachua,12001,HEXACHLOROBENZENE,0.0
Alachua,12001,HEXACHLOROBUTADIENE,0.0
Alachua,12001,METHYL TERT-BUTYL ETHER,9.0704037e-08
Alachua,12001,METHYLENE CHLORIDE,6.381979906800001e-05
Alachua,12001,NAPHTHALENE,0.001608751102657
Alachua,12001,NICKEL COMPOUNDS,0.010281441281383
Alachua,12001,NITROBENZENE,0.0
