county,fips,pollutant,val
Adjuntas,72001,"1,3-BUTADIENE",0.0
Adjuntas,72001,"1,4-DICHLOROBENZENE",0.0
Adjuntas,72001,"2,4,6-TRICHLOROPHENOL",0.0
Adjuntas,72001,ACETALDEHYDE,6.49663924e-07
Adjuntas,72001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.001063804704276
Adjuntas,72001,BENZENE,9.865129599999999e-08
Adjuntas,72001,BERYLLIUM COMPOUNDS,8.82625369e-07
Adjuntas,72001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Adjuntas,72001,CADMIUM COMPOUNDS,9.312669158e-06
Adjuntas,72001,CARBON TETRACHLORIDE,0.0
Adjuntas,72001,CHROMIUM VI (HEXAVALENT),0.0015314555040470002
Adjuntas,72001,ETHYLBENZENE,0.0
Adjuntas,72001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adjuntas,72001,ETHYLENE OXIDE,0.0
Adjuntas,72001,FORMALDEHYDE,2.6322259246999996e-05
Adjuntas,72001,HEXACHLOROBENZENE,6.774621999999999e-09
Adjuntas,72001,METHYLENE CHLORIDE,0.0
Adjuntas,72001,NAPHTHALENE,8.434530329999999e-07
Adjuntas,72001,NICKEL COMPOUNDS,0.004565758607872
Adjuntas,72001,PAHPOM,1.7931710709999998e-06
Adjuntas,72001,POLYCHLORINATED BIPHENYLS (AROCLORS),1.8407188999999998e-08
Adjuntas,72001,TETRACHLOROETHYLENE,0.0
Adjuntas,72001,TRICHLOROETHYLENE,0.0
Aguada,72003,"1,3-BUTADIENE",0.0
Aguada,72003,"1,4-DICHLOROBENZENE",0.0
Aguada,72003,"2,4,6-TRICHLOROPHENOL",0.0
Aguada,72003,ACETALDEHYDE,1.56914144e-07
Aguada,72003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000207054560292
Aguada,72003,BENZENE,2.3821319e-08
Aguada,72003,BERYLLIUM COMPOUNDS,1.9590460699999998e-07
Aguada,72003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aguada,72003,CADMIUM COMPOUNDS,2.72538806e-06
Aguada,72003,CARBON TETRACHLORIDE,0.0
Aguada,72003,CHROMIUM VI (HEXAVALENT),0.00030373186192299994
Aguada,72003,ETHYLBENZENE,0.0
Aguada,72003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aguada,72003,ETHYLENE OXIDE,0.0
Aguada,72003,FORMALDEHYDE,6.361737521000001e-06
Aguada,72003,HEXACHLOROBENZENE,1.3067129999999998e-09
Aguada,72003,METHYLENE CHLORIDE,0.0
Aguada,72003,NAPHTHALENE,1.8515445e-07
Aguada,72003,NICKEL COMPOUNDS,0.000886764029871
Aguada,72003,PAHPOM,3.5296015e-07
Aguada,72003,POLYCHLORINATED BIPHENYLS (AROCLORS),3.5520840000000004e-09
Aguada,72003,TETRACHLOROETHYLENE,0.0
Aguada,72003,TRICHLOROETHYLENE,0.0
Aguadilla,72005,"1,3-BUTADIENE",0.0
Aguadilla,72005,"1,4-DICHLOROBENZENE",0.0
Aguadilla,72005,"2,4,6-TRICHLOROPHENOL",0.0
Aguadilla,72005,ACETALDEHYDE,5.0645399000000006e-08
Aguadilla,72005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),6.6381103672e-05
Aguadilla,72005,BENZENE,7.663964e-09
Aguadilla,72005,BERYLLIUM COMPOUNDS,6.293771e-08
Aguadilla,72005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aguadilla,72005,CADMIUM COMPOUNDS,8.733845e-07
Aguadilla,72005,CARBON TETRACHLORIDE,0.0
Aguadilla,72005,CHROMIUM VI (HEXAVALENT),9.7403631708e-05
Aguadilla,72005,ETHYLBENZENE,0.0
Aguadilla,72005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aguadilla,72005,ETHYLENE OXIDE,0.0
Aguadilla,72005,FORMALDEHYDE,2.051450412e-06
Aguadilla,72005,HEXACHLOROBENZENE,4.21903e-10
Aguadilla,72005,METHYLENE CHLORIDE,0.0
Aguadilla,72005,NAPHTHALENE,5.9614805e-08
Aguadilla,72005,NICKEL COMPOUNDS,0.00028443909520700004
Aguadilla,72005,PAHPOM,1.1297461800000001e-07
Aguadilla,72005,POLYCHLORINATED BIPHENYLS (AROCLORS),1.1424269999999998e-09
Aguadilla,72005,TETRACHLOROETHYLENE,0.0
Aguadilla,72005,TRICHLOROETHYLENE,0.0
Aguas Buenas,72007,"1,3-BUTADIENE",0.0
Aguas Buenas,72007,"1,4-DICHLOROBENZENE",0.0
Aguas Buenas,72007,"2,4,6-TRICHLOROPHENOL",0.0
Aguas Buenas,72007,ACETALDEHYDE,3.63542604e-07
Aguas Buenas,72007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0005482457332309999
Aguas Buenas,72007,BENZENE,5.5190729000000004e-08
Aguas Buenas,72007,BERYLLIUM COMPOUNDS,4.78363098e-07
Aguas Buenas,72007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aguas Buenas,72007,CADMIUM COMPOUNDS,5.643097993e-06
Aguas Buenas,72007,CARBON TETRACHLORIDE,0.0
Aguas Buenas,72007,CHROMIUM VI (HEXAVALENT),0.000796464870295
Aguas Buenas,72007,ETHYLBENZENE,0.0
Aguas Buenas,72007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aguas Buenas,72007,FORMALDEHYDE,1.4682673474e-05
Aguas Buenas,72007,HEXACHLOROBENZENE,3.4756659999999994e-09
Aguas Buenas,72007,METHYL TERT-BUTYL ETHER,0.0
Aguas Buenas,72007,METHYLENE CHLORIDE,0.0
Aguas Buenas,72007,NAPHTHALENE,4.59891673e-07
Aguas Buenas,72007,NICKEL COMPOUNDS,0.0023607697048189996
Aguas Buenas,72007,PAHPOM,9.29791668e-07
Aguas Buenas,72007,POLYCHLORINATED BIPHENYLS (AROCLORS),9.465309999999999e-09
Aguas Buenas,72007,TETRACHLOROETHYLENE,0.0
Aguas Buenas,72007,TRICHLOROETHYLENE,0.0
Aibonito,72009,"1,3-BUTADIENE",0.0
Aibonito,72009,"1,4-DICHLOROBENZENE",0.0
Aibonito,72009,"2,4,6-TRICHLOROPHENOL",0.0
Aibonito,72009,ACETALDEHYDE,3.1968329100000004e-07
Aibonito,72009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000460313104198
Aibonito,72009,BENZENE,4.8564417e-08
Aibonito,72009,BERYLLIUM COMPOUNDS,4.0637101700000004e-07
Aibonito,72009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Aibonito,72009,CADMIUM COMPOUNDS,4.931249455e-06
Aibonito,72009,CARBON TETRACHLORIDE,0.0
Aibonito,72009,CHROMIUM VI (HEXAVALENT),0.000668869781809
Aibonito,72009,ETHYLBENZENE,0.0
Aibonito,72009,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Aibonito,72009,FORMALDEHYDE,1.2987117142999998e-05
Aibonito,72009,HEXACHLOROBENZENE,2.901659e-09
Aibonito,72009,METHYL TERT-BUTYL ETHER,0.0
Aibonito,72009,METHYLENE CHLORIDE,0.0
Aibonito,72009,NAPHTHALENE,3.9047188700000004e-07
Aibonito,72009,NICKEL COMPOUNDS,0.001965697945039
Aibonito,72009,PAHPOM,7.81021772e-07
Aibonito,72009,POLYCHLORINATED BIPHENYLS (AROCLORS),7.92234e-09
Aibonito,72009,TETRACHLOROETHYLENE,0.0
Aibonito,72009,TRICHLOROETHYLENE,0.0
Anasco,72011,"1,3-BUTADIENE",0.0
Anasco,72011,"1,4-DICHLOROBENZENE",0.0
Anasco,72011,"2,4,6-TRICHLOROPHENOL",0.0
Anasco,72011,ACETALDEHYDE,2.89754039e-07
Anasco,72011,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0004089085209730001
Anasco,72011,BENZENE,4.3912776999999996e-08
Anasco,72011,BERYLLIUM COMPOUNDS,3.7017259199999996e-07
Anasco,72011,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Anasco,72011,CADMIUM COMPOUNDS,4.7462946839999995e-06
Anasco,72011,CARBON TETRACHLORIDE,0.0
Anasco,72011,CHROMIUM VI (HEXAVALENT),0.0005968050211849999
