county,fips,pollutant,val,population
Aleutians East,02013,"1,3-BUTADIENE",0.0,3141
Aleutians East,02013,"1,4-DICHLOROBENZENE",0.0,3141
Aleutians East,02013,"2,4,6-TRICHLOROPHENOL",0.0,3141
Aleutians East,02013,ACETALDEHYDE,0.0008072733825990001,3141
Aleutians East,02013,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0011804379823,3141
Aleutians East,02013,BENZENE,0.000806584362917,3141
Aleutians East,02013,BERYLLIUM COMPOUNDS,7.2048e-09,3141
Aleutians East,02013,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,3141
Aleutians East,02013,CADMIUM COMPOUNDS,8.50972248e-05,3141
Aleutians East,02013,CARBON TETRACHLORIDE,0.0,3141
Aleutians East,02013,CHROMIUM VI (HEXAVALENT),0.0018347643840000002,3141
Aleutians East,02013,ETHYLBENZENE,2.5143125835000002e-05,3141
Aleutians East,02013,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,3141
Aleutians East,02013,FORMALDEHYDE,0.009893188035055001,3141
Aleutians East,02013,HEXACHLOROBENZENE,2.5610361999999997e-07,3141
Aleutians East,02013,METHYLENE CHLORIDE,0.0,3141
Aleutians East,02013,NAPHTHALENE,0.000527494253682,3141
Aleutians East,02013,NICKEL COMPOUNDS,0.0044076954408,3141
Aleutians East,02013,PAHPOM,0.00013951069245100002,3141
Aleutians East,02013,POLYCHLORINATED BIPHENYLS (AROCLORS),6.958041999999999e-07,3141
Aleutians East,02013,TETRACHLOROETHYLENE,0.0,3141
Aleutians East,02013,TRICHLOROETHYLENE,0.0,3141
Aleutians West,02016,"1,3-BUTADIENE",0.0,5561
Aleutians West,02016,"1,4-DICHLOROBENZENE",0.0,5561
Aleutians West,02016,"2,4,6-TRICHLOROPHENOL",0.0,5561
Aleutians West,02016,ACETALDEHYDE,8.5521575705e-05,5561
Aleutians West,02016,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00012748574498600002,5561
Aleutians West,02016,BENZENE,8.287048681100001e-05,5561
Aleutians West,02016,BERYLLIUM COMPOUNDS,3.1818979999999997e-09,5561
Aleutians West,02016,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,5561
Aleutians West,02016,CADMIUM COMPOUNDS,9.206706960000001e-06,5561
Aleutians West,02016,CARBON TETRACHLORIDE,0.0,5561
Aleutians West,02016,CHROMIUM VI (HEXAVALENT),0.00020235548012400003,5561
Aleutians West,02016,ETHYLBENZENE,2.610105044e-06,5561
Aleutians West,02016,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,5561
Aleutians West,02016,FORMALDEHYDE,0.0010109381736729999,5561
Aleutians West,02016,HEXACHLOROBENZENE,2.6137851000000004e-08,5561
Aleutians West,02016,METHYLENE CHLORIDE,0.0,5561
Aleutians West,02016,NAPHTHALENE,5.4655384933999997e-05,5561
Aleutians West,02016,NICKEL COMPOUNDS,0.000479454652433,5561
Aleutians West,02016,PAHPOM,1.4843866787e-05,5561
Aleutians West,02016,POLYCHLORINATED BIPHENYLS (AROCLORS),7.1413984e-08,5561
Aleutians West,02016,TETRACHLOROETHYLENE,0.0,5561
Aleutians West,02016,TRICHLOROETHYLENE,0.0,5561
Anchorage,02020,"1,1,2-TRICHLOROETHANE",0.0,291826
Anchorage,02020,"1,3-BUTADIENE",0.0,291826
Anchorage,02020,"1,3-DICHLOROPROPENE",0.0,291826
Anchorage,02020,"1,4-DICHLOROBENZENE",0.0,291826
Anchorage,02020,"2,4,6-TRICHLOROPHENOL",0.0,291826
Anchorage,02020,ACETALDEHYDE,0.000270259517317,291826
Anchorage,02020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000596167026059,291826
Anchorage,02020,BENZENE,0.000261839206322,291826
Anchorage,02020,BERYLLIUM COMPOUNDS,3.4114649299999994e-07,291826
Anchorage,02020,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,291826
Anchorage,02020,CADMIUM COMPOUNDS,3.9346140674999995e-05,291826
Anchorage,02020,CARBON TETRACHLORIDE,0.0,291826
Anchorage,02020,CHROMIUM VI (HEXAVALENT),0.000835969046753,291826
Anchorage,02020,ETHYLBENZENE,8.25556407e-06,291826
Anchorage,02020,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,291826
Anchorage,02020,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,291826
