county,fips,pollutant,val
Acadia,22001,"1,1,2-TRICHLOROETHANE",0.0
Acadia,22001,"1,3-BUTADIENE",0.0
Acadia,22001,"1,3-DICHLOROPROPENE",0.0
Acadia,22001,"1,4-DICHLOROBENZENE",0.0
Acadia,22001,"1,4-DIOXANE",0.0
Acadia,22001,"2,4,6-TRICHLOROPHENOL",0.0
Acadia,22001,"2,4-DINITROTOLUENE",0.0
Acadia,22001,"2,4-TOLUENE DIISOCYANATE",0.0
Acadia,22001,2-NITROPROPANE,0.0
Acadia,22001,"4,4'-METHYLENE BIS(2-CHLOROANILINE)",0.0
Acadia,22001,ACETALDEHYDE,0.00010509093871500002
Acadia,22001,ACETAMIDE,0.0
Acadia,22001,ACRYLONITRILE,0.0
Acadia,22001,ALLYL CHLORIDE,0.0
Acadia,22001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0058060209028959996
Acadia,22001,BENZENE,0.0003428223266540001
Acadia,22001,BENZYL CHLORIDE,0.0
Acadia,22001,BERYLLIUM COMPOUNDS,1.7966546185e-05
Acadia,22001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Acadia,22001,BROMOFORM,0.0
Acadia,22001,CADMIUM COMPOUNDS,0.000803421499282
Acadia,22001,CARBON TETRACHLORIDE,0.0
Acadia,22001,CHLOROPRENE,0.0
Acadia,22001,CHROMIUM VI (HEXAVALENT),0.035835798204524
Acadia,22001,EPICHLOROHYDRIN,0.0
Acadia,22001,ETHYLBENZENE,4.636479081e-06
Acadia,22001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Acadia,22001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Acadia,22001,ETHYLENE OXIDE,0.0
Acadia,22001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Acadia,22001,FORMALDEHYDE,0.0012168524236160002
Acadia,22001,HEXACHLOROBENZENE,7.2138742e-08
Acadia,22001,HEXACHLOROBUTADIENE,0.0
Acadia,22001,METHYL TERT-BUTYL ETHER,0.0
Acadia,22001,METHYLENE CHLORIDE,0.0
Acadia,22001,NAPHTHALENE,9.5700870239e-05
Acadia,22001,NICKEL COMPOUNDS,0.025415842426791
Acadia,22001,NITROBENZENE,0.0
Acadia,22001,O-TOLUIDINE,0.0
Acadia,22001,PAHPOM,5.443458497e-06
Acadia,22001,POLYCHLORINATED BIPHENYLS (AROCLORS),1.9602610100000003e-07
Acadia,22001,PROPYLENE OXIDE,0.0
Acadia,22001,TETRACHLOROETHYLENE,0.0
Acadia,22001,TRICHLOROETHYLENE,0.0
Acadia,22001,VINYL CHLORIDE,0.0
Allen,22003,"1,1,2-TRICHLOROETHANE",0.0
Allen,22003,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
Allen,22003,"1,3-BUTADIENE",0.0
Allen,22003,"1,3-DICHLOROPROPENE",0.0
Allen,22003,"1,4-DICHLOROBENZENE",0.0
Allen,22003,"1,4-DIOXANE",0.0
Allen,22003,"2,4,6-TRICHLOROPHENOL",0.0
Allen,22003,"2,4-DINITROTOLUENE",0.0
Allen,22003,"2,4-TOLUENE DIISOCYANATE",0.0
Allen,22003,2-NITROPROPANE,0.0
Allen,22003,ACETALDEHYDE,3.2278657201e-05
Allen,22003,ACETAMIDE,0.0
Allen,22003,ACRYLAMIDE,0.0
Allen,22003,ACRYLONITRILE,0.0
Allen,22003,ALLYL CHLORIDE,0.0
Allen,22003,ANILINE,0.0
Allen,22003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000809083302755
Allen,22003,BENZENE,0.000175302470743
Allen,22003,BENZYL CHLORIDE,0.0
Allen,22003,BERYLLIUM COMPOUNDS,4.928957120000001e-07
Allen,22003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Allen,22003,BROMOFORM,0.0
Allen,22003,CADMIUM COMPOUNDS,4.9278512518999996e-05
Allen,22003,CARBON TETRACHLORIDE,0.0
Allen,22003,CHLOROPRENE,0.0
Allen,22003,CHROMIUM VI (HEXAVALENT),0.00111686679193
Allen,22003,DICHLOROETHYL ETHER (BIS[2-CHLOROETHYL]ETHER),0.0
Allen,22003,EPICHLOROHYDRIN,0.0
Allen,22003,ETHYLBENZENE,1.801503741e-06
Allen,22003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Allen,22003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Allen,22003,ETHYLENE OXIDE,0.0
