county,fips,pollutant,val,population
Adams,53001,"1,1,2-TRICHLOROETHANE",0.0,18728
Adams,53001,"1,3-BUTADIENE",0.0,18728
Adams,53001,"1,4-DICHLOROBENZENE",0.0,18728
Adams,53001,"1,4-DIOXANE",0.0,18728
Adams,53001,"2,4,6-TRICHLOROPHENOL",0.0,18728
Adams,53001,"2,4-DINITROTOLUENE",0.0,18728
Adams,53001,"2,4-TOLUENE DIISOCYANATE",0.0,18728
Adams,53001,2-NITROPROPANE,0.0,18728
Adams,53001,ACETALDEHYDE,2.4633084e-08,18728
Adams,53001,ACETAMIDE,0.0,18728
Adams,53001,ACRYLONITRILE,0.0,18728
Adams,53001,ALLYL CHLORIDE,0.0,18728
Adams,53001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),6.6320447e-07,18728
Adams,53001,BENZENE,2.8785664e-07,18728
Adams,53001,BENZYL CHLORIDE,0.0,18728
Adams,53001,BERYLLIUM COMPOUNDS,0.0,18728
Adams,53001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,18728
Adams,53001,BROMOFORM,0.0,18728
Adams,53001,CADMIUM COMPOUNDS,1.7778012e-08,18728
Adams,53001,CARBON TETRACHLORIDE,0.0,18728
Adams,53001,CHLOROPRENE,0.0,18728
Adams,53001,CHROMIUM VI (HEXAVALENT),7.071211109e-06,18728
Adams,53001,EPICHLOROHYDRIN,0.0,18728
Adams,53001,ETHYLBENZENE,2.293937e-09,18728
Adams,53001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,18728
Adams,53001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,18728
Adams,53001,ETHYLENE OXIDE,0.0,18728
Adams,53001,FORMALDEHYDE,2.76409379e-07,18728
Adams,53001,HEXACHLOROBENZENE,1.3134e-11,18728
Adams,53001,HEXACHLOROBUTADIENE,0.0,18728
Adams,53001,METHYL TERT-BUTYL ETHER,0.0,18728
Adams,53001,METHYLENE CHLORIDE,0.0,18728
