county,fips,pollutant,val,population
Bernalillo,35001,"1,1,2-TRICHLOROETHANE",0.0,662561
Bernalillo,35001,"1,3-BUTADIENE",0.000126895779593,662561
Bernalillo,35001,"1,4-DICHLOROBENZENE",0.0,662561
Bernalillo,35001,"1,4-DIOXANE",0.0,662561
Bernalillo,35001,"2,4,6-TRICHLOROPHENOL",0.0,662561
Bernalillo,35001,"2,4-DINITROTOLUENE",0.0,662561
Bernalillo,35001,"2,4-TOLUENE DIISOCYANATE",0.0,662561
Bernalillo,35001,2-NITROPROPANE,0.0,662561
Bernalillo,35001,ACETALDEHYDE,5.6843041463999996e-05,662561
Bernalillo,35001,ACETAMIDE,0.0,662561
Bernalillo,35001,ACRYLONITRILE,0.0,662561
Bernalillo,35001,ALLYL CHLORIDE,0.0,662561
Bernalillo,35001,ANILINE,0.0,662561
Bernalillo,35001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),8.45539938e-07,662561
Bernalillo,35001,BENZENE,3.3299429484e-05,662561
Bernalillo,35001,BENZYL CHLORIDE,0.0,662561
Bernalillo,35001,BERYLLIUM COMPOUNDS,3.4311660039e-05,662561
Bernalillo,35001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,662561
Bernalillo,35001,BROMOFORM,0.0,662561
Bernalillo,35001,CADMIUM COMPOUNDS,2.6924783759e-05,662561
Bernalillo,35001,CARBON TETRACHLORIDE,0.0,662561
Bernalillo,35001,CHLOROPRENE,0.0,662561
Bernalillo,35001,CHROMIUM VI (HEXAVALENT),3.7327551096e-05,662561
Bernalillo,35001,EPICHLOROHYDRIN,0.0,662561
Bernalillo,35001,ETHYLBENZENE,1.1150867162e-05,662561
Bernalillo,35001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,662561
Bernalillo,35001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,662561
Bernalillo,35001,ETHYLENE OXIDE,0.0,662561
Bernalillo,35001,FORMALDEHYDE,0.000777076311299,662561
Bernalillo,35001,HEXACHLOROBENZENE,0.0,662561
Bernalillo,35001,HEXACHLOROBUTADIENE,0.0,662561
Bernalillo,35001,HYDRAZINE,0.0,662561
Bernalillo,35001,METHYL TERT-BUTYL ETHER,0.0,662561
Bernalillo,35001,METHYLENE CHLORIDE,0.0,662561
Bernalillo,35001,NAPHTHALENE,8.660663485700001e-05,662561
Bernalillo,35001,NICKEL COMPOUNDS,2.361818197e-06,662561
Bernalillo,35001,NITROBENZENE,0.0,662561
Bernalillo,35001,O-TOLUIDINE,0.0,662561
Bernalillo,35001,PAHPOM,4.362734597e-06,662561
Bernalillo,35001,PROPYLENE OXIDE,0.0,662561
Bernalillo,35001,TETRACHLOROETHYLENE,0.0,662561
Bernalillo,35001,TRICHLOROETHYLENE,0.0,662561
Bernalillo,35001,VINYL CHLORIDE,0.0,662561
Catron,35003,"1,1,2-TRICHLOROETHANE",0.0,3725
Catron,35003,"1,3-BUTADIENE",0.0,3725
Catron,35003,"1,3-DICHLOROPROPENE",0.0,3725
Catron,35003,"1,4-DICHLOROBENZENE",0.0,3725
Catron,35003,"1,4-DIOXANE",0.0,3725
Catron,35003,"2,4,6-TRICHLOROPHENOL",0.0,3725
Catron,35003,"2,4-DINITROTOLUENE",0.0,3725
Catron,35003,"2,4-TOLUENE DIISOCYANATE",0.0,3725
Catron,35003,2-NITROPROPANE,0.0,3725
Catron,35003,ACETALDEHYDE,0.0,3725
Catron,35003,ACETAMIDE,0.0,3725
Catron,35003,ACRYLONITRILE,0.0,3725
Catron,35003,ALLYL CHLORIDE,0.0,3725
Catron,35003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,3725
Catron,35003,BENZENE,0.0,3725
Catron,35003,BENZYL CHLORIDE,0.0,3725
Catron,35003,BERYLLIUM COMPOUNDS,0.0,3725
