county,fips,pollutant,val
Adair,29001,"1,1,2-TRICHLOROETHANE",0.0
Adair,29001,"1,3-BUTADIENE",0.0
Adair,29001,"1,4-DICHLOROBENZENE",0.0
Adair,29001,"1,4-DIOXANE",0.0
Adair,29001,"2,4,6-TRICHLOROPHENOL",0.0
Adair,29001,"2,4-DINITROTOLUENE",0.0
Adair,29001,"2,4-TOLUENE DIISOCYANATE",0.0
Adair,29001,2-NITROPROPANE,0.0
Adair,29001,ACETALDEHYDE,0.0
Adair,29001,ACETAMIDE,0.0
Adair,29001,ACRYLONITRILE,0.0
Adair,29001,ALLYL CHLORIDE,0.0
Adair,29001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adair,29001,BENZENE,0.0
Adair,29001,BENZYL CHLORIDE,0.0
Adair,29001,BERYLLIUM COMPOUNDS,0.0
Adair,29001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Adair,29001,CADMIUM COMPOUNDS,0.0
Adair,29001,CARBON TETRACHLORIDE,0.0
Adair,29001,CHLOROPRENE,0.0
Adair,29001,CHROMIUM VI (HEXAVALENT),0.0
Adair,29001,EPICHLOROHYDRIN,0.0
Adair,29001,ETHYLBENZENE,0.0
Adair,29001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adair,29001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adair,29001,ETHYLENE OXIDE,0.0
Adair,29001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adair,29001,FORMALDEHYDE,0.0
Adair,29001,HEXACHLOROBENZENE,0.0
Adair,29001,HEXACHLOROBUTADIENE,0.0
Adair,29001,METHYL TERT-BUTYL ETHER,0.0
Adair,29001,METHYLENE CHLORIDE,0.0
Adair,29001,NAPHTHALENE,0.0
Adair,29001,NICKEL COMPOUNDS,0.0
Adair,29001,NITROBENZENE,0.0
Adair,29001,O-TOLUIDINE,0.0
Adair,29001,PAHPOM,0.0
Adair,29001,PROPYLENE OXIDE,0.0
Adair,29001,TETRACHLOROETHYLENE,0.0
Adair,29001,TRICHLOROETHYLENE,0.0
Adair,29001,VINYL CHLORIDE,0.0
Andrew,29003,"1,1,2-TRICHLOROETHANE",1.8408664000000002e-08
Andrew,29003,"1,3-BUTADIENE",1.187860203e-06
Andrew,29003,"1,3-DICHLOROPROPENE",4.6834032999999995e-08
Andrew,29003,"1,4-DICHLOROBENZENE",0.0
Andrew,29003,"1,4-DIOXANE",0.0
Andrew,29003,"2,4,6-TRICHLOROPHENOL",0.0
Andrew,29003,"2,4-DINITROTOLUENE",0.0
Andrew,29003,"2,4-TOLUENE DIISOCYANATE",0.0
Andrew,29003,2-NITROPROPANE,0.0
Andrew,29003,ACETALDEHYDE,4.5841710999999994e-07
Andrew,29003,ACETAMIDE,0.0
Andrew,29003,ACRYLONITRILE,0.0
Andrew,29003,ALLYL CHLORIDE,0.0
Andrew,29003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Andrew,29003,BENZENE,1.2400225353999999e-05
Andrew,29003,BENZYL CHLORIDE,0.0
Andrew,29003,BERYLLIUM COMPOUNDS,0.0
Andrew,29003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Andrew,29003,BROMOFORM,0.0
Andrew,29003,CADMIUM COMPOUNDS,0.0
Andrew,29003,CARBON TETRACHLORIDE,0.0
Andrew,29003,CHLOROPRENE,0.0
Andrew,29003,CHROMIUM VI (HEXAVALENT),0.0
Andrew,29003,EPICHLOROHYDRIN,0.0
Andrew,29003,ETHYLBENZENE,1.9205189899999998e-07
Andrew,29003,ETHYLENE DIBROMIDE (DIBROMOETHANE),1.1896570373e-05
Andrew,29003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Andrew,29003,ETHYLENE OXIDE,0.0
Andrew,29003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",1.36164e-09
Andrew,29003,FORMALDEHYDE,1.478477226e-05
Andrew,29003,HEXACHLOROBENZENE,0.0
Andrew,29003,HEXACHLOROBUTADIENE,0.0
Andrew,29003,METHYL TERT-BUTYL ETHER,0.0
Andrew,29003,METHYLENE CHLORIDE,2.2476906000000003e-08
Andrew,29003,NAPHTHALENE,3.29720394e-07
Andrew,29003,NICKEL COMPOUNDS,0.0
Andrew,29003,NITROBENZENE,0.0
Andrew,29003,O-TOLUIDINE,0.0
Andrew,29003,PAHPOM,9.987215800000001e-08
Andrew,29003,PENTACHLOROPHENOL,0.0
Andrew,29003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Andrew,29003,PROPYLENE OXIDE,0.0
Andrew,29003,TETRACHLOROETHYLENE,0.0
Andrew,29003,TRICHLOROETHYLENE,0.0
Andrew,29003,VINYL CHLORIDE,1.4721676000000002e-08
Atchison,29005,"1,1,2-TRICHLOROETHANE",1.377120853e-06
Atchison,29005,"1,3-BUTADIENE",0.00012495682488
Atchison,29005,"1,3-DICHLOROPROPENE",3.012550564e-06
Atchison,29005,"1,4-DICHLOROBENZENE",0.0
Atchison,29005,"1,4-DIOXANE",0.0
Atchison,29005,"2,4,6-TRICHLOROPHENOL",0.0
Atchison,29005,"2,4-DINITROTOLUENE",0.0
Atchison,29005,"2,4-TOLUENE DIISOCYANATE",0.0
Atchison,29005,2-NITROPROPANE,0.0
Atchison,29005,ACETALDEHYDE,3.1474171762e-05
Atchison,29005,ACETAMIDE,0.0
Atchison,29005,ACRYLONITRILE,0.0
Atchison,29005,ALLYL CHLORIDE,0.0
Atchison,29005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),4.7253207e-08
Atchison,29005,BENZENE,0.003008931042035
Atchison,29005,BENZYL CHLORIDE,0.0
Atchison,29005,BERYLLIUM COMPOUNDS,0.0
Atchison,29005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Atchison,29005,BROMOFORM,0.0
Atchison,29005,CADMIUM COMPOUNDS,1.35419189e-07
Atchison,29005,CARBON TETRACHLORIDE,0.0
Atchison,29005,CHLOROPRENE,0.0
Atchison,29005,CHROMIUM VI (HEXAVALENT),0.0
Atchison,29005,EPICHLOROHYDRIN,0.0
