county,fips,pollutant,val,population
Alcona,26001,"1,1,2-TRICHLOROETHANE",0.0,10942
Alcona,26001,"1,3-BUTADIENE",0.00033083328014799995,10942
Alcona,26001,"1,3-DICHLOROPROPENE",0.0,10942
Alcona,26001,"1,4-DICHLOROBENZENE",0.0,10942
Alcona,26001,"1,4-DIOXANE",0.0,10942
Alcona,26001,"2,4,6-TRICHLOROPHENOL",0.0,10942
Alcona,26001,"2,4-DINITROTOLUENE",0.0,10942
Alcona,26001,"2,4-TOLUENE DIISOCYANATE",0.0,10942
Alcona,26001,2-NITROPROPANE,0.0,10942
Alcona,26001,ACETALDEHYDE,0.000322283637496,10942
Alcona,26001,ACETAMIDE,0.0,10942
Alcona,26001,ACRYLONITRILE,0.0,10942
Alcona,26001,ALLYL CHLORIDE,0.0,10942
Alcona,26001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,10942
Alcona,26001,BENZENE,0.00091057990695,10942
Alcona,26001,BENZYL CHLORIDE,0.0,10942
Alcona,26001,BERYLLIUM COMPOUNDS,0.0,10942
Alcona,26001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,10942
Alcona,26001,BROMOFORM,0.0,10942
Alcona,26001,CADMIUM COMPOUNDS,0.0,10942
Alcona,26001,CARBON TETRACHLORIDE,0.0,10942
Alcona,26001,CHLOROPRENE,0.0,10942
Alcona,26001,CHROMIUM VI (HEXAVALENT),0.0,10942
Alcona,26001,EPICHLOROHYDRIN,0.0,10942
Alcona,26001,ETHYLBENZENE,3.8415750163e-05,10942
Alcona,26001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,10942
Alcona,26001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,10942
Alcona,26001,ETHYLENE OXIDE,0.0,10942
Alcona,26001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,10942
Alcona,26001,FORMALDEHYDE,0.002973971491907,10942
Alcona,26001,HEXACHLOROBENZENE,0.0,10942
Alcona,26001,HEXACHLOROBUTADIENE,0.0,10942
Alcona,26001,METHYL TERT-BUTYL ETHER,0.0,10942
Alcona,26001,METHYLENE CHLORIDE,0.0,10942
Alcona,26001,NAPHTHALENE,0.001807038846589,10942
Alcona,26001,NICKEL COMPOUNDS,0.0,10942
Alcona,26001,NITROBENZENE,0.0,10942
Alcona,26001,O-TOLUIDINE,0.0,10942
Alcona,26001,PAHPOM,7.5323084986e-05,10942
Alcona,26001,PENTACHLOROPHENOL,0.0,10942
Alcona,26001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,10942
Alcona,26001,PROPYLENE OXIDE,0.0,10942
Alcona,26001,TETRACHLOROETHYLENE,0.0,10942
Alcona,26001,TRICHLOROETHYLENE,0.0,10942
Alcona,26001,VINYL CHLORIDE,0.0,10942
Alger,26003,"1,1,2-TRICHLOROETHANE",0.0,9511
Alger,26003,"1,3-BUTADIENE",0.00018301859331400002,9511
Alger,26003,"1,4-DICHLOROBENZENE",0.0,9511
Alger,26003,"1,4-DIOXANE",0.0,9511
Alger,26003,"2,4,6-TRICHLOROPHENOL",0.0,9511
Alger,26003,"2,4-DINITROTOLUENE",0.0,9511
Alger,26003,"2,4-TOLUENE DIISOCYANATE",0.0,9511
Alger,26003,2-NITROPROPANE,0.0,9511
Alger,26003,ACETALDEHYDE,0.000186977643917,9511
Alger,26003,ACETAMIDE,0.0,9511
Alger,26003,ACRYLONITRILE,0.0,9511
Alger,26003,ALLYL CHLORIDE,0.0,9511
Alger,26003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0,9511
Alger,26003,BENZENE,0.0008360944166549999,9511
Alger,26003,BENZYL CHLORIDE,0.0,9511
Alger,26003,BERYLLIUM COMPOUNDS,0.0,9511
Alger,26003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,9511
Alger,26003,BROMOFORM,0.0,9511
Alger,26003,CADMIUM COMPOUNDS,0.0,9511
Alger,26003,CARBON TETRACHLORIDE,0.0,9511
Alger,26003,CHLOROPRENE,0.0,9511
Alger,26003,CHROMIUM VI (HEXAVALENT),0.0,9511
Alger,26003,EPICHLOROHYDRIN,0.0,9511
Alger,26003,ETHYLBENZENE,2.3325416115e-05,9511
Alger,26003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,9511
Alger,26003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,9511
Alger,26003,ETHYLENE OXIDE,0.0,9511
Alger,26003,FORMALDEHYDE,0.0018681363766179999,9511
Alger,26003,HEXACHLOROBENZENE,0.0,9511
Alger,26003,HEXACHLOROBUTADIENE,0.0,9511
Alger,26003,METHYL TERT-BUTYL ETHER,0.0,9511
Alger,26003,METHYLENE CHLORIDE,0.0,9511
Alger,26003,NAPHTHALENE,0.001050230341647,9511
Alger,26003,NICKEL COMPOUNDS,0.0,9511
Alger,26003,NITROBENZENE,0.0,9511
Alger,26003,O-TOLUIDINE,0.0,9511
Alger,26003,PAHPOM,5.699251216e-05,9511
Alger,26003,PENTACHLOROPHENOL,0.0,9511
Alger,26003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,9511
