county,fips,pollutant,val
Appling,13001,"1,1,2-TRICHLOROETHANE",0.0
Appling,13001,"1,3-BUTADIENE",0.0
Appling,13001,"1,4-DICHLOROBENZENE",0.0
Appling,13001,"1,4-DIOXANE",0.0
Appling,13001,"2,4,6-TRICHLOROPHENOL",0.0
Appling,13001,"2,4-DINITROTOLUENE",0.0
Appling,13001,"2,4-TOLUENE DIISOCYANATE",0.0
Appling,13001,2-NITROPROPANE,0.0
Appling,13001,ACETALDEHYDE,0.000148860594058
Appling,13001,ACETAMIDE,0.0
Appling,13001,ACRYLONITRILE,0.0
Appling,13001,ALLYL CHLORIDE,0.0
Appling,13001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000115938991403
Appling,13001,BENZENE,0.007964610796352
Appling,13001,BENZYL CHLORIDE,0.0
Appling,13001,BERYLLIUM COMPOUNDS,2.47458642e-06
Appling,13001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Appling,13001,CADMIUM COMPOUNDS,0.000480051596575
Appling,13001,CARBON TETRACHLORIDE,0.0
Appling,13001,CHLOROPRENE,0.0
Appling,13001,CHROMIUM VI (HEXAVALENT),0.002017325278165
Appling,13001,EPICHLOROHYDRIN,0.0
Appling,13001,ETHYLBENZENE,0.000245975292221
Appling,13001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Appling,13001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Appling,13001,ETHYLENE OXIDE,0.0
Appling,13001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Appling,13001,FORMALDEHYDE,0.001128907792895
Appling,13001,HEXACHLOROBENZENE,0.0
Appling,13001,HEXACHLOROBUTADIENE,0.0
Appling,13001,METHYL TERT-BUTYL ETHER,0.0
Appling,13001,METHYLENE CHLORIDE,0.0
Appling,13001,NAPHTHALENE,0.00036538698496099996
Appling,13001,NICKEL COMPOUNDS,2.2160071379000002e-05
Appling,13001,NITROBENZENE,0.0
Appling,13001,O-TOLUIDINE,0.0
Appling,13001,PAHPOM,3.7195591192e-05
Appling,13001,PENTACHLOROPHENOL,0.0
Appling,13001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Appling,13001,PROPYLENE OXIDE,0.0
Appling,13001,TETRACHLOROETHYLENE,0.0
Appling,13001,TRICHLOROETHYLENE,0.0
Appling,13001,VINYL CHLORIDE,0.0
Atkinson,13003,"1,1,2-TRICHLOROETHANE",0.0
Atkinson,13003,"1,3-BUTADIENE",0.0
Atkinson,13003,"1,3-DICHLOROPROPENE",0.0
Atkinson,13003,"1,4-DICHLOROBENZENE",0.0
Atkinson,13003,"1,4-DIOXANE",0.0
Atkinson,13003,"2,4,6-TRICHLOROPHENOL",0.0
Atkinson,13003,"2,4-DINITROTOLUENE",0.0
Atkinson,13003,"2,4-TOLUENE DIISOCYANATE",0.0
Atkinson,13003,2-NITROPROPANE,0.0
Atkinson,13003,ACETALDEHYDE,0.00011606175647299999
Atkinson,13003,ACETAMIDE,0.0
Atkinson,13003,ACRYLONITRILE,0.0
Atkinson,13003,ALLYL CHLORIDE,0.0
Atkinson,13003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000103569819155
Atkinson,13003,BENZENE,0.0075215885725609995
Atkinson,13003,BENZYL CHLORIDE,0.0
Atkinson,13003,BERYLLIUM COMPOUNDS,1.2846169640000003e-06
Atkinson,13003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Atkinson,13003,CADMIUM COMPOUNDS,0.000525167634356
Atkinson,13003,CARBON TETRACHLORIDE,0.0
Atkinson,13003,CHLOROPRENE,0.0
Atkinson,13003,CHROMIUM VI (HEXAVALENT),1.0650871717e-05
Atkinson,13003,EPICHLOROHYDRIN,0.0
Atkinson,13003,ETHYLBENZENE,0.000259243158507
Atkinson,13003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Atkinson,13003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Atkinson,13003,ETHYLENE OXIDE,0.0
Atkinson,13003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Atkinson,13003,FORMALDEHYDE,0.0009200801543130001
Atkinson,13003,HEXACHLOROBENZENE,0.0
Atkinson,13003,HEXACHLOROBUTADIENE,0.0
Atkinson,13003,METHYL TERT-BUTYL ETHER,0.0
Atkinson,13003,METHYLENE CHLORIDE,0.0
Atkinson,13003,NAPHTHALENE,0.000292700020441
Atkinson,13003,NICKEL COMPOUNDS,1.827527991e-06
Atkinson,13003,NITROBENZENE,0.0
Atkinson,13003,O-TOLUIDINE,0.0
Atkinson,13003,PAHPOM,2.6851955198e-05
Atkinson,13003,PENTACHLOROPHENOL,0.0
Atkinson,13003,PROPYLENE OXIDE,0.0
Atkinson,13003,TETRACHLOROETHYLENE,0.0
Atkinson,13003,TRICHLOROETHYLENE,0.0
Atkinson,13003,VINYL CHLORIDE,0.0
Bacon,13005,"1,1,2-TRICHLOROETHANE",0.0
Bacon,13005,"1,3-BUTADIENE",0.0
Bacon,13005,"1,4-DICHLOROBENZENE",0.0
Bacon,13005,"1,4-DIOXANE",0.0
Bacon,13005,"2,4,6-TRICHLOROPHENOL",0.0
Bacon,13005,"2,4-DINITROTOLUENE",0.0
Bacon,13005,"2,4-TOLUENE DIISOCYANATE",0.0
Bacon,13005,2-NITROPROPANE,0.0
Bacon,13005,ACETALDEHYDE,0.000164286068912
Bacon,13005,ACETAMIDE,0.0
Bacon,13005,ACRYLONITRILE,0.0
Bacon,13005,ALLYL CHLORIDE,0.0
Bacon,13005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000132469882532
Bacon,13005,BENZENE,0.008829336936622
Bacon,13005,BENZYL CHLORIDE,0.0
Bacon,13005,BERYLLIUM COMPOUNDS,9.615371640000002e-07
Bacon,13005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bacon,13005,CADMIUM COMPOUNDS,0.00038088745640800004
Bacon,13005,CARBON TETRACHLORIDE,0.0
Bacon,13005,CHLOROPRENE,0.0
Bacon,13005,CHROMIUM VI (HEXAVALENT),4.067705636199999e-05
Bacon,13005,EPICHLOROHYDRIN,0.0
Bacon,13005,ETHYLBENZENE,0.000274328825913
Bacon,13005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Bacon,13005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bacon,13005,ETHYLENE OXIDE,0.0
Bacon,13005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bacon,13005,FORMALDEHYDE,0.0011342402217480003
Bacon,13005,HEXACHLOROBENZENE,0.0
Bacon,13005,HEXACHLOROBUTADIENE,0.0
Bacon,13005,METHYL TERT-BUTYL ETHER,0.0
Bacon,13005,METHYLENE CHLORIDE,0.0
Bacon,13005,NAPHTHALENE,0.000378718167315
Bacon,13005,NICKEL COMPOUNDS,3.215239033e-06
Bacon,13005,NITROBENZENE,0.0
Bacon,13005,O-TOLUIDINE,0.0
Bacon,13005,PAHPOM,3.8257647158e-05
Bacon,13005,PROPYLENE OXIDE,0.0
Bacon,13005,TETRACHLOROETHYLENE,0.0
Bacon,13005,TRICHLOROETHYLENE,0.0
Bacon,13005,VINYL CHLORIDE,0.0
Baker,13007,"1,1,2-TRICHLOROETHANE",0.0
Baker,13007,"1,3-BUTADIENE",0.0
Baker,13007,"1,4-DICHLOROBENZENE",0.0
Baker,13007,"1,4-DIOXANE",0.0
Baker,13007,"2,4,6-TRICHLOROPHENOL",0.0
Baker,13007,"2,4-DINITROTOLUENE",0.0
Baker,13007,"2,4-TOLUENE DIISOCYANATE",0.0
Baker,13007,2-NITROPROPANE,0.0
Baker,13007,ACETALDEHYDE,0.000131757675495
Baker,13007,ACETAMIDE,0.0
Baker,13007,ACRYLONITRILE,0.0
Baker,13007,ALLYL CHLORIDE,0.0
Baker,13007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),8.859485547100001e-05
Baker,13007,BENZENE,0.008421605720683999
Baker,13007,BENZYL CHLORIDE,0.0
Baker,13007,BERYLLIUM COMPOUNDS,3.349081543e-06
