county,fips,pollutant,val
Allen,20001,"1,1,2-TRICHLOROETHANE",0.0
Allen,20001,"1,3-BUTADIENE",0.0
Allen,20001,"1,3-DICHLOROPROPENE",0.0
Allen,20001,"1,4-DICHLOROBENZENE",0.0
Allen,20001,"1,4-DIOXANE",0.0
Allen,20001,"2,4,6-TRICHLOROPHENOL",0.0
Allen,20001,"2,4-DINITROTOLUENE",0.0
Allen,20001,"2,4-TOLUENE DIISOCYANATE",0.0
Allen,20001,2-NITROPROPANE,0.0
Allen,20001,ACETALDEHYDE,0.00011595386337100001
Allen,20001,ACETAMIDE,0.0
Allen,20001,ACRYLONITRILE,0.0
Allen,20001,ALLYL CHLORIDE,0.0
Allen,20001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.437711288800001e-05
Allen,20001,BENZENE,0.004187787342683
Allen,20001,BENZIDINE,0.0
Allen,20001,BENZYL CHLORIDE,0.0
Allen,20001,BERYLLIUM COMPOUNDS,2.79764024e-07
Allen,20001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Allen,20001,BROMOFORM,0.0
Allen,20001,CADMIUM COMPOUNDS,6.617861400199999e-05
Allen,20001,CARBON TETRACHLORIDE,0.0
Allen,20001,CHLOROPRENE,0.0
Allen,20001,CHROMIUM VI (HEXAVALENT),4.3122660590000003e-05
Allen,20001,EPICHLOROHYDRIN,0.0
Allen,20001,ETHYLBENZENE,0.000145988865865
Allen,20001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Allen,20001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Allen,20001,ETHYLENE OXIDE,0.0
Allen,20001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Allen,20001,FORMALDEHYDE,0.0007240944455560002
Allen,20001,HEXACHLOROBENZENE,0.0
Allen,20001,HEXACHLOROBUTADIENE,0.0
Allen,20001,METHYL TERT-BUTYL ETHER,0.0
Allen,20001,METHYLENE CHLORIDE,0.0
Allen,20001,NAPHTHALENE,0.00031810739355299996
Allen,20001,NICKEL COMPOUNDS,7.710199625000001e-06
Allen,20001,NITROBENZENE,0.0
Allen,20001,O-TOLUIDINE,0.0
Allen,20001,PAHPOM,1.7876499506999998e-05
Allen,20001,PROPYLENE OXIDE,0.0
Allen,20001,TETRACHLOROETHYLENE,0.0
Allen,20001,TRICHLOROETHYLENE,0.0
Allen,20001,VINYL CHLORIDE,0.0
Anderson,20003,"1,1,2-TRICHLOROETHANE",0.0
Anderson,20003,"1,3-BUTADIENE",0.0
Anderson,20003,"1,3-DICHLOROPROPENE",0.0
Anderson,20003,"1,4-DICHLOROBENZENE",0.0
Anderson,20003,"1,4-DIOXANE",0.0
Anderson,20003,"2,4,6-TRICHLOROPHENOL",0.0
Anderson,20003,"2,4-DINITROTOLUENE",0.0
Anderson,20003,"2,4-TOLUENE DIISOCYANATE",0.0
Anderson,20003,2-NITROPROPANE,0.0
Anderson,20003,ACETALDEHYDE,7.0348184554e-05
Anderson,20003,ACETAMIDE,0.0
Anderson,20003,ACRYLONITRILE,0.0
Anderson,20003,ALLYL CHLORIDE,0.0
Anderson,20003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.0405308241999997e-05
Anderson,20003,BENZENE,0.004716642816059
Anderson,20003,BENZIDINE,0.0
Anderson,20003,BENZYL CHLORIDE,0.0
Anderson,20003,BERYLLIUM COMPOUNDS,3.22562637e-07
Anderson,20003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Anderson,20003,BROMOFORM,0.0
Anderson,20003,CADMIUM COMPOUNDS,1.8505185596e-05
Anderson,20003,CARBON TETRACHLORIDE,0.0
Anderson,20003,CHLOROPRENE,0.0
Anderson,20003,CHROMIUM VI (HEXAVALENT),1.2704734035999998e-05
Anderson,20003,EPICHLOROHYDRIN,0.0
Anderson,20003,ETHYLBENZENE,0.000164585664872
Anderson,20003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Anderson,20003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Anderson,20003,ETHYLENE OXIDE,0.0
Anderson,20003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Anderson,20003,FORMALDEHYDE,0.000553042001326
Anderson,20003,HEXACHLOROBENZENE,0.0
Anderson,20003,HEXACHLOROBUTADIENE,0.0
Anderson,20003,METHYL TERT-BUTYL ETHER,0.0
Anderson,20003,METHYLENE CHLORIDE,0.0
Anderson,20003,NAPHTHALENE,0.00026266491021
Anderson,20003,NICKEL COMPOUNDS,2.3309425310000002e-06
Anderson,20003,NITROBENZENE,0.0
Anderson,20003,O-TOLUIDINE,0.0
